WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
SDwr_WS1,,,Fresh,WOLF CREEK,WaDESD_WS1,Surface Water
SDwr_WS2,,,Fresh,BEAVER CREEK,WaDESD_WS2,Surface Water
SDwr_WS3,,,Fresh,BAD RIVER,WaDESD_WS3,Surface Water
SDwr_WS4,,,Fresh,RUNOFF,WaDESD_WS4,Surface Water
SDwr_WS5,,,Fresh,BIG SIOUX RIVER,WaDESD_WS5,Surface Water
SDwr_WS6,,,Fresh,SIX MILE CREEK,WaDESD_WS6,Surface Water
SDwr_WS7,,,Fresh,BRANT LAKE,WaDESD_WS7,Surface Water
SDwr_WS8,,,Fresh,LAKE POINSETT,WaDESD_WS8,Surface Water
SDwr_WS9,,,Fresh,DRY DRAW,WaDESD_WS9,Surface Water
SDwr_WS10,,,Fresh,HAY DRAW,WaDESD_WS10,Surface Water
SDwr_WS11,,,Fresh,DRY DRAWS,WaDESD_WS11,Surface Water
SDwr_WS12,,,Fresh,GROUSE CREEK,WaDESD_WS12,Surface Water
SDwr_WS13,,,Fresh,RINEER DRAW,WaDESD_WS13,Surface Water
SDwr_WS14,,,Fresh,LITTLE COTTONWOOD CR,WaDESD_WS14,Surface Water
SDwr_WS15,,,Fresh,SHORT BRANCH CREEK,WaDESD_WS15,Surface Water
SDwr_WS16,,,Fresh,FIDDLE CREEK,WaDESD_WS16,Surface Water
SDwr_WS17,,,Fresh,PLAINS CREEK,WaDESD_WS17,Surface Water
SDwr_WS18,,,Fresh,RED CANYON,WaDESD_WS18,Surface Water
SDwr_WS19,,,Fresh,BAD LAND CREEK,WaDESD_WS19,Surface Water
SDwr_WS20,,,Fresh,COFFEE CREEK,WaDESD_WS20,Surface Water
SDwr_WS21,,,Fresh,JAMES RIVER,WaDESD_WS21,Surface Water
SDwr_WS22,,,Fresh,SPRING CREEK,WaDESD_WS22,Surface Water
SDwr_WS23,,,Fresh,COLD BROOK,WaDESD_WS23,Surface Water
SDwr_WS24,,,Fresh,MISSOURI RIVER,WaDESD_WS24,Surface Water
SDwr_WS25,,,Fresh,S FORK GRAND RIVER,WaDESD_WS25,Surface Water
SDwr_WS26,,,Fresh,GRAND RIVER,WaDESD_WS26,Surface Water
SDwr_WS27,,,Fresh,GROUNDWATER,WaDESD_WS27,Groundwater
SDwr_WS28,,,Fresh,FRENCH CREEK,WaDESD_WS28,Surface Water
SDwr_WS29,,,Fresh,PASS CREEK,WaDESD_WS29,Surface Water
SDwr_WS30,,,Fresh,PONCA CREEK,WaDESD_WS30,Surface Water
SDwr_WS31,,,Fresh,LAKE BYRE,WaDESD_WS31,Surface Water
SDwr_WS32,,,Fresh,SLOUGH,WaDESD_WS32,Surface Water
SDwr_WS33,,,Fresh,WHITE RIVER,WaDESD_WS33,Surface Water
SDwr_WS34,,,Fresh,HORSEHEAD CREEK,WaDESD_WS34,Surface Water
SDwr_WS35,,,Fresh,WHETSTONE CREEK,WaDESD_WS35,Surface Water
SDwr_WS36,,,Fresh,DAMS,WaDESD_WS36,Surface Water
SDwr_WS37,,,Fresh,STORAGE DAMS,WaDESD_WS37,Surface Water
SDwr_WS38,,,Fresh,ANGOSTURA RESERVOIR,WaDESD_WS38,Surface Water
SDwr_WS39,,,Fresh,DUGOUT,WaDESD_WS39,Groundwater
SDwr_WS40,,,Fresh,RAPID CREEK,WaDESD_WS40,Surface Water
SDwr_WS41,,,Fresh,HAT CREEK,WaDESD_WS41,Surface Water
SDwr_WS42,,,Fresh,SMITH CREEK,WaDESD_WS42,Surface Water
SDwr_WS43,,,Fresh,INDIAN CREEK,WaDESD_WS43,Surface Water
SDwr_WS44,,,Fresh,JACKS DRAW,WaDESD_WS44,Surface Water
SDwr_WS45,,,Fresh,ELK CREEK,WaDESD_WS45,Surface Water
SDwr_WS46,,,Fresh,CHEYENNE RIVER,WaDESD_WS46,Surface Water
SDwr_WS47,,,Fresh,BELLE FOURCHE RIVER,WaDESD_WS47,Surface Water
SDwr_WS48,,,Fresh,SPRING,WaDESD_WS48,Groundwater
SDwr_WS49,,,Fresh,RABBIT CREEK,WaDESD_WS49,Surface Water
SDwr_WS50,,,Fresh,BLACK BANK CREEK,WaDESD_WS50,Surface Water
SDwr_WS51,,,Fresh,DRY ELM,WaDESD_WS51,Surface Water
SDwr_WS52,,,Fresh,SPEARFISH CREEK,WaDESD_WS52,Surface Water
SDwr_WS53,,,Fresh,COTTONWOOD LAKE,WaDESD_WS53,Surface Water
SDwr_WS54,,,Fresh,REDSTONE CREEK,WaDESD_WS54,Surface Water
SDwr_WS55,,,Fresh,HERON CREEK,WaDESD_WS55,Surface Water
SDwr_WS56,,,Fresh,GROUNDWATER,WaDESD_WS56,Surface and Groundwater
SDwr_WS57,,,Fresh,WILLOW CREEK,WaDESD_WS57,Surface Water
SDwr_WS58,,,Fresh,ALKALI LAKE,WaDESD_WS58,Surface Water
SDwr_WS59,,,Fresh,N FORK GRAND RIVER,WaDESD_WS59,Surface Water
SDwr_WS60,,,Fresh,SHADEHILL RESERVOIR,WaDESD_WS60,Surface Water
SDwr_WS61,,,Fresh,KROETCH DAM,WaDESD_WS61,Surface Water
SDwr_WS62,,,Fresh,SUNSHINE LAKE,WaDESD_WS62,Surface Water
SDwr_WS63,,,Fresh,GRINDSTONE CREEK,WaDESD_WS63,Surface Water
SDwr_WS64,,,Fresh,OAK CREEK,WaDESD_WS64,Surface Water
SDwr_WS65,,,Fresh,FREEMAN LAKE,WaDESD_WS65,Surface Water
SDwr_WS66,,,Fresh,GRACE COOLIDGE CREEK,WaDESD_WS66,Surface Water
SDwr_WS67,,,Fresh,ANDREWS LAKE,WaDESD_WS67,Surface Water
SDwr_WS68,,,Fresh,BIG NASTY CREEK,WaDESD_WS68,Surface Water
SDwr_WS69,,,Fresh,BECHEN DAM,WaDESD_WS69,Surface Water
SDwr_WS70,,,Fresh,KADOKA LAKE,WaDESD_WS70,Surface Water
SDwr_WS71,,,Fresh,QUINN DAM,WaDESD_WS71,Surface Water
SDwr_WS72,,,Fresh,WICKSVILLE DAM,WaDESD_WS72,Surface Water
SDwr_WS73,,,Fresh,NEW WALL LAKE,WaDESD_WS73,Surface Water
SDwr_WS74,,,Fresh,MITCHELL LAKE,WaDESD_WS74,Surface Water
SDwr_WS75,,,Fresh,N FORK SHAW CREEK,WaDESD_WS75,Surface Water
SDwr_WS76,,,Fresh,MAJOR LAKE,WaDESD_WS76,Surface Water
SDwr_WS77,,,Fresh,LITTLE MISSOURI,WaDESD_WS77,Surface Water
