SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
SDwr_S10710,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,SUNDAY GULCH,WaDEWY_S10682,,Surface Water,SD,,Bad Latitude,10709.0
SDwr_S10715,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,S FORK GRAND RIVER,WaDEWY_S10687,,Surface Water,SD,,Bad Latitude,10714.0
SDwr_S10723,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,REDWATER RIVER,WaDEWY_S10695,,Surface Water,SD,,Bad Latitude,10722.0
SDwr_S10767,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,DAM,WaDEWY_S10739,,Surface Water,SD,,Bad Latitude,10766.0
SDwr_S10790,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,SOUTH GRAND RIVER,WaDEWY_S10762,,Surface Water,SD,,Bad Latitude,10789.0
SDwr_S10823,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,SOUTH FORK GRAND R,WaDEWY_S10795,,Surface Water,SD,,Bad Latitude,10822.0
SDwr_S10827,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,RED WATER CREEK,WaDEWY_S10799,,Surface Water,SD,,Bad Latitude,10826.0
SDwr_S10879,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,GRAND RIVER,WaDEWY_S10851,,Surface Water,SD,,Bad Latitude,10878.0
SDwr_S10883,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,BELLE FOURCHE RIVER,WaDEWY_S10855,,Surface Water,SD,,Bad Latitude,10882.0
SDwr_S10895,Unspecified,Unspecified,COUNTY_1,EPSG:4326,,,, ,0.0,0.0,,,POD,REDWATER CREEK,WaDEWY_S10867,,Surface Water,SD,,Bad Latitude,10894.0
