WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
SDwr_WS1,,,Fresh,JR,WaDEWY_WS1,Unspecified
SDwr_WS2,,,Fresh,SR,WaDEWY_WS2,Unspecified
SDwr_WS3,,,Fresh,BD,WaDEWY_WS3,Unspecified
SDwr_WS4,,,Fresh,BF,WaDEWY_WS4,Unspecified
SDwr_WS5,,,Fresh,UC,WaDEWY_WS5,Unspecified
SDwr_WS6,,,Fresh,GR,WaDEWY_WS6,Unspecified
SDwr_WS7,,,Fresh,LM,WaDEWY_WS7,Unspecified
SDwr_WS8,,,Fresh,MR,WaDEWY_WS8,Unspecified
SDwr_WS9,,,Fresh,WH,WaDEWY_WS9,Unspecified
SDwr_WS10,,,Fresh,MI,WaDEWY_WS10,Unspecified
SDwr_WS11,,,Fresh,KE,WaDEWY_WS11,Unspecified
SDwr_WS12,,,Fresh,VR,WaDEWY_WS12,Unspecified
SDwr_WS13,,,Fresh,MW,WaDEWY_WS13,Unspecified
SDwr_WS14,,,Fresh,LC,WaDEWY_WS14,Unspecified
SDwr_WS15,,,Fresh,RR,WaDEWY_WS15,Unspecified
SDwr_WS16,,,Fresh,52,WaDEWY_WS16,Unspecified
SDwr_WS17,,,Fresh,84,WaDEWY_WS17,Unspecified
SDwr_WS18,,,Fresh,Unspecified,WaDEWY_WS18,Unspecified
SDwr_WS19,,,Fresh,0-,WaDEWY_WS19,Unspecified
SDwr_WS20,,,Fresh,32,WaDEWY_WS20,Unspecified
SDwr_WS21,,,Fresh,ED,WaDEWY_WS21,Unspecified
SDwr_WS22,,,Fresh,LN,WaDEWY_WS22,Unspecified
SDwr_WS23,,,Fresh,MN,WaDEWY_WS23,Unspecified
SDwr_WS24,,,Fresh,BT,WaDEWY_WS24,Unspecified
