MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart,ReasonRemoved,index
TWDB_Water Uses,TWDB,TXag_RU1,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,2127781,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,0.0
TWDB_Water Uses,TWDB,TXag_RU2,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,82624,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,1.0
TWDB_Water Uses,TWDB,TXag_RU3,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,172241,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,2.0
TWDB_Water Uses,TWDB,TXag_RU4,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,1595971,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,3.0
TWDB_Water Uses,TWDB,TXag_RU5,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,24181,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,4.0
TWDB_Water Uses,TWDB,TXag_RU6,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,139270,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,5.0
TWDB_Water Uses,TWDB,TXag_RU7,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,385734,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,6.0
TWDB_Water Uses,TWDB,TXag_RU8,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48394,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,7.0
TWDB_Water Uses,TWDB,TXag_RU9,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,48407,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,8.0
TWDB_Water Uses,TWDB,TXag_RU10,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,618066,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,9.0
TWDB_Water Uses,TWDB,TXag_RU11,TWDB_Consumptive Use,TXag_WS1,,,Irrigation,,,,02/19/2021,,,,,,206825,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad Amount,10.0
