ORGANIZATION_ID,REPORT_ID,REPORTING_DATE,REPORTING_YEAR,REPORT_NAME,REPORT_LINK,YEAR_TYPE
TWDB,2000,8/31/2018,2000,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2001,8/31/2018,2001,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2002,8/31/2018,2002,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2003,8/31/2018,2003,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2004,8/31/2018,2004,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2005,8/31/2018,2005,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2006,8/31/2018,2006,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2007,8/31/2018,2007,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2008,8/31/2018,2008,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2009,8/31/2018,2009,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2010,8/31/2018,2010,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2011,8/31/2018,2011,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2012,8/31/2018,2012,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2013,8/31/2018,2013,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2014,8/31/2018,2014,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2015,8/31/2018,2015,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
TWDB,2016,8/31/2018,2016,,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Calendar Year
