ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
TWDB,2000,12,BRAZOS,Basin,55,,
TWDB,2000,13,BRAZOS-COLORADO,Basin,55,,
TWDB,2000,1,CANADIAN,Basin,55,,
TWDB,2000,14,COLORADO,Basin,55,,
TWDB,2000,15,COLORADO-LAVACA,Basin,55,,
TWDB,2000,4,CYPRESS,Basin,55,,
TWDB,2000,18,GUADALUPE,Basin,55,,
TWDB,2000,16,LAVACA,Basin,55,,
TWDB,2000,17,LAVACA-GUADALUPE,Basin,55,,
TWDB,2000,6,NECHES,Basin,55,,
TWDB,2000,7,NECHES-TRINITY,Basin,55,,
TWDB,2000,21,NUECES,Basin,55,,
TWDB,2000,22,NUECES-RIO GRANDE,Basin,55,,
TWDB,2000,2,RED,Basin,55,,
TWDB,2000,23,RIO GRANDE,Basin,55,,
TWDB,2000,5,SABINE,Basin,55,,
TWDB,2000,19,SAN ANTONIO,Basin,55,,
TWDB,2000,20,SAN ANTONIO-NUECES,Basin,55,,
TWDB,2000,10,SAN JACINTO,Basin,55,,
TWDB,2000,11,SAN JACINTO-BRAZOS,Basin,55,,
TWDB,2000,3,SULPHUR,Basin,55,,
TWDB,2000,8,TRINITY,Basin,55,,
TWDB,2000,9,TRINITY-SAN JACINTO,Basin,55,,
TWDB,2000,48001,ANDERSON,County,55,48001,
TWDB,2000,48005,ANDREWS,County,55,48005,
TWDB,2000,48009,ANGELINA,County,55,48009,
TWDB,2000,48013,ARANSAS,County,55,48013,
TWDB,2000,48017,ARCHER,County,55,48017,
TWDB,2000,48021,ARMSTRONG,County,55,48021,
TWDB,2000,48025,ATASCOSA,County,55,48025,
TWDB,2000,48029,AUSTIN,County,55,48029,
TWDB,2000,48033,BAILEY,County,55,48033,
TWDB,2000,48037,BANDERA,County,55,48037,
TWDB,2000,48041,BASTROP,County,55,48041,
TWDB,2000,48045,BAYLOR,County,55,48045,
TWDB,2000,48049,BEE,County,55,48049,
TWDB,2000,48053,BELL,County,55,48053,
TWDB,2000,48057,BEXAR,County,55,48057,
TWDB,2000,48061,BLANCO,County,55,48061,
TWDB,2000,48065,BORDEN,County,55,48065,
TWDB,2000,48069,BOSQUE,County,55,48069,
TWDB,2000,48073,BOWIE,County,55,48073,
TWDB,2000,48077,BRAZORIA,County,55,48077,
TWDB,2000,48081,BRAZOS,County,55,48081,
TWDB,2000,48085,BREWSTER,County,55,48085,
TWDB,2000,48089,BRISCOE,County,55,48089,
TWDB,2000,48093,BROOKS,County,55,48093,
TWDB,2000,48097,BROWN,County,55,48097,
TWDB,2000,48101,BURLESON,County,55,48101,
TWDB,2000,48105,BURNET,County,55,48105,
TWDB,2000,48109,CALDWELL,County,55,48109,
TWDB,2000,48113,CALHOUN,County,55,48113,
TWDB,2000,48117,CALLAHAN,County,55,48117,
TWDB,2000,48121,CAMERON,County,55,48121,
TWDB,2000,48125,CAMP,County,55,48125,
TWDB,2000,48129,CARSON,County,55,48129,
TWDB,2000,48133,CASS,County,55,48133,
TWDB,2000,48137,CASTRO,County,55,48137,
TWDB,2000,48141,CHAMBERS,County,55,48141,
TWDB,2000,48145,CHEROKEE,County,55,48145,
TWDB,2000,48149,CHILDRESS,County,55,48149,
TWDB,2000,48153,CLAY,County,55,48153,
TWDB,2000,48157,COCHRAN,County,55,48157,
TWDB,2000,48161,COKE,County,55,48161,
TWDB,2000,48165,COLEMAN,County,55,48165,
TWDB,2000,48169,COLLIN,County,55,48169,
TWDB,2000,48173,COLLINGSWORTH,County,55,48173,
TWDB,2000,48177,COLORADO,County,55,48177,
TWDB,2000,48181,COMAL,County,55,48181,
TWDB,2000,48185,COMANCHE,County,55,48185,
TWDB,2000,48189,CONCHO,County,55,48189,
TWDB,2000,48193,COOKE,County,55,48193,
TWDB,2000,48197,CORYELL,County,55,48197,
TWDB,2000,48201,COTTLE,County,55,48201,
TWDB,2000,48205,CRANE,County,55,48205,
