ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2000,12,1,16,1,1,,2127781,
TWDB,2000,13,1,16,1,1,,82624,
TWDB,2000,1,1,16,1,1,,172241,
TWDB,2000,14,1,16,1,1,,1595971,
TWDB,2000,15,1,16,1,1,,24181,
TWDB,2000,4,1,16,1,1,,139270,
TWDB,2000,18,1,16,1,1,,385734,
TWDB,2000,16,1,16,1,1,,48394,
TWDB,2000,17,1,16,1,1,,48407,
TWDB,2000,6,1,16,1,1,,618066,
TWDB,2000,7,1,16,1,1,,206825,
TWDB,2000,21,1,16,1,1,,203437,
TWDB,2000,22,1,16,1,1,,1299481,
TWDB,2000,2,1,16,1,1,,561014,
TWDB,2000,23,1,16,1,1,,1129152,
TWDB,2000,5,1,16,1,1,,501816,
TWDB,2000,19,1,16,1,1,,1518920,
TWDB,2000,20,1,16,1,1,,119384,
TWDB,2000,10,1,16,1,1,,3507295,
TWDB,2000,11,1,16,1,1,,867029,
TWDB,2000,3,1,16,1,1,,176439,
TWDB,2000,8,1,16,1,1,,5424768,
TWDB,2000,9,1,16,1,1,,93590,
TWDB,2000,12,1,17,1,1,,2127781,
TWDB,2000,13,1,17,1,1,,82624,
TWDB,2000,1,1,17,1,1,,172241,
TWDB,2000,14,1,17,1,1,,1595971,
TWDB,2000,15,1,17,1,1,,24181,
TWDB,2000,4,1,17,1,1,,139270,
TWDB,2000,18,1,17,1,1,,385734,
TWDB,2000,16,1,17,1,1,,48394,
TWDB,2000,17,1,17,1,1,,48407,
TWDB,2000,6,1,17,1,1,,618066,
TWDB,2000,7,1,17,1,1,,206825,
TWDB,2000,21,1,17,1,1,,203437,
TWDB,2000,22,1,17,1,1,,1299481,
TWDB,2000,2,1,17,1,1,,561014,
TWDB,2000,23,1,17,1,1,,1129152,
TWDB,2000,5,1,17,1,1,,501816,
TWDB,2000,19,1,17,1,1,,1518920,
TWDB,2000,20,1,17,1,1,,119384,
TWDB,2000,10,1,17,1,1,,3507295,
TWDB,2000,11,1,17,1,1,,867029,
TWDB,2000,3,1,17,1,1,,176439,
TWDB,2000,8,1,17,1,1,,5424768,
TWDB,2000,9,1,17,1,1,,93590,
TWDB,2000,12,1,13,1,1,,,
TWDB,2000,13,1,13,1,1,,,
TWDB,2000,1,1,13,1,1,,,
TWDB,2000,14,1,13,1,1,,,
TWDB,2000,15,1,13,1,1,,,
TWDB,2000,4,1,13,1,1,,,
TWDB,2000,18,1,13,1,1,,,
TWDB,2000,16,1,13,1,1,,,
TWDB,2000,17,1,13,1,1,,,
TWDB,2000,6,1,13,1,1,,,
TWDB,2000,7,1,13,1,1,,,
TWDB,2000,21,1,13,1,1,,,
TWDB,2000,22,1,13,1,1,,,
TWDB,2000,2,1,13,1,1,,,
TWDB,2000,23,1,13,1,1,,,
TWDB,2000,5,1,13,1,1,,,
TWDB,2000,19,1,13,1,1,,,
TWDB,2000,20,1,13,1,1,,,
TWDB,2000,10,1,13,1,1,,,
TWDB,2000,11,1,13,1,1,,,
TWDB,2000,3,1,13,1,1,,,
TWDB,2000,8,1,13,1,1,,,
TWDB,2000,9,1,13,1,1,,,
TWDB,2000,12,1,14,1,1,,,
TWDB,2000,13,1,14,1,1,,,
TWDB,2000,1,1,14,1,1,,,
TWDB,2000,14,1,14,1,1,,,
TWDB,2000,15,1,14,1,1,,,
TWDB,2000,4,1,14,1,1,,,
TWDB,2000,18,1,14,1,1,,,
TWDB,2000,16,1,14,1,1,,,
TWDB,2000,17,1,14,1,1,,,
TWDB,2000,6,1,14,1,1,,,
TWDB,2000,7,1,14,1,1,,,
TWDB,2000,21,1,14,1,1,,,
TWDB,2000,22,1,14,1,1,,,
TWDB,2000,2,1,14,1,1,,,
TWDB,2000,23,1,14,1,1,,,
TWDB,2000,5,1,14,1,1,,,
TWDB,2000,19,1,14,1,1,,,
TWDB,2000,20,1,14,1,1,,,
TWDB,2000,10,1,14,1,1,,,
TWDB,2000,11,1,14,1,1,,,
TWDB,2000,3,1,14,1,1,,,
TWDB,2000,8,1,14,1,1,,,
TWDB,2000,9,1,14,1,1,,,
TWDB,2000,12,1,7,1,1,,,
TWDB,2000,13,1,7,1,1,,,
TWDB,2000,1,1,7,1,1,,,
TWDB,2000,14,1,7,1,1,,,
TWDB,2000,15,1,7,1,1,,,
TWDB,2000,4,1,7,1,1,,,
TWDB,2000,18,1,7,1,1,,,
TWDB,2000,16,1,7,1,1,,,
TWDB,2000,17,1,7,1,1,,,
TWDB,2000,6,1,7,1,1,,,
TWDB,2000,7,1,7,1,1,,,
TWDB,2000,21,1,7,1,1,,,
TWDB,2000,22,1,7,1,1,,,
TWDB,2000,2,1,7,1,1,,,
TWDB,2000,23,1,7,1,1,,,
TWDB,2000,5,1,7,1,1,,,
TWDB,2000,19,1,7,1,1,,,
TWDB,2000,20,1,7,1,1,,,
TWDB,2000,10,1,7,1,1,,,
TWDB,2000,11,1,7,1,1,,,
TWDB,2000,3,1,7,1,1,,,
TWDB,2000,8,1,7,1,1,,,
TWDB,2000,9,1,7,1,1,,,
TWDB,2000,12,1,8,1,1,,,
TWDB,2000,13,1,8,1,1,,,
TWDB,2000,1,1,8,1,1,,,
TWDB,2000,14,1,8,1,1,,,
TWDB,2000,15,1,8,1,1,,,
TWDB,2000,4,1,8,1,1,,,
TWDB,2000,18,1,8,1,1,,,
TWDB,2000,16,1,8,1,1,,,
TWDB,2000,17,1,8,1,1,,,
TWDB,2000,6,1,8,1,1,,,
TWDB,2000,7,1,8,1,1,,,
TWDB,2000,21,1,8,1,1,,,
TWDB,2000,22,1,8,1,1,,,
TWDB,2000,2,1,8,1,1,,,
TWDB,2000,23,1,8,1,1,,,
TWDB,2000,5,1,8,1,1,,,
TWDB,2000,19,1,8,1,1,,,
TWDB,2000,20,1,8,1,1,,,
TWDB,2000,10,1,8,1,1,,,
