ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,IRRIGATION_SEQ,IRRIGATION_METHOD,ACRES_IRRIGATED,CROP_TYPE
TWDB,2000,12,1,1,1,,,
TWDB,2000,13,1,1,1,,,
TWDB,2000,1,1,1,1,,,
TWDB,2000,14,1,1,1,,,
TWDB,2000,15,1,1,1,,,
TWDB,2000,4,1,1,1,,,
TWDB,2000,18,1,1,1,,,
TWDB,2000,16,1,1,1,,,
TWDB,2000,17,1,1,1,,,
TWDB,2000,6,1,1,1,,,
TWDB,2000,7,1,1,1,,,
TWDB,2000,21,1,1,1,,,
TWDB,2000,22,1,1,1,,,
TWDB,2000,2,1,1,1,,,
TWDB,2000,23,1,1,1,,,
TWDB,2000,5,1,1,1,,,
TWDB,2000,19,1,1,1,,,
TWDB,2000,20,1,1,1,,,
TWDB,2000,10,1,1,1,,,
TWDB,2000,11,1,1,1,,,
TWDB,2000,3,1,1,1,,,
TWDB,2000,8,1,1,1,,,
TWDB,2000,9,1,1,1,,,
TWDB,2000,12,2,1,1,,,
TWDB,2000,13,2,1,1,,,
TWDB,2000,1,2,1,1,,,
TWDB,2000,14,2,1,1,,,
TWDB,2000,15,2,1,1,,,
TWDB,2000,4,2,1,1,,,
TWDB,2000,18,2,1,1,,,
TWDB,2000,16,2,1,1,,,
TWDB,2000,17,2,1,1,,,
TWDB,2000,6,2,1,1,,,
TWDB,2000,7,2,1,1,,,
TWDB,2000,21,2,1,1,,,
TWDB,2000,22,2,1,1,,,
TWDB,2000,2,2,1,1,,,
TWDB,2000,23,2,1,1,,,
TWDB,2000,5,2,1,1,,,
TWDB,2000,19,2,1,1,,,
TWDB,2000,20,2,1,1,,,
TWDB,2000,10,2,1,1,,,
TWDB,2000,11,2,1,1,,,
TWDB,2000,3,2,1,1,,,
TWDB,2000,8,2,1,1,,,
TWDB,2000,9,2,1,1,,,
TWDB,2000,48001,1,1,1,,,
TWDB,2000,48005,1,1,1,,,
TWDB,2000,48009,1,1,1,,,
TWDB,2000,48013,1,1,1,,,
TWDB,2000,48017,1,1,1,,,
TWDB,2000,48021,1,1,1,,,
TWDB,2000,48025,1,1,1,,,
TWDB,2000,48029,1,1,1,,,
TWDB,2000,48033,1,1,1,,,
TWDB,2000,48037,1,1,1,,,
TWDB,2000,48041,1,1,1,,,
TWDB,2000,48045,1,1,1,,,
TWDB,2000,48049,1,1,1,,,
TWDB,2000,48053,1,1,1,,,
TWDB,2000,48057,1,1,1,,,
