LU_SEQ_NO,CONTEXT,VALUE,DESCRIPTION,STATE,LAST_CHANGE_DATE,RETIRED_FLAG
1,TWDB,Irr_gro,Irrigated agriculture_ground,55,,
2,TWDB,Irr_surf,Irrigated agriculture_surface,55,,
3,TWDB,Irr_re,Irrigated agriculture_reuse,55,,
4,TWDB,Live_gro,Livestock_ground,55,,
5,TWDB,Live_surf,Livestock_surface,55,,
6,TWDB,Live_re,Livestock_reuse,55,,
7,TWDB,Min_gro,Mining_ground,55,,
8,TWDB,Min_surf,Mining_surface,55,,
9,TWDB,Min_re,Mining_reuse,55,,
10,TWDB,Power_gro,Steam-Electric Power_ground,55,,
11,TWDB,Power_sur,Steam-Electric Power_surface,55,,
12,TWDB,Power_re,Steam-Electric Power_reuse,55,,
13,TWDB,Man_gro,Manufacturing_ground,55,,
14,TWDB,Man_sur,Manufacturing_surface,55,,
15,TWDB,Man_re,Manufacturing_reuse,55,,
16,TWDB,Mun_gro,Municipal_ground,55,,
17,TWDB,Mun_sur,Municipal_surface,55,,
18,TWDB,Mun_re,Municipal_reuse,55,,
