Year,Basin,Population,Irrig ation Reuse,Irrigation,Irrigation Ground Water,Irrigation Surface Water,Livestock,Livestock Ground Water,Livestock Reuse,Livestock Surface Water,Manu-facturing,Mfg Ground Water,Mfg Reuse,Mfg Surface Water,Mining,Mining Ground Water,Mining Reuse,Mining Surface Water,Municipal,Municipal Ground  Water,Municipal Reuse,Municipal Surface Water,Power Ground Water,Power Reuse,Power Surface Water,Steam Electric (Power)
2000,BRAZOS,2127781,,2804513,2711021,93492,74755,31646,,43109,142466,47774,,94692,8091,3288,,4803,409144,167201,,241946,19415,,128901,148315
2000,BRAZOS-COLORADO,82624,,263843,70159,193684,2185,1141,,1044,29601,1441,,28160,5414,964,,4450,11431,10460,,971,0,,0,0
2000,CANADIAN,172241,,1952208,1950566,1642,29810,16583,,13227,45010,41998,,3010,392,392,,0,42267,28210,,14057,4042,,3662,7704
2000,COLORADO,1595971,,1235274,1158725,76549,31411,12538,,18873,34419,7139,,27283,24418,5013,,19405,321082,76251,,244829,1343,,85378,86721
2000,COLORADO-LAVACA,24181,,99466,30581,68885,1184,710,,474,17775,222,,17553,2167,1349,,818,3689,3548,,141,62,,0,62
2000,CYPRESS,139270,,381,17,364,5821,2177,,3644,56333,593,,55742,10,1,,9,20673,8414,,12256,106,,47113,47219
2000,GUADALUPE,385734,,7301,3269,4032,12762,2054,,10708,29222,3128,,26093,12438,12125,,313,68634,43282,,25355,2689,,47479,50168
2000,LAVACA,48394,,180572,103232,77340,3864,985,,2879,1784,1784,,0,0,0,,0,7040,7040,,0,0,,0,0
2000,LAVACA-GUADALUPE,48407,,18053,9976,8077,1009,588,,421,23088,4,,23084,0,0,,0,2917,730,,2187,0,,0,0
2000,NECHES,618066,,13392,4045,9347,11244,4388,,6856,140528,66220,,74311,10,10,,0,120683,76382,,44305,132,,2371,2503
2000,NECHES-TRINITY,206825,,63993,0,63993,1085,651,,434,131340,26,,131314,1082,133,,948,36690,9091,,27599,0,,0,0
2000,NUECES,203437,,330749,299322,31427,12055,3962,,8093,11119,2320,,8798,1015,426,,589,40777,35705,,5072,7706,,3354,11060
2000,NUECES-RIO GRANDE,1299481,,534629,18043,516586,7193,985,,6208,45278,3311,,41968,6240,4958,,1283,221830,18997,,202834,1943,,2042,3985
2000,RED,561014,,1153624,1117813,35811,40162,17046,,23116,19110,13462,,5646,108,25,,83,116994,47489,,69504,503,,11794,12297
2000,RIO GRANDE,1129152,,849687,408566,441121,12833,9604,,3229,8772,8602,,169,949,770,,179,230690,135277,,95415,10188,,1997,12185
2000,SABINE,501816,,3242,609,2633,15010,5606,,9404,70856,4768,,66091,693,295,,399,87044,38089,,48954,1339,,47365,48705
2000,SAN ANTONIO,1518920,,40793,28674,12119,5123,802,,4321,13222,12925,,297,9339,7993,,1346,263237,257277,,5960,2314,,24057,26371
2000,SAN ANTONIO-NUECES,119384,,7795,7795,0,2297,230,,2067,2020,83,,1938,0,0,,0,21223,6472,,14751,0,,0,0
2000,SAN JACINTO,3507295,,24367,21462,2905,2759,1578,,1181,210731,17436,,193297,4139,3002,,1137,633072,375562,,257509,6974,,8470,15445
2000,SAN JACINTO-BRAZOS,867029,,95797,4077,91720,1561,957,,604,124820,6823,,117999,4023,39,,3984,136748,61415,,75332,11,,1850,1860
2000,SULPHUR,176439,,4519,86,4433,19613,4002,,15611,125371,403,,124968,69,67,,2,29550,6701,,22850,1,,161,162
2000,TRINITY,5424768,,52421,8995,43426,23640,7729,,15910,55800,6881,,48920,16010,173,,15838,1149659,94618,,1055045,816,,31604,32419
2000,TRINITY-SAN JACINTO,93590,,38176,3362,34814,196,135,,61,76429,63,,76366,2702,910,,1792,123842,1386,,122456,51,,744,795
2000,STATE TOTAL,20851819,,9774795,7960395,1814400,317572,126097,,191474,1415094,247406,,1167699,99309,41933,,57378,4098916,1509597,,2589328,59635,,448342,507976
2001,BRAZOS,2173827,,2724729,2633344,91385,73152,25763,,47389,231351,47214,,184138,16679,12907,,3773,404129,165712,,238419,18590,,106042,124633
2001,BRAZOS-COLORADO,83000,,341935,61656,280279,1995,323,,1672,23507,891,,22616,5152,1107,,4045,10942,10102,,841,0,,0,0
2001,CANADIAN,172360,,1626420,1625615,805,29833,16170,,13663,41738,38838,,2901,2048,525,,1523,38929,26725,,12204,1444,,3287,4731
2001,COLORADO,1625907,,1323403,1224838,98565,29995,10198,,19796,25460,6546,,18915,25370,4606,,20764,316262,78047,,238214,1392,,97544,98936
2001,COLORADO-LAVACA,24463,,115004,28196,86808,1021,209,,812,16821,69,,16752,1957,1299,,658,3438,3423,,15,75,,0,75
2001,CYPRESS,140365,,333,12,321,5396,1431,,3965,90676,453,,90224,8,1,,7,17851,8216,,9639,99,,29010,29110
2001,GUADALUPE,398619,,7992,3398,4594,13132,1555,,11577,29204,3470,,25733,6395,6395,,0,63250,37712,,25538,2384,,0,2384
2001,LAVACA,48859,,208341,103642,104699,3915,467,,3448,1786,1786,,0,0,0,,0,6763,6763,,0,0,,0,0
2001,LAVACA-GUADALUPE,48768,,24104,9449,14655,1004,332,,672,20807,3,,20804,0,0,,0,2682,702,,1981,0,,0,0
2001,NECHES,624461,,25666,1958,23708,10808,2940,,7868,140542,63326,,77214,12,12,,0,113230,73203,,40026,1368,,5879,7248
2001,NECHES-TRINITY,207185,,154318,0,154318,1079,507,,572,62803,52,,62751,659,140,,520,35262,10591,,24672,0,,0,0
2001,NUECES,205870,,370354,328253,42101,18016,3205,,14811,8737,2519,,6218,1138,549,,589,36725,31946,,4780,7583,,2631,10214
2001,NUECES-RIO GRANDE,1330849,,612178,18912,593266,7841,942,,6899,44345,3742,,40604,6476,5274,,1202,215808,17639,,198169,2154,,2977,5132
2001,RED,564171,,1004932,965911,39021,48618,19882,,28736,17941,12723,,5219,103,0,,103,113209,46008,,67206,405,,13297,13702
2001,RIO GRANDE,1148459,,861304,351991,509313,12315,7875,,4440,7839,7594,,244,927,806,,121,223241,125928,,97313,9462,,81,9543
2001,SABINE,508319,,4302,540,3762,15116,4220,,10896,63590,6147,,57446,453,113,,340,84375,37601,,46773,1557,,42154,43710
2001,SAN ANTONIO,1546234,,40952,28913,12039,5323,487,,4836,11707,11518,,189,10466,9018,,1449,262096,250632,,11463,1307,,19562,20869
2001,SAN ANTONIO-NUECES,119843,,7916,7916,0,2195,168,,2027,1418,9,,1409,0,0,,0,23469,6366,,17103,0,,0,0
2001,SAN JACINTO,3590937,,26722,23565,3157,2731,1019,,1712,306634,19647,,286987,3890,2502,,1388,555875,326959,,228916,5005,,8212,13218
2001,SAN JACINTO-BRAZOS,887872,,65360,2460,62900,1555,547,,1008,140535,3802,,136733,3821,785,,3035,123775,51854,,71921,6,,1454,1461
2001,SULPHUR,177589,,7335,39,7296,8274,1740,,6534,113869,389,,113480,67,67,,0,35289,6551,,28740,0,,10,10
2001,TRINITY,5602531,,60051,7164,52887,25063,5990,,19073,53745,6173,,47571,25798,147,,25650,1291610,88358,,1203257,930,,29543,30472
2001,TRINITY-SAN JACINTO,94536,,65355,4357,60998,199,13,,186,28501,61,,28439,2712,910,,1802,214697,1389,,213308,77,,685,762
2001,STATE TOTAL,21325024,,9679006,7432129,2246877,318576,105983,,212592,1483556,236972,,1246587,114131,47163,,66969,4192907,1412427,,2780498,53838,,362368,416210
2002,BRAZOS,2214850,,2825914,2745780,80134,71626,24862,,46764,224306,53012,,171297,15356,10559,,4797,399721,187459,,212267,17454,,156235,173690
2002,BRAZOS-COLORADO,83446,,228179,56872,171307,1938,312,,1626,1537,964,,573,5811,479,,5333,11163,10011,,1152,0,,0,0
2002,CANADIAN,172460,,2033206,2031874,1332,30999,16342,,14657,39455,36569,,2886,2007,384,,1623,37974,28014,,9960,1875,,3211,5086
2002,COLORADO,1639347,,1294681,1218893,75788,30303,9833,,20470,26200,7423,,18779,25189,6251,,18938,314200,82120,,232080,1203,,60146,61349
2002,COLORADO-LAVACA,24737,,81058,26540,54518,1000,204,,796,20135,31,,20104,1997,1160,,837,3204,3087,,118,101,,0,101
2002,CYPRESS,141050,,333,12,321,4846,1238,,3608,72524,710,,71814,9,1,,8,18013,8188,,9825,11,,42358,42369
2002,GUADALUPE,408556,,8235,3515,4720,12261,1576,,10685,24848,2649,,22201,8698,8156,,542,69378,33673,,35702,1217,,0,1217
2002,LAVACA,49405,,160341,98506,61835,4044,475,,3569,1794,1780,,14,0,0,,0,6671,6671,,0,0,,0,0
2002,LAVACA-GUADALUPE,49105,,15389,9014,6375,1017,336,,681,20984,7,,20976,0,0,,0,2622,643,,1979,0,,0,0
2002,NECHES,630410,,10799,1698,9101,10665,2760,,7905,129813,63331,,66481,5,5,,0,110496,71920,,38575,1326,,5442,6769
2002,NECHES-TRINITY,208447,,62295,0,62295,1036,485,,551,54080,26,,54053,1140,135,,1004,34717,9600,,25118,0,,0,0
2002,NUECES,207261,,470749,408537,62212,10969,2505,,8464,11415,3499,,7916,1188,599,,589,35177,30255,,4923,7580,,567,8147
2002,NUECES-RIO GRANDE,1367370,,544461,21548,522913,6636,807,,5829,42205,3357,,38848,6329,5146,,1183,209340,17883,,191456,1766,,3013,4778
2002,RED,569370,,1109476,1070351,39125,47112,19212,,27900,14910,10678,,4232,56,0,,56,113046,45050,,67998,261,,7998,8259
2002,RIO GRANDE,1170791,,736403,332985,403418,10765,7253,,3512,8179,7969,,210,947,812,,135,235644,118474,,117172,9868,,93,9961
2002,SABINE,515833,,3576,547,3029,14976,4199,,10777,142083,6521,,135563,310,134,,176,76528,36820,,39705,1319,,38162,39481
2002,SAN ANTONIO,1578357,,47513,33120,14393,5234,491,,4743,11353,11127,,226,11402,9106,,2296,245331,233529,,11801,1043,,15070,16113
2002,SAN ANTONIO-NUECES,120516,,8503,8503,0,2286,178,,2108,1941,15,,1926,0,0,,0,18826,6441,,12386,0,,0,0
2002,SAN JACINTO,3689189,,26981,24084,2897,2697,1004,,1693,249246,16292,,232954,3553,1817,,1736,457542,295672,,161870,3967,,7508,11473
2002,SAN JACINTO-BRAZOS,916445,,52670,2262,50408,1420,496,,924,109783,4013,,105770,4159,712,,3446,116726,51698,,65027,7,,1274,1281
2002,SULPHUR,178917,,9922,39,9883,8096,1696,,6400,113200,413,,112787,72,68,,4,35274,6712,,28563,0,,10,10
2002,TRINITY,5745869,,51059,7834,43225,23218,5429,,17789,48640,6889,,41755,9616,144,,9470,1145217,85885,,1059330,436,,10070,10506
2002,TRINITY-SAN JACINTO,95936,,48359,3477,44882,198,13,,185,79206,83,,79123,2677,896,,1781,427949,1367,,426583,28,,842,870
2002,STATE TOTAL,21777667,,9830102,8105991,1724111,303342,101706,,201636,1447837,237358,,1210488,100521,46564,,53954,4124759,1371172,,2753590,49462,,351999,401460
2003,BRAZOS,2244173,,2706376,2619729,86647,74570,26121,,48449,222046,54027,,168018,14680,10904,,3777,406233,186973,,219259,18896,,131465,150361
2003,BRAZOS-COLORADO,83453,,294713,72084,222629,2098,352,,1746,1063,995,,68,5797,0,,5797,11253,10545,,707,0,,0,0
2003,CANADIAN,173167,,1837541,1836879,662,30834,16732,,14102,38784,36705,,2078,2311,350,,1962,39367,26869,,12498,1999,,4025,6024
2003,COLORADO,1666423,,1183507,1089352,94155,27180,8751,,18429,30701,7649,,23052,23999,5300,,18699,316374,80185,,236187,1308,,15442,16750
2003,COLORADO-LAVACA,24951,,114349,40242,74107,1133,237,,896,21310,33,,21277,2283,1303,,980,3284,3210,,73,8,,0,8
2003,CYPRESS,142244,,354,13,341,4719,1208,,3511,75428,358,,75070,8,2,,6,18782,8159,,10623,87,,15270,15358
2003,GUADALUPE,416203,,6749,2369,4380,11781,1471,,10310,25377,2987,,22389,8613,8071,,542,70047,35237,,34810,475,,175,649
2003,LAVACA,49289,,191765,96193,95572,4267,518,,3749,1327,1321,,5,0,0,,0,6608,6606,,3,0,,0,0
2003,LAVACA-GUADALUPE,49130,,20485,6455,14030,1081,372,,709,19086,65,,19021,0,0,,0,2582,609,,1972,0,,0,0
2003,NECHES,632960,,20139,844,19295,10381,2609,,7772,130614,63429,,67185,31,31,,0,108550,71482,,37066,1359,,5420,6780
2003,NECHES-TRINITY,207897,,118721,0,118721,1392,656,,736,64198,67,,64131,1114,676,,438,31626,9528,,22096,0,,0,0
2003,NUECES,209316,,291457,255213,36244,10818,2487,,8331,9930,2376,,7553,1099,731,,368,32991,28222,,4769,7551,,2,7553
2003,NUECES-RIO GRANDE,1394404,,448256,8667,439589,6557,808,,5749,38698,4494,,34204,5435,5149,,286,222592,16132,,206460,2266,,2324,4590
2003,RED,570116,,1023893,975715,48178,40207,13276,,26931,16401,11784,,4617,55,0,,55,111493,43308,,68184,259,,7635,7894
2003,RIO GRANDE,1189111,,505162,260166,244996,8832,5575,,3257,7235,6822,,413,1109,999,,110,224773,139026,,85747,8306,,162,8468
2003,SABINE,518537,,4024,504,3520,14998,4232,,10766,67025,5461,,61565,428,285,,143,76661,37475,,39188,1546,,25848,27394
