SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
TXss_S1,,"TXss_WS601,TXss_WS429,TXss_WS44,TXss_WS16,TXss_WS59",,System,ANDERSON,4326,,,,,31.7547286724,-95.64526289780001,,,POU,CITY OF PALESTINE,TX0010001,,Public Water Systems,TX,
TXss_S2,,"TXss_WS59,TXss_WS601",,PWS,ANDERSON,4326,,,,,32.056111275700005,-95.5043632765,,,POU,CITY OF FRANKSTON DOWNTOWN PLANT,TX0010002,,Public Water Systems,TX,
TXss_S3,,"TXss_WS59,TXss_WS601",,CCNBND,ANDERSON,4326,,,,,32.060175684499995,-95.4475939828,,,POU,FRANKSTON RURAL WSC,TX0010004,,Public Water Systems,TX,
TXss_S4,,"TXss_WS439,TXss_WS59,TXss_WS601",,System,ANDERSON,4326,,,,,31.628617443899998,-95.57680358299999,,,POU,CITY OF ELKHART,TX0010005,,Public Water Systems,TX,
TXss_S5,,"TXss_WS59,TXss_WS601",,System,ANDERSON,4326,,,,,31.973039044,-95.54845719120001,,,POU,DOGWOOD SPRINGS WSC PLANT 1,TX0010007,,Public Water Systems,TX,
TXss_S6,,"TXss_WS59,TXss_WS601",,System,ANDERSON,4326,,,,,31.965121978499997,-95.80566018969999,,,POU,B B S WSC,TX0010015,,Public Water Systems,TX,
TXss_S7,,"TXss_WS59,TXss_WS601",,System,ANDERSON,4326,,,,,31.8801780646,-95.8864138615,,,POU,B C Y WSC,TX0010018,,Public Water Systems,TX,
TXss_S8,,"TXss_WS59,TXss_WS429,TXss_WS601",,System,ANDERSON,4326,,,,,31.751855016999997,-95.7469964517,,,POU,FOUR PINES WSC,TX0010020,,Public Water Systems,TX,
TXss_S9,,"TXss_WS59,TXss_WS429,TXss_WS601",,CCNBND,ANDERSON,4326,,,,,31.8043385643,-95.7053248559,,,POU,LONE PINE WSC,TX0010021,,Public Water Systems,TX,
TXss_S10,,"TXss_WS59,TXss_WS601",,CCNFAC,ANDERSON,4326,,,,,31.8807203189,-95.7450702342,,,POU,MONTALBA WSC,TX0010023,,Public Water Systems,TX,
TXss_S11,,"TXss_WS92,TXss_WS59,TXss_WS429,TXss_WS601",,CCNBND,ANDERSON,4326,,,,,31.8448010488,-95.52169259739999,,,POU,NECHES WSC,TX0010024,,Public Water Systems,TX,
TXss_S12,,"TXss_WS16,TXss_WS59,TXss_WS429,TXss_WS601",,System,ANDERSON,4326,,,,,31.720679771999997,-95.6395048791,,,POU,PLEASANT SPRINGS WSC,TX0010026,,Public Water Systems,TX,
TXss_S13,,"TXss_WS7,TXss_WS59,TXss_WS601",,CCNBND,ANDERSON,4326,,,,,31.676997436100002,-95.4105306325,,,POU,SLOCUM WSC,TX0010028,,Public Water Systems,TX,
