WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
TXss_WS1,,,Fresh,OGALLALA AQUIFER,WaDETX_WS1,Ground Water
TXss_WS2,,,Fresh,GREENBELT LAKE/RESERVOIR,WaDETX_WS2,Surface Water
TXss_WS3,,,Fresh,SEYMOUR AQUIFER,WaDETX_WS3,Ground Water
TXss_WS4,,,Fresh,MEREDITH LAKE/RESERVOIR,WaDETX_WS4,Surface Water
TXss_WS5,,,Fresh,CITY OF DUMAS,WaDETX_WS5,Reuse
TXss_WS6,,,Fresh,DOCKUM AQUIFER,WaDETX_WS6,Ground Water
TXss_WS7,,,Fresh,Unspecified,WaDETX_WS7,Ground Water
TXss_WS8,,,Fresh,OTHER AQUIFER,WaDETX_WS8,Ground Water
TXss_WS9,,,Fresh,CITY OF PERRYTON,WaDETX_WS9,Reuse
TXss_WS10,,,Fresh,CITY OF BORGER,WaDETX_WS10,Reuse
TXss_WS11,,,Fresh,AMARILLO MWS,WaDETX_WS11,Reuse
TXss_WS12,,,Fresh,CITY OF MEMPHIS,WaDETX_WS12,Reuse
TXss_WS13,,,Fresh,CITY OF PAMPA,WaDETX_WS13,Reuse
TXss_WS14,,,Fresh,CITY OF CHILDRESS,WaDETX_WS14,Reuse
TXss_WS15,,,Fresh,CITY OF DALHART,WaDETX_WS15,Reuse
TXss_WS16,,,Fresh,UNKNOWN,WaDETX_WS16,Surface Water
TXss_WS17,,,Fresh,CANYON MUNICIPAL WATER SYSTEM,WaDETX_WS17,Reuse
TXss_WS18,,,Fresh,AMBERWOOD WATER SYSTEM,WaDETX_WS18,Reuse
TXss_WS19,,,Fresh,CITY OF DARROUZETT,WaDETX_WS19,Reuse
TXss_WS20,,,Fresh,CITY OF HEDLEY,WaDETX_WS20,Reuse
TXss_WS21,,,Fresh,RITA BLANCA AQUIFER,WaDETX_WS21,Ground Water
TXss_WS22,,,Fresh,CITY OF VEGA-OLDHAM COUNTY WELLS,WaDETX_WS22,Reuse
TXss_WS23,,,Fresh,CITY OF VEGA-DEAF SMITH COUNTY WELLS,WaDETX_WS23,Reuse
TXss_WS24,,,Fresh,BLAINE AQUIFER,WaDETX_WS24,Ground Water
TXss_WS25,,,Fresh,RED RUN OF RIVER,WaDETX_WS25,Surface Water
TXss_WS26,,,Fresh,CANADIAN RUN OF RIVER,WaDETX_WS26,Surface Water
TXss_WS27,,,Fresh,KICKAPOO LAKE/RESERVOIR,WaDETX_WS27,Surface Water
TXss_WS28,,,Fresh,TRINITY AQUIFER,WaDETX_WS28,Ground Water
TXss_WS29,,,Fresh,ARROWHEAD LAKE/RESERVOIR,WaDETX_WS29,Surface Water
TXss_WS30,,,Fresh,KEMP LAKE/RESERVOIR,WaDETX_WS30,Surface Water
TXss_WS31,,,Fresh,CITY OF NOCONA,WaDETX_WS31,Reuse
TXss_WS32,,,Fresh,HENRIETTA LAKE/RESERVOIR,WaDETX_WS32,Surface Water
TXss_WS33,,,Fresh,CITY OF IOWA PARK,WaDETX_WS33,Reuse
TXss_WS34,,,Fresh,CITY OF BURKBURNETT,WaDETX_WS34,Reuse
TXss_WS35,,,Fresh,BUFFALO LAKE/RESERVOIR,WaDETX_WS35,Surface Water
TXss_WS36,,,Fresh,FARMERS CREEK LAKE/RESERVOIR,WaDETX_WS36,Surface Water
TXss_WS37,,,Fresh,CITY OF MEGARGEL,WaDETX_WS37,Reuse
TXss_WS38,,,Fresh,NORTH FORK BUFFALO CREEK LAKE/RESERVOIR,WaDETX_WS38,Surface Water
TXss_WS39,,,Fresh,CITY OF WICHITA FALLS,WaDETX_WS39,Reuse
TXss_WS40,,,Fresh,ELECTRA LAKE/RESERVOIR,WaDETX_WS40,Surface Water
TXss_WS41,,,Fresh,CITY OF BOWIE,WaDETX_WS41,Reuse
TXss_WS42,,,Fresh,PETROLIA CITY LAKE/RESERVOIR,WaDETX_WS42,Surface Water
TXss_WS43,,,Fresh,CITY OF SEYMOUR,WaDETX_WS43,Reuse
TXss_WS44,,,Fresh,TRINITY RUN OF RIVER,WaDETX_WS44,Surface Water
TXss_WS45,,,Fresh,U S AIR FORCE-SHEPPARD AFB,WaDETX_WS45,Reuse
TXss_WS46,,,Fresh,CITY OF OLNEY,WaDETX_WS46,Reuse
TXss_WS47,,,Fresh,MEGARGEL CREEK LAKE/RESERVOIR,WaDETX_WS47,Surface Water
TXss_WS48,,,Fresh,COOPER LAKE/RESERVOIR - RED,WaDETX_WS48,Surface Water
TXss_WS49,,,Fresh,AMON G CARTER LAKE/RESERVOIR,WaDETX_WS49,Surface Water
TXss_WS50,,,Fresh,BRAZOS RUN OF RIVER,WaDETX_WS50,Surface Water
TXss_WS51,,,Fresh,IOWA PARK LAKE/RESERVOIR,WaDETX_WS51,Surface Water
TXss_WS52,,,Fresh,ARCHER CITY LAKE/RESERVOIR,WaDETX_WS52,Surface Water
TXss_WS53,,,Fresh,GORDON LAKE/RESERVOIR,WaDETX_WS53,Surface Water
TXss_WS54,,,Fresh,WINDTHORST LAKE/RESERVOIR,WaDETX_WS54,Surface Water
TXss_WS55,,,Fresh,WICHITA LAKE/RESERVOIR,WaDETX_WS55,Surface Water
TXss_WS56,,,Fresh,LAVON LAKE/RESERVOIR,WaDETX_WS56,Surface Water
TXss_WS57,,,Fresh,WOODBINE AQUIFER,WaDETX_WS57,Ground Water
TXss_WS58,,,Fresh,TAWAKONI LAKE/RESERVOIR,WaDETX_WS58,Surface Water
TXss_WS59,,,Fresh,CARRIZO-WILCOX AQUIFER,WaDETX_WS59,Ground Water
