surveyNo,yr,pwsCode2,pwsName
10,2020,TX1970003,CANADIAN RIVER MWA
20,2020,TX0650013,GREENBELT MIWA
25,2020,TX1070252,ATHENS MUNICIPAL WATER AUTHORITY
60,2020,TX1580065,NORTHEAST TEXAS MWD
876750,2020,TX0920021,TRYON ROAD SUD
931834,2020,TX1020078,WEST HARRISON WSC
72855,2020,TX1020061,BIG OAK MHP
629000,2020,TX2300003,CITY OF ORE CITY
508750,2020,TX1720005,CITY OF LONE STAR
436800,2020,TX1580001,CITY OF JEFFERSON
370395,2020,TX1580064,MIMS WSC
368780,2020,TX1020074,HARLETON WSC
227570,2020,TX2300006,DIANA SUD
205200,2020,TX1720001,CITY OF DAINGERFIELD
538090,2020,TX1020002,CITY OF MARSHALL
202000,2020,TX1020020,CYPRESS VALLEY WSC PLANT 1
325500,2020,TX1020021,GILL WSC
392320,2020,TX1020028,HOLIDAY SPRINGS MOBILE HOME PARK
842820,2020,TX1020023,TALLEY WSC
778770,2020,TX1020006,CITY OF SCOTTSVILLE
79215,2020,TX1020077,BLOCKER CROSSROADS WSC
72750,2020,TX0320002,BI COUNTY WSC 1
954905,2020,TX0320014,WOODLAND HARBOR
866290,2020,TX0320013,THUNDERBIRD POINT WATER SYSTEM
43000,2020,TX0340002,CITY OF AVINGER
399600,2020,TX0340003,CITY OF HUGHES SPRINGS
392482,2020,TX0340055,HOLLY SPRINGS WSC EAST METER
1103550,2020,TX0340067,HOLLY SPRINGS WSC WEST METER
90,2020,TX1290052,NORTH TEXAS MWD TAWAKONI WTP
140,2020,TX0360112,LOWER NECHES VALLEY AUTHORITY
690350,2020,TX1230009,CITY OF PORT ARTHUR
806000,2020,TX1000003,CITY OF SOUR LAKE
691750,2020,TX1230010,CITY OF PORT NECHES
874100,2020,TX0360030,TBCD WEST TREATMENT PLANT
436920,2020,TX1230003,JEFFERSON COUNTY WCID 10
344800,2020,TX1230012,CITY OF GROVES
931905,2020,TX1230021,WEST JEFFERSON COUNTY MWD
1102191,2020,TX1230075,BELLE OAKS WATER
597050,2020,TX1230006,CITY OF NEDERLAND
188053,2020,TX1230037,COUNTRY SIDE ESTATES
60200,2020,TX1230001,CITY OF BEAUMONT WATER UTILITY DEPT
133600,2020,TX1230020,CARDINAL MEADOWS IMPROVEMENT DISTRICT
611052,2020,TX1230086,NORTHWEST FOREST MUD
606100,2020,TX1230039,CITY OF NOME
160,2020,TX0430044,NORTH TEXAS MWD WYLIE WTP
502550,2020,TX0610035,TOWN OF LITTLE ELM
1102821,2020,TX0610253,FRISCO WEST WCID
390600,2020,TX0610112,HILLTOWN ADDITION
138350,2020,TX1160018,CASH SUD
374414,2020,TX1160011,ROCKWALL EAST MINI RANCH
374412,2020,TX1160079,OAK RIDGE ESTATES
508400,2020,TX1160006,CITY OF LONE OAK
710400,2020,TX1160007,CITY OF QUINLAN
844300,2020,TX1160052,COMBINED CONSUMERS SUD
188077,2020,TX1160093,COUNTRY WOOD ESTATES
750700,2020,TX1990002,CITY OF ROYSE CITY
72777,2020,TX1160015,B H P WSC
248750,2020,TX0430033,EAST FORK SUD
277800,2020,TX0430034,TOWN OF FAIRVIEW
282810,2020,TX1990006,CITY OF FATE
293750,2020,TX1290014,FORNEY LAKE WSC
307200,2020,TX0430005,CITY OF FRISCO
578975,2020,TX0610091,CITY OF HACKBERRY
183910,2020,TX0430029,COPEVILLE SUD
280825,2020,TX0430004,CITY OF FARMERSVILLE
607520,2020,TX0430043,NORTH FARMERSVILLE WSC
395350,2020,TX1160029,CADDO BASIN SUD
319950,2020,TX1290015,GASTONIA SCURRY SUD
440540,2020,TX0430036,CITY OF JOSEPHINE
519215,2020,TX0430054,CITY OF LUCAS
562200,2020,TX0570014,CITY OF MESQUITE
342340,2020,TX1160004,CITY OF GREENVILLE
432950,2020,TX1160031,JACOBIA WSC
788550,2020,TX1160042,SHADY GROVE SUD
127500,2020,TX1160001,CITY OF CADDO MILLS
458630,2020,TX1290047,KAUFMAN COUNTY MUD 12
1103475,2020,TX1290046,KAUFMAN COUNTY MUD 11
1104129,2020,TX1290053,KAUFMAN COUNTY MUD 14
569960,2020,TX0430041,MILLIGAN WSC
583020,2020,TX1990010,MOUNT ZION WSC
587650,2020,TX0430042,CITY OF MURPHY
599300,2020,TX0430053,NEVADA SUD
554200,2020,TX0430040,CITY OF MELISSA
341465,2020,TX0910148,GREATER TEXOMA UTILITY AUTHORITY
897400,2020,TX0910009,CITY OF VAN ALSTYNE
29600,2020,TX0430027,CITY OF ANNA
548600,2020,TX0430039,CITY OF MCKINNEY
607505,2020,TX0430055,NORTH COLLIN SUD
701400,2020,TX0430008,CITY OF PRINCETON
197900,2020,TX0430030,CULLEOKA WSC
703000,2020,TX0430009,TOWN OF PROSPER
653870,2020,TX0430045,CITY OF PARKER
739400,2020,TX1990001,CITY OF ROCKWALL
77100,2020,TX1990004,BLACKLAND WSC
377274,2020,TX1990014,CITY OF HEATH
720575,2020,TX1990012,R C H WSC
749000,2020,TX0570056,CITY OF ROWLETT
759750,2020,TX0570057,CITY OF SACHSE
783125,2020,TX0430057,SEIS LAGOS UTILITY DISTRICT
724200,2020,TX0570015,CITY OF RICHARDSON
13000,2020,TX0430025,CITY OF ALLEN
685400,2020,TX0430007,CITY OF PLANO
166810,2020,TX0610081,CITY OF THE COLONY
206800,2020,TX0570004,DALLAS WATER UTILITY
280800,2020,TX0570047,CITY OF FARMERS BRANCH
50400,2020,TX0570032,CITY OF BALCH SPRINGS
9000,2020,TX0570031,TOWN OF ADDISON
136200,2020,TX0570034,CITY OF CARROLLTON
164650,2020,TX0570038,CITY OF COCKRELL HILL
184200,2020,TX0570040,CITY OF COPPELL
225200,2020,TX0570006,CITY OF DESOTO
242000,2020,TX0570007,CITY OF DUNCANVILLE
328575,2020,TX0570085,CITY OF GLENN HEIGHTS
340200,2020,TX2200013,CITY OF GRAPEVINE
412400,2020,TX0570012,CITY OF HUTCHINS
949600,2020,TX0570018,CITY OF WILMER
425400,2020,TX0570050,CITY OF IRVING
484400,2020,TX0570013,CITY OF LANCASTER
1103485,2020,TX0570176,LANCASTER MUD 1
141000,2020,TX0570036,CITY OF CEDAR HILL
632000,2020,TX0700067,CITY OF OVILLA
721000,2020,TX0700031,CITY OF RED OAK
737500,2020,TX0700033,ROCKETT SUD
754100,2020,TX0700023,RURAL BARDWELL WSC
52800,2020,TX0700020,CITY OF BARDWELL
285600,2020,TX0700002,CITY OF FERRIS
641400,2020,TX0700007,CITY OF PALMER
566200,2020,TX0700005,CITY OF MIDLOTHIAN
581500,2020,TX0700042,MOUNTAIN PEAK SUD
360030,2020,TX1260094,SOUTHERN ACRES WATER SYSTEM
545400,2020,TX0700004,CITY OF MAYPEARL
774000,2020,TX0700034,SARDIS LONE ELM WSC
336200,2020,TX0570048,CITY OF GRAND PRAIRIE
535800,2020,TX2200018,CITY OF MANSFIELD
440100,2020,TX1260018,JOHNSON COUNTY SUD
72100,2020,TX1260016,BETHANY SUD
72150,2020,TX1260017,BETHESDA WSC
35000,2020,TX2200001,CITY OF ARLINGTON
214800,2020,TX2200047,CITY OF DALWORTHINGTON GARDENS
298900,2020,TX2200012,CITY OF FORT WORTH
271800,2020,TX2200010,CITY OF EVERMAN
270450,2020,TX2200031,CITY OF EULESS
771400,2020,TX2200071,CITY OF SANSOM PARK
651755,2020,TX1840001,CITY OF ALEDO
112000,2020,TX1260002,CITY OF BURLESON
195600,2020,TX2200034,CITY OF CROWLEY
222805,2020,TX0610018,TROPHY CLUB MUD 1
1103345,2020,TX0610273,TOWN OF TROPHY CLUB PUBLIC IMPROVEMENT D
293150,2020,TX2200011,CITY OF FOREST HILL
366800,2020,TX2200014,CITY OF HALTOM CITY
374900,2020,TX2200052,CITY OF HASLET
410800,2020,TX2200054,CITY OF HURST
62550,2020,TX2200003,CITY OF BEDFORD
460200,2020,TX2200096,CITY OF KELLER
462600,2020,TX2200017,CITY OF KENNEDALE
482975,2020,TX2200060,CITY OF LAKE WORTH
609850,2020,TX2200063,CITY OF NORTH RICHLAND HILLS
165510,2020,TX2200043,CITY OF COLLEYVILLE
919353,2020,TX2200328,CITY OF WATAUGA
725800,2020,TX2200022,CITY OF RICHLAND HILLS
732200,2020,TX0610008,CITY OF ROANOKE
761200,2020,TX2200023,CITY OF SAGINAW
807500,2020,TX2200075,CITY OF SOUTHLAKE
764200,2020,TX0150018,SAN ANTONIO WATER SYSTEM
37905,2020,TX0150040,ATASCOSA RURAL WSC
259500,2020,TX0150048,CITY OF ELMENDORF
718570,2020,TX1300033,KENDALL WEST UTILITY
1106126,2020,TX1300060,MIRALOMAS MUD
1102084,2020,TX0460239,GBRA WESTERN CANYON WATER SUPPLY
84000,2020,TX1300001,CITY OF BOERNE
184711,2020,TX1300048,GBRA CORDILLERA RANCH
277575,2020,TX0150216,FAIR OAKS RANCH UTILITIES
329451,2020,TX0460246,SJWTX GLENWOOD SUBDIVISION
507280,2020,TX0460208,GBRA LOMAS WATER CO COMAL TRACE
1102668,2020,TX0460265,GBRA JOHNSON RANCH SUBDIVISION
133134,2020,TX0940091,CRWA LAKE DUNLAP WTP
342300,2020,TX0940020,GREEN VALLEY SUD
1103169,2020,TX0940096,CRWA WELLS RANCH
486800,2020,TX2470004,CITY OF LA VERNIA
153000,2020,TX0940018,CITY OF CIBOLO
778200,2020,TX0940003,CITY OF SCHERTZ
1103555,2020,TX0940094,SCHERTZ SEGUIN LOCAL GOVERNMENT CORPORAT
820165,2020,TX0940022,SPRINGS HILL WSC
783000,2020,TX0940002,CITY OF SEGUIN
783300,2020,TX0150492,CITY OF SELMA
891320,2020,TX0150009,CITY OF UNIVERSAL CITY
183600,2020,TX0150047,CITY OF CONVERSE
537400,2020,TX0940001,CITY OF MARION
601600,2020,TX0460001,NEW BRAUNFELS UTILITIES
196300,2020,TX0940015,CRYSTAL CLEAR SUD
769000,2020,TX1050001,CITY OF SAN MARCOS
473000,2020,TX1050002,CITY OF KYLE
133137,2020,TX0280024,CRWA HAYS CALDWELL WTP
188080,2020,TX1050038,COUNTY LINE SUD
330200,2020,TX1050019,GOFORTH SUD
539000,2020,TX0280013,MARTINDALE WSC
544620,2020,TX0280003,MAXWELL WSC
248615,2020,TX0150138,EAST CENTRAL SUD
1104496,2020,TX0150084,SAWS NORTHEAST
778030,2020,TX0150399,THE OAKS WSC
934400,2020,TX2200078,TOWN OF WESTOVER HILLS
938310,2020,TX2200131,CITY OF WESTWORTH VILLAGE
943200,2020,TX2200081,CITY OF WHITE SETTLEMENT
947001,2020,TX2200350,TOWN OF WESTLAKE
730900,2020,TX2200069,CITY OF RIVER OAKS
396200,2020,TX1010013,CITY OF HOUSTON
1105009,2020,TX1013632,HARRIS COUNTY MUD 422
1104131,2020,TX1013586,HARRIS COUNTY MUD 537
1100597,2020,TX1013416,HARRIS COUNTY MUD 400 - EAST
1105102,2020,TX1013691,HARRIS COUNTY MUD 423
576200,2020,TX0360017,CITY OF MONT BELVIEU
820170,2020,TX1010214,CITY OF SPRING VALLEY VILLAGE
342345,2020,TX1010554,GREENWOOD UTILITY DISTRICT
651805,2020,TX1010750,PARKWAY UTILITY DISTRICT
218000,2020,TX1010007,CITY OF DEER PARK
58290,2020,TX1012698,BAYBROOK MUD 1
64800,2020,TX1010004,CITY OF BELLAIRE
108000,2020,TX1010106,CITY OF BUNKER HILL VILLAGE
150620,2020,TX1010910,CHIMNEY HILL MUD
306100,2020,TX0840002,CITY OF FRIENDSWOOD
370005,2020,TX1010500,HARRIS COUNTY MUD 5
1100643,2020,TX1013303,WEST HARRIS COUNTY REGIONAL WATER AUTHOR
1102328,2020,TX1013329,HARRIS COUNTY MUD 418
1102134,2020,TX1013335,HARRIS COUNTY MUD 419
1105008,2020,TX1013628,HARRIS COUNTY MUD 489
929414,2020,TX1012001,WEST HARRIS COUNTY MUD 15
929413,2020,TX1012002,WEST HARRIS COUNTY MUD 14
819475,2020,TX1010654,SPENCER ROAD PUD
740826,2020,TX1012877,ROLLING CREEK UTILITY DISTRICT
158650,2020,TX1011681,CLAY ROAD MUD
370284,2020,TX1013114,HARRIS COUNTY MUD 284
370167,2020,TX1012842,HARRIS COUNTY MUD 167
723965,2020,TX1012227,RICEWOOD MUD
929417,2020,TX1012238,WEST HARRIS COUNTY MUD 17
929407,2020,TX1012228,WEST HARRIS COUNTY MUD 7
544955,2020,TX1011689,MAYDE CREEK MUD
485250,2020,TX1011249,LANGHAM CREEK UTILITY DISTRICT
432300,2020,TX1010538,JACKRABBIT ROAD PUD
372006,2020,TX1010501,HARRIS COUNTY UTILITY DISTRICT 6
1102451,2020,TX1013350,HARRIS COUNTY MUD 433
1102580,2020,TX1013450,HARRIS COUNTY MUD 374 CYPRESS CREEK LAKE
370368,2020,TX1013107,HARRIS COUNTY MUD 371
1102440,2020,TX1013296,CYPRESS CREEK RANCH
370371,2020,TX1013113,HARRIS COUNTY MUD 370
370341,2020,TX1012917,HARRIS COUNTY MUD 341
370238,2020,TX1012361,HARRIS COUNTY MUD 238
370173,2020,TX1012971,HARRIS COUNTY MUD 173
370196,2020,TX1013002,HARRIS COUNTY MUD 196
722704,2020,TX1013074,REMINGTON MUD 1
1102795,2020,TX1013390,HARRIS COUNTY MUD 500
1104044,2020,TX1013494,HARRIS COUNTY MUD 502
1102796,2020,TX1013403,HARRIS COUNTY MUD 501
370172,2020,TX1012970,HARRIS COUNTY MUD 172
370155,2020,TX1012351,HARRIS COUNTY MUD 155
1102136,2020,TX1013327,HARRIS COUNTY MUD 156
370276,2020,TX1012942,HARRIS COUNTY MUD 276
370166,2020,TX1013181,HARRIS COUNTY MUD 166
370257,2020,TX1012985,HARRIS COUNTY MUD 257
370149,2020,TX1011296,HARRIS COUNTY MUD 149
370183,2020,TX1011824,HARRIS COUNTY MUD 183
370136,2020,TX1010599,HARRIS COUNTY MUD 136
370127,2020,TX1012229,HARRIS COUNTY MUD 127
370239,2020,TX1012392,HARRIS COUNTY MUD 239
370157,2020,TX1011430,HARRIS COUNTY MUD 157
370165,2020,TX1012187,HARRIS COUNTY MUD 165
370105,2020,TX1011227,HARRIS COUNTY MUD 105
370250,2020,TX1012350,HARRIS COUNTY MUD 250
370102,2020,TX1010503,HARRIS COUNTY MUD 102
370185,2020,TX1011914,HARRIS COUNTY MUD 185
395825,2020,TX1011785,HORSEPEN BAYOU MUD
370255,2020,TX1012766,HARRIS COUNTY MUD 255
370264,2020,TX1012330,HARRIS COUNTY MUD 264
370144,2020,TX1010923,HARRIS COUNTY MUD 144
370070,2020,TX1011690,HARRIS COUNTY MUD 70
370163,2020,TX1012213,HARRIS COUNTY MUD 163
370208,2020,TX1012419,HARRIS COUNTY MUD 208
370186,2020,TX1012214,HARRIS COUNTY MUD 186
370162,2020,TX1011612,HARRIS COUNTY MUD 162
370179,2020,TX1011848,HARRIS COUNTY MUD 179
370130,2020,TX1012097,HARRIS COUNTY MUD 130
370188,2020,TX1011982,HARRIS COUNTY MUD 188
52900,2020,TX1011613,BARKER CYPRESS MUD
8960,2020,TX1011019,ADDICKS UTILITY DISTRICT
1103440,2020,TX1013429,CENTRAL HARRIS COUNTY REGIONAL WATER AUT
370217,2020,TX1011983,HARRIS COUNTY MUD 217
370304,2020,TX1012941,HARRIS COUNTY MUD 304
718595,2020,TX1012354,RANKIN ROAD WEST MUD
370200,2020,TX1012007,HARRIS COUNTY MUD 200 CRANBROOK
370205,2020,TX1012704,HARRIS COUNTY MUD 205
370215,2020,TX1012812,HARRIS COUNTY MUD 215
370399,2020,TX1013346,HARRIS COUNTY MUD 399
370150,2020,TX1011250,HARRIS COUNTY MUD 150
370049,2020,TX1011462,HARRIS COUNTY MUD 49
371200,2020,TX1013298,NORTH HARRIS COUNTY REGIONAL WATER AUTHO
866125,2020,TX1011908,HARRIS COUNTY MUD 368
820010,2020,TX1010390,SPRING CREEK FOREST PUD
699915,2020,TX1010467,PRESTONWOOD FOREST UTILITY DISTRICT
