Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2021,0554100,CITY OF MEGARGEL,130,Ground Water,Pur,B,ARCHER,RED,BAYLOR,BRAZOS,SEYMOUR AQUIFER,,BAYLOR WATER                                                                                                                                                                                                                                                   ,0,N,N,0.00,"488,800","846,900","362,900","487,300","378,400","453,000","568,400","685,700","610,000","535,800","630,000","581,600","6,628,800"
2020,0109600,CITY OF BURKBURNETT,"11,372",Surface Water,Pur,B,WICHITA,RED,WICHITA,RED,,CANADIAN RUN OF RIVER,CITY OF WICHITA FALLS                                                                                                                                                                                                                                          ,0,N,N,100.00,"680,000","716,000","200,000","704,000","1,779,000","3,038,000","2,976,000","2,157,000","757,000","1,303,000","841,000","3,790,000","18,941,000"
2020,0395851,HORSESHOE BEND HOA,85,Surface Water,Pur,B,WICHITA,RED,,,,UNKNOWN,CITY OF IOWA PARK                                                                                                                                                                                                                                              ,0,N,,100.00,"162,870","176,100","195,800","230,950","357,100","466,380","449,200","445,150","268,700","284,150","261,700","218,065","3,516,165"
2020,0481385,CITY OF LAKESIDE CITY,"1,000",Surface Water,Pur,B,ARCHER,RED,ARCHER,RED,,KICKAPOO LAKE/RESERVOIR,CITY OF WICHITA FALLS                                                                                                                                                                                                                                          ,0,N,N,100.00,"2,255,968","1,719,652","1,577,532","2,573,868","2,992,748","3,487,924","4,310,724","3,315,136","2,340,492","3,114,672","1,730,124","2,241,756","31,660,596"
2020,0605660,NOCONA HILLS WSC,600,Ground Water,SS,B,MONTAGUE,RED,MONTAGUE,RED,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,4,N,N,0.00,"1,016,500","964,400","1,464,050","668,010","1,301,650","2,189,390","3,631,770","2,855,100","3,182,910","2,302,950","1,823,140","1,423,456","22,823,326"
2020,0721164,RED RIVER AUTHORITY-RINGOLD WS,160,Ground Water,SS,B,MONTAGUE,RED,MONTAGUE,RED,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"467,000","464,000","525,000","525,000","598,000","597,000","516,000","592,000","504,000","654,000","660,000","876,000","6,978,000"
2020,0721189,RED RIVER AUTHORITY-MEDICINE MOUND WS,123,Surface Water,Pur,B,HARDEMAN,RED,DONLEY,RED,,GREENBELT LAKE/RESERVOIR,GREENBELT MIWA                                                                                                                                                                                                                                                 ,0,N,N,100.00,"1,725,180","1,516,030","1,849,250","1,889,480","2,016,350","2,093,280","2,186,070","2,132,640","1,831,580","1,652,950","1,829,010","2,167,660","22,889,480"
2020,0721194,RED RIVER AUTHORITY-BOX COMMUNITY  WS,120,Ground Water,Pur,B,WILBARGER,RED,WILBARGER,RED,SEYMOUR AQUIFER,,CITY OF VERNON                                                                                                                                                                                                                                                 ,0,N,N,100.00,"540,500","391,600","509,500","381,600","407,100","831,800","1,707,100","803,200","700,000","400,000","250,000","248,000","7,170,400"
2020,0832720,Patterson Water Supply-SUNSET WATER SYSTEM,455,Ground Water,SS,B,MONTAGUE,RED,MONTAGUE,RED,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"570,200","587,400","571,900","835,600","778,000","722,600","748,800","961,460","951,600","908,592","803,377","835,588","9,275,117"
2020,0944457,WICHITA VALLEY WSC,"7,065",Surface Water,Pur,B,WICHITA,RED,ARCHER,RED,,ARROWHEAD LAKE/RESERVOIR,CITY OF WICHITA FALLS                                                                                                                                                                                                                                          ,0,N,N,100.00,"229,000","332,000","3,503,000","4,732,000","2,153,000","4,548,000","2,321,000","5,053,000","2,640,000","2,394,000","1,904,000","1,390,000","31,199,000"
