Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2020,0479680,LAJITAS UTILITIES COMPANY INC,942,Ground Water,SS,E,BREWSTER,RIO GRANDE,BREWSTER,RIO GRANDE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"4,706,000","4,584,000","5,005,000","4,248,000","5,173,000","5,510,000","5,879,000","5,981,000","5,274,000","5,985,000","5,906,000","5,958,000","64,209,000"
2020,0871200,EL PASO COUNTY TORNILLO WID,"3,600",Ground Water,SS,E,EL PASO,RIO GRANDE,EL PASO,RIO GRANDE,HUECO-MESILLA BOLSON AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,Y,N,0.00,"1,410,000","1,898,000","2,553,000","3,761,000","2,933,000","3,562,000","3,037,000","3,569,000","5,302,000","4,717,000","3,270,000","3,256,000","39,268,000"
2020,0295350,FORT DAVIS WSC,"1,023",Ground Water,SS,E,JEFF DAVIS,RIO GRANDE,JEFF DAVIS,RIO GRANDE,IGNEOUS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,384,400","1,351,100","1,757,000","2,042,800","1,935,300","1,527,400","1,432,900","1,613,100","1,229,200","1,427,100","1,129,800","1,005,200","17,835,300"
2020,0795400,HUDSPETH COUNTY WCID 1,770,Ground Water,Pur,E,HUDSPETH,RIO GRANDE,CULBERSON,RIO GRANDE,WEST TEXAS BOLSON AQUIFER,,TOWN OF VAN HORN                                                                                                                                                                                                                                               ,0,N,N,100.00,"5,608,000","5,147,000","5,062,000","5,179,000","5,332,000","5,504,000","6,444,000","6,826,000","5,796,000","6,353,000","5,490,000","6,725,000","69,466,000"
2020,0871200,EL PASO COUNTY TORNILLO WID,"3,600",Ground Water,SS,E,EL PASO,RIO GRANDE,EL PASO,RIO GRANDE,HUECO-MESILLA BOLSON AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,Y,N,0.00,"6,149,000","10,815,660","4,689,100","2,987,710","3,661,660","4,715,860","7,373,990","5,217,780","4,125,610","3,593,740","2,553,910","3,108,040","58,992,060"
2020,0899000,TOWN OF VAN HORN,"1,919",Ground Water,SS,E,CULBERSON,RIO GRANDE,CULBERSON,RIO GRANDE,WEST TEXAS BOLSON AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"3,838,231","3,606,615","4,388,240","4,380,420","5,164,571","5,791,409","1,604,420","3,897,080","5,044,550","4,598,650","3,458,080","3,526,320","49,298,586"
2020,1103441,CERRO ALTO WATER SYSTEM,75,Ground Water,SS,E,HUDSPETH,RIO GRANDE,HUDSPETH,RIO GRANDE,HUECO-MESILLA BOLSON AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,100.00,"226,398","506,074","2,241,309","1,122,769","1,686,777","1,116,212","1,297,092","1,275,839","252,405","683,357","742,391",0,"11,150,623"
2020,0013800,CITY OF ALPINE,"5,982",Ground Water,SS,E,BREWSTER,RIO GRANDE,JEFF DAVIS,RIO GRANDE,IGNEOUS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,4,N,N,0.00,"25,111,000","20,535,000","20,716,000","35,970,000","33,740,000","33,146,000","48,473,000","31,481,000","43,506,000","29,686,000","23,914,000","11,228,000","357,506,000"
2020,0260300,EL PASO WATER,"739,335",Ground Water,SS,E,EL PASO,RIO GRANDE,EL PASO,RIO GRANDE,HUECO-MESILLA BOLSON AQUIFER,,N/A                                                                                                                                                                                                                                                            ,126,N,N,0.00,"2,351,064,000","2,220,947,000","2,160,069,000","999,591,000","1,355,703,000","1,636,310,000","2,109,342,000","1,909,611,000","1,702,100,000","3,547,291,000","2,848,719,000","2,668,030,000","25,508,777,000"
2020,0260300,EL PASO WATER,"739,335",Surface Water,Ss,E,EL PASO,RIO GRANDE,EL PASO,RIO GRANDE,,RIO GRANDE RUN OF RIVER,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,0,0,"647,210,000","2,335,950,000","2,808,470,000","2,705,930,000","2,515,090,000","2,731,780,000","2,091,320,000",0,0,0,"15,835,750,000"
