Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2021,0504820,LIVE OAK HILLS SUBDIVISION,40,Ground Water,SS,F,MCCULLOCH,COLORADO,MCCULLOCH,COLORADO,HICKORY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"116,840","143,280","157,370","181,160","138,710","176,640","162,590","211,600","179,520","115,220",0,0,"1,582,930"
2021,0654310,PECOS COUNTY FRESH WATER,788,Ground Water,SS,F,PECOS,RIO GRANDE,PECOS,RIO GRANDE,PECOS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"3,761,000","4,603,000","2,525,000","4,993,000","4,112,000","5,339,000","4,431,000","4,551,000","5,013,000","4,796,000","3,499,000","3,121,000","50,744,000"
2021,0945600,CITY OF WICKETT,498,Ground Water,SS,F,WARD,RIO GRANDE,WARD,RIO GRANDE,PECOS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"3,001,000","3,333,100","3,540,900","3,856,700","4,282,800","5,658,400","4,864,900","5,162,100","5,309,100","4,819,000","3,239,500","4,657,500","51,725,000"
2020,0050720,CITY OF BALMORHEA,477,Ground Water,SS,F,REEVES,RIO GRANDE,JEFF DAVIS,RIO GRANDE,EDWARDS-TRINITY-PLATEAU AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"3,742,900","2,005,500","2,282,500","3,010,100","3,137,400","3,111,100","3,594,400","3,790,800","3,574,500","3,813,700","3,641,400","3,152,500","38,856,800"
2020,0051700,CITY OF BANGS,"2,739",Reuse,Ss,F,BROWN,COLORADO,BROWN,COLORADO,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"1,095,000"
2020,0164704,COKE COUNTY WSC,400,Surface Water,Pur,F,COKE,COLORADO,,,,UNKNOWN,CITY OF ROBERT LEE                                                                                                                                                                                                                                             ,0,N,,100.00,"1,211,000","942,000","1,058,000","1,589,000","1,256,000","1,513,900","1,532,108","1,826,000","1,729,000","1,294,000","1,080,000","945,000","15,976,008"
2020,0165200,CITY OF COLEMAN,"4,709",Surface Water,Ss,F,COLEMAN,COLORADO,COLEMAN,COLORADO,,SCARBOROUGH LAKE/RESERVOIR,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"20,000","20,000","20,000","15,000","20,000","20,000","20,000","15,000","15,000","30,000","20,000","20,000","235,000"
2020,0179320,CONCHO RURAL WATER CORPORATION-WATER VALLEY SYSTEM,120,Ground Water,SS,F,TOM GREEN,COLORADO,TOM GREEN,COLORADO,LIPAN AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"259,000","281,000","290,000","324,000","307,000","339,000","403,000","462,000","286,000","210,000","206,000","172,000","3,539,000"
2020,0250848,ECTOR COUNTY UD,"15,774",Surface Water,Pur,F,ECTOR,COLORADO,,,,UNKNOWN,CITY OF ODESSA                                                                                                                                                                                                                                                 ,0,N,,100.00,"37,385,000","40,134,000","35,524,000","45,984,000","48,468,000","60,689,000","61,868,000","61,868,000","48,040,000","47,485,000","39,385,000","42,096,000","568,926,000"
2020,0253400,CITY OF EDEN,"1,266",Reuse,Ss,F,CONCHO,COLORADO,CONCHO,COLORADO,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"13,949,739"
2020,0313550,BORDEN COUNTY WATER SYSTEM,275,Ground Water,SS,F,BORDEN,COLORADO,BORDEN,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"1,734,000","1,257,000","1,063,000","2,054,000","2,405,000","2,625,000","2,928,000","2,791,000","2,665,000","3,064,000","1,802,000","1,449,000","25,837,000"
2020,0330800,CITY OF GOLDSMITH,253,Ground Water,Pur,F,ECTOR,COLORADO,ECTOR,COLORADO,EDWARDS-TRINITY-PLATEAU AQUIFER,,CAPITAN ENTERPRISES INC                                                                                                                                                                                                                                        ,0,N,Y,0.00,"2,306,200","1,763,100","2,312,100","2,377,700","2,598,600","2,496,100","2,523,900","2,377,100","1,997,800","2,052,200","2,184,300","2,378,900","27,368,000"
2020,0342360,GREENWOOD WATER CORPORATION,918,Ground Water,SS,F,MIDLAND,COLORADO,MIDLAND,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,Y,N,100.00,"1,970,000","2,653,800","3,997,880","5,678,700","7,355,900","7,907,000","12,583,320","10,272,891","7,429,162","6,472,857","4,956,044","4,648,400","75,925,954"
2020,0423000,CITY OF IRAAN,"1,229",Ground Water,SS,F,PECOS,RIO GRANDE,PECOS,RIO GRANDE,EDWARDS-TRINITY-PLATEAU AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,392,000","2,246,000","1,967,000","3,030,000","3,730,000","4,394,000","5,385,000","5,041,000","4,798,000","3,009,000","2,789,000","2,339,000","41,120,000"
2020,0619550,CITY OF ODESSA,"169,416",Surface Water,Pur,F,ECTOR,COLORADO,ECTOR,COLORADO,,Colorado River,CRMWD                                                                                                                                                                                                                                                          ,0,N,N,0.00,"493,294,400","440,817,400","505,026,200","522,022,500","680,651,900","821,019,400","958,681,100","957,456,900","724,775,800","720,063,700","499,538,900","407,700,100","7,731,048,300"
2020,0654200,TOWN OF PECOS CITY,"10,461",Ground Water,SS,F,REEVES,RIO GRANDE,REEVES,RIO GRANDE,DOCKUM AQUIFER,,N/A                                                                                                                                                                                                                                                            ,20,N,N,0.00,"84,129,966","84,628,792","92,243,648","95,342,235","108,001,300","105,495,539","116,995,276","111,917,348","92,845,570","91,479,161","79,149,180","74,539,603","1,136,767,618"
2020,0718590,CITY OF RANKIN,844,Ground Water,Pur,F,UPTON,RIO GRANDE,UPTON,RIO GRANDE,EDWARDS-TRINITY-PLATEAU AQUIFER,,RANKIN SYSTEM                                                                                                                                                                                                                                                  ,0,N,N,0.00,"4,504,000","3,391,000","4,590,000","5,983,000","7,235,000","8,137,000","8,494,000","9,451,000","6,850,000","6,115,000","6,054,000","5,741,000","76,545,000"
2020,0764157,CITY OF SAN ANGELO,"101,004",Ground Water,SS,F,TOM GREEN,COLORADO,MCCULLOCH,COLORADO,HICKORY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,"17,150","20,226","113,181","95,268",0,"63,668",0,0,74,0,0,"309,567"
2020,0764157,CITY OF SAN ANGELO,"101,004",Ground Water,SS,F,TOM GREEN,COLORADO,MCCULLOCH,COLORADO,HICKORY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,820,252","6,275,564","182,219","484,682","1,259,886","4,543,339","2,747,087","13,507,396","5,064,890","12,566,012","19,601,087","20,023,227","89,075,641"
2020,0884995,U & F WSC,475,Surface Water,Pur,F,SCURRY,COLORADO,,,,UNKNOWN,CITY OF SNYDER                                                                                                                                                                                                                                                 ,0,N,,100.00,"38,900","83,700","45,800","50,600","91,000","43,700","52,600","58,100","34,300","39,300","43,700","32,200","613,900"
2020,1105685,THE HACIENDAS AT CHRISTOVAL RANCH,114,Ground Water,SS,F,TOM GREEN,COLORADO,TOM GREEN,COLORADO,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"82,700","91,300","108,900","269,500","381,500","456,400","419,800","329,200","271,900","281,200","221,400","161,900","3,075,700"
2020,0050700,CITY OF BALLINGER,"3,767",Ground Water,Pur,F,RUNNELS,COLORADO,,,,UNKNOWN,MILLERSVIEW-DOOLE WSC                                                                                                                                                                                                                                          ,0,N,N,0.00,"4,609,000","7,724,000","6,371,000","7,350,000","11,752,000","12,386,000","11,105,000","3,718,000","10,091,000","9,949,000","9,456,000","10,470,000","104,981,000"
2020,0072800,CITY OF BIG LAKE,"3,000",Ground Water,Pur,F,REAGAN,COLORADO,REAGAN,COLORADO,EDWARDS-TRINITY-PLATEAU AQUIFER,,REAGAN COUNTY WSD                                                                                                                                                                                                                                              ,0,N,N,0.00,"14,351,864","13,525,000","14,216,096","14,965,280","17,664,288","17,899,296","22,056,480","22,761,312","14,816,320","15,129,000","11,300,000","11,959,000","190,643,936"
