Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2021,0956425,WOODS WSC,210,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,0,0,"590,580","510,080","595,219","647,552","1,083,599","1,025,650","526,860","469,860","488,460","5,937,860"
2021,0956425,WOODS WSC,210,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"254,385","448,551","518,407","74,626","112,133","113,654","142,666","263,165","283,432","25,406","114,359","125,516","2,476,300"
2021,0956425,WOODS WSC,210,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"327,062","193,844","152,684","248,830",1,0,0,211,0,670,0,0,"923,302"
2020,0051200,CITY OF BANDERA,"3,198",Ground Water,SS,J,BANDERA,SAN ANTONIO,BANDERA,SAN ANTONIO,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,4,N,N,0.00,"5,470,800","5,171,300","5,704,500","6,034,200","6,405,100","6,673,400","7,959,500","8,058,500","6,105,500","7,617,600","6,689,300","6,318,100","78,207,800"
2020,0139650,VLASEK PUMP COMPANY-CANYON SPRINGS WATER WORKS,570,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,0,0,0,"825,593","1,756,676","1,379,333","2,512,987","2,341,263","1,461,113","1,808,972","1,463,575","1,450,597","15,000,109"
2020,0221200,CITY OF DEL RIO,"35,714",Ground Water,SS,J,VAL VERDE,RIO GRANDE,VAL VERDE,RIO GRANDE,EDWARDS-TRINITY-PLATEAU AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"205,120,000","198,350,000","213,800,000","222,560,000","266,270,000","301,040,000","351,640,000","370,090,000","271,150,000","299,920,000","252,750,000","226,120,000","3,178,810,000"
2020,0306350,FRIO COMMUNITY IMPROVEMENT-TWIN FORKS ESTATES WSC,498,Ground Water,SS,J,REAL,NUECES,REAL,COLORADO,EDWARDS-TRINITY-PLATEAU AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"374,620","359,665","321,117","508,734","575,217","660,187","1,096,525","735,355","479,373","584,263","600,539","469,661","6,765,256"
2020,0384425,MONARCH UTILITIES LP-HERITAGE PARK WATER SERVICE,87,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"169,000","118,000","149,000","199,000","372,000","357,000","483,000","516,000","274,000","231,000","250,000","188,000","3,306,000"
2020,0389322,AQUA TEXAS INC-WOODCREEK WATER SUPPLY,"1,914",Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,TRINITY AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,Y,100.00,"6,426,000","6,748,200","5,890,000","6,807,100","7,717,900","7,845,500","8,582,200","9,834,000","8,460,600","6,445,300","6,903,900","7,334,500","88,995,200"
2020,0481875,GARANSUAY GROUP INC,110,Ground Water,SS,J,KERR,GUADALUPE,KERR,GUADALUPE,EDWARDS-TRINITY-PLATEAU AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"148,490","129,570","116,920","201,430","66,490","161,030","150,320","218,240","185,400","215,000","215,000","214,980","2,022,870"
