Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2020,0100400,BROWNSVILLE PUBLIC UTILITIES BOARD,"193,041",Surface Water,Ss,M,CAMERON,RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"403,264,000","378,791,000","482,596,000","463,166,000","517,824,000","424,629,000","521,273,000","473,383,000","395,309,000","476,861,000","455,214,000","399,693,000","5,392,003,000"
2020,0254000,CITY OF EDINBURG,"88,683",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,,,,UNKNOWN,CITY OF MCALLEN                                                                                                                                                                                                                                                ,0,N,,100.00,"1,649,000","1,625,000","1,611,000",0,"1,670,000","1,665,000","1,633,000","2,134,000","3,299,000","1,654,000","1,583,000",0,"18,523,000"
2020,0254000,CITY OF EDINBURG,"88,683",Surface Water,Ss,M,HIDALGO,NUECES-RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"328,958,000","422,367,000","312,314,000","155,225,000","305,688,000","145,075,000","213,905,000","160,779,000","239,455,000","332,610,000","240,062,000","291,934,000","3,148,372,000"
2020,0255912,EL SAUZ WSC,"1,974",Surface Water,Pur,M,STARR,RIO GRANDE,STARR,RIO GRANDE,,FALCON LAKE/RESERVOIR,CITY OF RIO GRANDE CITY                                                                                                                                                                                                                                        ,0,N,Y,100.00,"3,998,600","3,919,065","4,232,767","3,937,148","5,040,039","5,781,865","5,656,965","7,047,602","5,345,478","5,223,844","5,158,199","4,923,348","60,264,920"
2020,0368810,HARLINGEN WATERWORKS SYSTEM,"66,090",Reuse,Ss,M,CAMERON,NUECES-RIO GRANDE,CAMERON,NUECES-RIO GRANDE,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"140,649,000"
2020,0368810,HARLINGEN WATERWORKS SYSTEM,"66,090",Surface Water,Pur,M,CAMERON,NUECES-RIO GRANDE,CAMERON,RIO GRANDE,,RIO GRANDE RUN OF RIVER,HARLINGEN ID                                                                                                                                                                                                                                                   ,0,N,N,0.00,"349,400,000","359,000,000","436,900,000","438,400,000","483,100,000","414,300,000","539,400,000","461,700,000","429,000,000","482,900,000","470,600,000","424,000,000","5,288,700,000"
2020,0378000,JIM HOGG COUNTY WCID 2,"5,300",Ground Water,SS,M,JIM HOGG,NUECES-RIO GRANDE,JIM HOGG,NUECES-RIO GRANDE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"19,185,000","17,621,000","17,850,000","19,528,000","19,194,000","19,985,000","14,689,000","17,032,000","18,615,000","16,284,000","16,963,000","13,574,000","210,520,000"
2020,0387600,CITY OF HIDALGO,"13,200",Ground Water,SS,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,NUECES-RIO GRANDE,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,Y,0.00,"47,788,000","46,870,000","45,472,000","47,352,000","47,400,000","42,660,000","48,091,000","46,466,000","43,742,000","43,507,000","38,881,000","40,615,000","538,844,000"
2020,0486190,CITY OF LAREDO,"262,491",Surface Water,Ss,M,WEBB,RIO GRANDE,WEBB,RIO GRANDE,,RIO GRANDE RUN OF RIVER,N/A                                                                                                                                                                                                                                                            ,0,N,N,100.00,"905,165,000","860,587,000","989,032,000","954,194,000","1,104,098,000","1,123,661,000","1,318,673,000","1,276,110,000","1,086,311,000","1,170,525,000","1,064,655,000","1,015,503,000","12,868,514,000"
2020,0546200,CITY OF MCALLEN,"153,546",Surface Water,Ss,M,HIDALGO,RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"408,617,154","540,163,203","501,810,540","369,189,183","168,464,967","71,687,220",0,"597,154,543","450,195,742","685,688,259","521,524,526","532,994,481","4,847,489,818"
2020,0557400,CITY OF MERCEDES,"16,604",Ground Water,SS,M,HIDALGO,RIO GRANDE,HIDALGO,NUECES-RIO GRANDE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,575,000","6,847,000","20,436,000","20,108,000","18,221,000","20,287,000","15,934,000","13,729,000","31,929,000","30,535,000","29,013,000","21,455,000","230,069,000"
2020,0607425,NORTH ALAMO WSC,"153,576",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,RIO GRANDE,,RIO GRANDE RUN OF RIVER,HIDALGO CAMERON WCID 9                                                                                                                                                                                                                                         ,0,N,N,0.00,"168,871,000","154,022,000","241,844,000","183,098,000","202,652,000","213,191,100","225,417,000","255,919,700","222,420,000","245,000,000","200,947,600","165,806,500","2,479,188,900"
2020,0607425,NORTH ALAMO WSC,"153,576",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,RIO GRANDE,,RIO GRANDE RUN OF RIVER,HCID 2                                                                                                                                                                                                                                                         ,0,N,N,0.00,"84,739,000","113,286,000","90,575,000","91,151,000","111,407,000","66,330,000","92,124,000","114,452,000","89,389,000","111,268,000","90,178,000","80,054,000","1,134,953,000"
2020,0607425,NORTH ALAMO WSC,"153,576",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,RIO GRANDE,,RIO GRANDE RUN OF RIVER,DONNA IRRIGATION DISTRICT                                                                                                                                                                                                                                      ,0,N,N,0.00,0,"28,260,000","3,190,000","59,400,000","91,400,000","35,900,000","46,880,000","6,170,000",0,"60,000,000","132,500,000","97,410,000","561,110,000"
2020,0607425,NORTH ALAMO WSC,"153,576",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,RIO GRANDE,,RIO GRANDE RUN OF RIVER,SANTA CRUZ IRRIGATION DISTRICT 15                                                                                                                                                                                                                              ,0,N,N,0.00,"69,782,000","90,454,000","77,891,000","77,182,000","103,840,000","76,482,000","85,310,000","85,201,000","72,279,000","88,749,000","71,183,000","59,932,000","958,285,000"
2020,0623597,OLMITO WSC,"7,031",Surface Water,Ss,M,CAMERON,RIO GRANDE,CAMERON,RIO GRANDE,,RIO GRANDE RUN OF RIVER,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"30,493,700","27,150,800","28,564,200","32,068,900","29,639,300","27,337,600","30,759,900","28,534,000","30,677,400","24,288,600","27,542,500","27,519,600","344,576,500"
2020,0700680,CITY OF PRIMERA,"4,070",Surface Water,Pur,M,CAMERON,NUECES-RIO GRANDE,CAMERON,NUECES-RIO GRANDE,,NUECES-RIO GRANDE RUN OF RIVER,HARLINGEN WATERWORKS SYSTEM                                                                                                                                                                                                                                    ,0,N,N,0.00,"11,239,100","11,020,400","13,586,900","12,997,600","12,611,400","17,085,700","12,611,400","13,602,700","8,221,000","7,525,400","5,292,774","6,081,623","131,875,997"
2020,0795943,SIESTA SHORES WCID,"1,824",Surface Water,Ss,M,ZAPATA,RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,0,0,0,"4,320,133","5,627,773","5,110,647","5,307,461",0,0,0,0,0,"20,366,014"
2020,0249953,EAST RIO HONDO WSC,"22,899",Surface Water,Pur,M,CAMERON,NUECES-RIO GRANDE,,,,UNKNOWN,OLMITO WSC                                                                                                                                                                                                                                                     ,0,N,,100.00,"1,314,129","1,365,419","1,266,708","1,325,310","1,313,109","1,281,095","1,329,270","1,348,064","1,244,222","1,253,958","1,328,067","1,302,762","15,672,113"
2020,0782625,SEBASTIAN MUD,"2,190",Surface Water,Ss,M,WILLACY,NUECES-RIO GRANDE,CAMERON,NUECES-RIO GRANDE,,NUECES-RIO GRANDE LOCAL SUPPLY,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"5,602,000","3,488,000","7,397,000","3,798,000","4,334,000","3,599,000","5,220,000","4,343,000","3,902,000","4,207,000","3,645,000","3,159,000","52,694,000"
2020,0969510,ZAPATA COUNTY SAN YGNACIO & RAMIRENO,900,Surface Water,Ss,M,ZAPATA,RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"3,287,000","2,933,000","3,675,000","3,552,000","3,246,000","4,736,000","5,840,000","4,768,000","3,872,000","4,345,000","3,843,000","3,572,000","47,669,000"
2020,1101164,LLANO GRANDE LAKE PARK  EAST,"1,300",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,,,,UNKNOWN,CITY OF MERCEDES                                                                                                                                                                                                                                               ,0,N,,100.00,"1,470,400","1,669,100","1,671,800","1,618,600","1,341,800","1,139,800","843,300","910,300","1,094,000","728,400","1,058,500","1,184,200","14,730,200"
2020,0174600,TOWN OF COMBES,"2,899",Surface Water,Pur,M,CAMERON,NUECES-RIO GRANDE,CAMERON,NUECES-RIO GRANDE,,FALCON LAKE/RESERVOIR,HARLINGEN WATERWORKS SYSTEM                                                                                                                                                                                                                                    ,0,N,N,100.00,"6,109,000","6,710,000","9,618,100","8,874,800","8,812,400","8,478,000","3,819,830","8,896,000","7,274,900","8,609,500","8,618,000","7,183,700","93,004,230"
2020,0247050,CITY OF EAGLE PASS WATER WORKS SYSTEM,"66,546",Reuse,Ss,M,MAVERICK,RIO GRANDE,MAVERICK,RIO GRANDE,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"196,232,000"
2020,0249953,EAST RIO HONDO WSC,"22,899",Ground Water,Pur,M,CAMERON,NUECES-RIO GRANDE,,,,UNKNOWN,NORTH CAMERON REGIONAL WTF                                                                                                                                                                                                                                     ,0,Y,,100.00,"18,437,600","17,499,600","19,970,500","11,900,600","13,746,900","14,053,200","12,301,500","15,162,600","14,581,200","15,904,500","15,221,600","5,556,400","174,336,200"
2020,0249953,EAST RIO HONDO WSC,"22,899",Surface Water,Pur,M,CAMERON,NUECES-RIO GRANDE,CAMERON,RIO GRANDE,,RIO GRANDE RUN OF RIVER,CAMERON COUNTY WCID 2                                                                                                                                                                                                                                          ,0,N,N,0.00,"51,494,000","71,312,000","66,808,000","70,977,000","93,085,000","61,029,000","71,652,000","78,775,000","60,428,000","79,717,000","64,435,000","74,551,000","844,263,000"
2020,0266200,CITY OF ELSA,"5,800",Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HAYS,NUECES-RIO GRANDE,,FALCON LAKE/RESERVOIR,HIDALGO CAMERON WCID 9                                                                                                                                                                                                                                         ,0,N,N,0.00,"16,609,000","15,116,000","17,029,000","17,792,000","19,013,000","24,354,000","19,737,000","21,800,000","16,379,000","17,003,000","17,271,000","18,860,000","220,963,000"
2020,0387610,HIDALGO COUNTY MUD 1,"8,078",Surface Water,Ss,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,NUECES-RIO GRANDE,,ALICE LAKE/RESERVOIR,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"20,729,000","20,510,000","23,560,000","18,954,000","18,473,000","17,654,000","23,146,000","20,001,000","17,747,000","19,017,000","19,147,000","18,179,000","237,117,000"
2020,0479000,CITY OF LA FERIA,"8,257",Surface Water,Ss,M,CAMERON,NUECES-RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,100.00,"21,892,000","21,376,000","25,056,000","22,966,000","26,302,000","21,198,000","25,837,000","21,713,000","21,298,000","24,372,000","22,739,000","20,105,000","274,854,000"
2020,0486190,CITY OF LAREDO,"262,491",Reuse,Ss,M,WEBB,RIO GRANDE,WEBB,RIO GRANDE,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"946,279,777"
2020,0505270,LLANO GRANDE LAKE PARK WEST,400,Surface Water,Pur,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,NUECES-RIO GRANDE,,NUECES-RIO GRANDE RUN OF RIVER,CITY OF MERCEDES                                                                                                                                                                                                                                               ,0,N,N,100.00,"109,100","140,400","128,500","135,000","79,900","78,400","112,400","64,400","83,700","59,500","90,800","88,500","1,170,600"
2020,0520800,CITY OF LYFORD,"2,611",Surface Water,Ss,M,WILLACY,NUECES-RIO GRANDE,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"5,410,133","5,770,331","5,358,097","5,480,691","6,378,123","6,093,878","7,239,822","7,174,537","6,803,164","4,034,869","5,269,626","5,456,429","70,469,700"
2020,0546200,CITY OF MCALLEN,"153,546",Ground Water,SS,M,HIDALGO,RIO GRANDE,HIDALGO,RIO GRANDE,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"35,185,000","32,825,000","35,180,000","33,789,000","20,109,000",0,0,"13,877,000","34,971,000","30,650,000","29,132,000","30,179,000","295,897,000"
2020,0790815,SHARYLAND WSC,"58,674",Surface Water,Ss,M,HIDALGO,NUECES-RIO GRANDE,HIDALGO,NUECES-RIO GRANDE,,NUECES-RIO GRANDE RUN OF RIVER,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"254,562,000","245,292,000","303,521,000","287,338,000","301,679,000","283,409,000","361,972,000","290,279,000","259,667,000","288,030,000","277,654,000","274,393,000","3,427,796,000"
2020,0887650,Union Water Supply Corp.-UNION WSC,"6,702",Surface Water,Pur,M,STARR,RIO GRANDE,,,,UNKNOWN,CITY OF MCALLEN                                                                                                                                                                                                                                                ,0,N,,0.00,0,0,0,0,0,0,0,0,"14,500,000","14,750,000","14,500,000","17,000,000","60,750,000"
2020,0887650,Union Water Supply Corp.-UNION WSC,"6,702",Surface Water,Ss,M,STARR,RIO GRANDE,STARR,RIO GRANDE,,FALCON LAKE/RESERVOIR,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"13,500,000","14,280,000","14,725,000","14,700,000","13,034,000","12,000,000","14,663,000","16,500,000",0,0,0,0,"113,402,000"
