Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2020,0032800,CITY OF ARANSAS PASS,"13,356",Reuse,Ss,N,SAN PATRICIO,SAN ANTONIO-NUECES,SAN PATRICIO,SAN ANTONIO-NUECES,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"229,554,075"
2020,0068800,DUVAL COUNTY CONSERVATION & RECLAMATION DISTRICT-BENAVIDES SYSTEM,"2,285",Ground Water,SS,N,DUVAL,NUECES-RIO GRANDE,DUVAL,NUECES-RIO GRANDE,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,100.00,"4,071,043","3,379,863","4,954,976","4,216,908","5,212,666","4,691,016","5,733,717","5,051,800","4,203,971","5,121,251","4,168,863","4,842,771","55,648,845"
2020,0183907,COPANO COVE WATER COMPANY INC-COPANO RIDGE SUBDIVISION,580,Surface Water,Pur,N,ARANSAS,SAN ANTONIO-NUECES,ARANSAS,SAN ANTONIO-NUECES,,SAN ANTONIO-NUECES RUN OF RIVER,CITY OF ROCKPORT                                                                                                                                                                                                                                               ,0,N,N,100.00,0,0,0,0,0,0,0,0,0,0,0,"10,416,000","10,416,000"
2020,0268503,ENGLISH ACRES WATER SYSTEM,75,Ground Water,SS,N,JIM WELLS,NUECES-RIO GRANDE,JIM WELLS,NUECES-RIO GRANDE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"444,000","361,000","346,000","407,000","432,000","515,000","564,000","581,000","413,000","372,000","329,000","317,000","5,081,000"
2020,0419380,CITY OF INGLESIDE,"10,372",Surface Water,Pur,N,SAN PATRICIO,SAN ANTONIO-NUECES,SAN PATRICIO,SAN ANTONIO-NUECES,,CORPUS CHRISTI LAKE/RESERVOIR,SAN PATRICIO MWD                                                                                                                                                                                                                                               ,0,N,N,100.00,"25,826,000","20,926,000","30,358,000","32,898,000","26,007,000","27,372,000","32,030,000","44,780,000","26,753,000","27,144,000","23,705,000","27,436,000","345,235,000"
2020,0466687,KING RANCH INC-NORIAS HD QTR,81,Ground Water,SS,N,KENEDY,NUECES-RIO GRANDE,KENEDY,NUECES-RIO GRANDE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"268,800","274,200","748,400","297,400","316,300","160,900","282,100","126,500","97,400","90,700","396,200","360,100","3,419,000"
2020,0690200,NUECES COUNTY WCID 4,"4,494",Surface Water,Pur,N,NUECES,NUECES-RIO GRANDE,NUECES,NUECES-RIO GRANDE,,CORPUS CHRISTI LAKE/RESERVOIR,CITY OF CORPUS CHRISTI GENERAL DISTRIBUTION                                                                                                                                                                                                                    ,0,N,N,100.00,"29,311,000","26,737,000","34,159,000","26,035,000","44,905,000","49,421,000","55,170,000","63,777,000","45,680,000","52,495,000","41,665,000","32,905,000","502,260,000"
2020,0690200,NUECES COUNTY WCID 4,"4,494",Surface Water,Pur,N,NUECES,NUECES-RIO GRANDE,SAN PATRICIO,SAN ANTONIO-NUECES,,CORPUS CHRISTI LAKE/RESERVOIR,SAN PATRICIO MWD                                                                                                                                                                                                                                               ,0,N,N,100.00,"9,241,000","11,548,000","15,551,000","15,407,000","15,021,000","16,713,000","17,413,000","14,848,000","16,203,000","14,039,000","12,843,000","11,124,000","169,951,000"
2020,0764090,SAINT PAUL WSC,584,Ground Water,SS,N,SAN PATRICIO,NUECES,SAN PATRICIO,SAN ANTONIO-NUECES,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,Y,Y,0.00,"1,173,900","760,200","890,000","1,362,200","1,457,100","2,065,600","974,500","1,285,900","1,107,500","1,876,400","1,945,400","1,194,121","16,092,821"
2020,0767400,SAN DIEGO MUD 1,"4,448",Ground Water,SS,N,DUVAL,NUECES-RIO GRANDE,JIM WELLS,NUECES,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"175,000","172,000","178,000","168,000","182,000","168,000","154,000","135,000","159,000","164,000","162,000","156,000","1,973,000"
