Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2021,0795075,CAPE CARANCAHUA WSC,"1,314",Ground Water,SS,P,JACKSON,LAVACA-GUADALUPE,JACKSON,LAVACA-GUADALUPE,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"855,300","1,399,600","869,000","1,019,900","974,400","1,114,500","1,078,700","936,600","1,223,500","808,400","797,100","719,900","11,796,900"
2020,0254200,CITY OF EDNA,"6,000",Ground Water,SS,P,JACKSON,LAVACA,JACKSON,LAVACA,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,100.00,"13,720,000","14,430,000","18,450,000","17,950,000","17,690,000","16,200,000","17,630,000","17,860,000","16,790,000","16,990,000","16,500,000","14,400,000","198,610,000"
2020,0486520,LA SALLE LANDING WATER SYSTEM,76,Ground Water,SS,P,JACKSON,LAVACA,JACKSON,LAVACA-GUADALUPE,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"26,800","38,300","43,100","39,600","48,500","47,700","50,100","63,400","51,200","53,000","39,000","41,300","542,000"
2020,0507200,JACKSON COUNTY WCID 1,700,Ground Water,SS,P,JACKSON,COLORADO-LAVACA,JACKSON,COLORADO-LAVACA,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"1,140,810","1,749,279","1,141,910","1,182,490","1,308,590","1,087,140","1,279,690","1,276,610","1,038,300","1,134,260","1,040,870","1,089,560","14,469,509"
2020,0515600,WHARTON COUNTY WCID 1,"1,200",Ground Water,SS,P,WHARTON,LAVACA,WHARTON,LAVACA,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"2,384,500","2,607,900","2,898,500","2,896,800","3,537,800","3,436,000","3,897,500","4,723,800","4,205,600","3,636,400","3,188,300","2,517,600","39,930,700"
2020,0898200,JACKSON COUNTY WCID 2,420,Ground Water,SS,P,JACKSON,LAVACA,JACKSON,LAVACA,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,251,300","1,087,300","1,305,300","1,076,700","1,080,700","1,162,900","1,102,400","1,092,900","1,025,400","1,039,300","1,128,400","1,038,000","13,390,600"
2020,0967600,CITY OF YOAKUM,"5,815",Ground Water,SS,P,LAVACA,LAVACA,DEWITT,LAVACA,GULF COAST AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0.00,"10,136,250","12,446,250","10,731,000","7,959,500","11,103,000","12,254,000","7,764,000","13,503,000","10,638,000","10,462,000","9,051,500","9,955,500","126,004,000"
2020,0255000,CITY OF EL CAMPO,"11,602",Ground Water,SS,P,WHARTON,COLORADO-LAVACA,WHARTON,COLORADO-LAVACA,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"5,403,000","4,535,000","6,501,000","5,821,000","5,202,000","9,773,000","7,914,000","2,596,000","11,072,000","9,829,000","8,783,000","6,104,000","83,533,000"
2020,0365200,CITY OF HALLETTSVILLE,"3,168",Ground Water,SS,P,LAVACA,LAVACA,LAVACA,LAVACA,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0.00,"9,488,000","9,305,000","11,038,000","10,671,000","12,169,000","13,451,000","14,882,000","19,245,000","13,903,000","12,873,000","11,937,000","10,702,000","149,664,000"
2020,0425550,ISAACSON MUD,0,Ground Water,Pur,P,WHARTON,COLORADO-LAVACA,,,,UNKNOWN,CITY OF EL CAMPO                                                                                                                                                                                                                                               ,0,N,,100.00,"1,462,300","1,282,300","1,117,600","1,128,100","1,198,600","1,337,500","1,430,000","1,432,000","1,412,700","1,366,700","1,274,700","1,157,500","15,600,000"
