Year,TWDB_Survey_Number,PWS_Entity_Name,TCEQ_PWS_Code,Single_Family_Connections,Multi_Family_Connections,Commercial_Connections,Industrial_Connections,Institutional_Connections,Agriculture_Connections,Reuse_Connections,Total_Metered_Connections,Total_Unmetered_Connections,Single_Family_Volume,Multi_Family_Volume,Commercial_Volume,Industrial_Volume,Institutional_Volume,Agriculture_Volume,Reuse_Volume,Total_Metered_Volume,Unmetered_Volume
2018,0626055,114TH STREET MHP,1520067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1103447,130 REGIONAL WSC,260049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1103409,4 D WATER,460152,94,0,0,0,0,0,0,94,10,"9,897,150",0,0,0,0,0,0,"9,897,150","5,908,450"
2018,0301095,410 WSC,1940006,802,0,0,0,0,0,0,802,10,"100,625,000",0,0,0,0,0,0,"100,625,000","400,000"
2018,0301100,439 WSC,140076,"2,271",86,162,0,0,0,0,"2,519",0,"277,849,694","27,564,350","24,332,876",0,0,0,0,"329,746,920",0
2018,0927230,84 WEST WSC,1470015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0005000,A & P WSC,1830017,207,0,5,0,0,0,0,212,0,"8,332,200",0,"275,600",0,0,0,0,"8,607,800",0
2018,0133338,A 1 UTILITY & CONSTRUCTION SERVICES INC-CAPE MALIBU WSC,1700065,123,0,3,0,0,0,0,126,0,"6,437,000",0,"456,000",0,0,0,0,"6,893,000",0
2018,0823104,A 1 UTILITY & CONSTRUCTION SERVICES INC-CHATEAU WOODS MUD,1700008,813,0,5,0,2,0,0,820,1,"49,559,000",0,"15,210,000",0,"248,000",0,0,"65,017,000","80,000"
2018,0200395,A 1 UTILITY & CONSTRUCTION SERVICES INC-CITY OF CUT AND SHOOT,1700592,"1,848",0,103,3,13,0,0,"1,967",0,"117,907,230",0,"13,253,630","6,735,770","3,141,050",0,0,"141,037,680","946,237"
2018,0481270,A 1 UTILITY & CONSTRUCTION SERVICES INC-LAKELAND SECTION 4 WATER SYSTEM,1700019,101,0,0,0,0,0,0,101,0,"4,705,000",0,0,0,0,0,0,"4,705,000","585,000"
2018,1101876,A 1 UTILITY & CONSTRUCTION SERVICES INC-OAK HILL ESTATES WATER COMPANY,1013045,135,0,0,0,0,0,0,135,0,"8,504,000",0,0,0,0,0,0,"8,504,000","1,156,000"
2018,0842875,A 1 UTILITY & CONSTRUCTION SERVICES INC-OLD TAMINA WSC,1700110,180,0,0,0,0,0,0,180,0,"9,493,000",0,0,0,0,0,0,"9,493,000","3,381,000"
2018,0006670,ABLES SPRINGS SUD,1290010,"1,593",0,13,3,8,6,0,"1,623",150,"64,965,000",0,"2,466,000",0,"164,000","400,000",0,"67,995,000","2,157,000"
2018,0843530,ABRAXAS UTILITIES,1840034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0008000,ACKERLY WSC,580011,138,0,6,0,8,0,0,152,0,"9,169,824",0,"398,688",0,"531,672",0,0,"10,100,184",0
2018,0008860,ACTON MUD,1110007,"7,696",119,90,0,76,0,0,"7,981",0,"663,272,612","3,023,988","14,618,829",0,"12,652,861",0,0,"693,568,290",0
2018,0845074,AERO VALLEY WATER SERVICE,610243,27,0,0,0,0,0,0,27,27,"1,308,000",0,0,0,0,0,0,"1,308,000",0
2018,0009950,AFTON GROVE WSC,370014,522,4,7,1,1,0,0,535,0,"37,101,100","1,874,400","1,449,286","1,768,400","842,700",0,0,"43,035,886",0
2018,0020305,Aggregate Water Services-AMBERWOOD UTILITY,1011920,50,0,0,0,0,0,0,50,0,"5,990,900",0,0,0,0,0,0,"5,990,900",0
2018,1104474,Aggregate Water Services-CONROE OAKS,1700727,30,0,0,0,0,0,0,30,0,"3,251,700",0,0,0,0,0,0,"3,251,700",0
2018,0481517,Aggregate Water Services-LAKE WATER WHEEL POA,2040023,67,0,0,0,0,0,0,67,0,"5,416,000",0,0,0,0,0,0,"5,416,000",0
2018,0783599,Aggregate Water Services-SADDLE & SURREY ACRES WATER SYSTEM,1700378,18,0,0,0,0,0,0,18,0,"2,201,600",0,0,0,0,0,0,"2,201,600",0
2018,0921200,Aggregate Water Services-WAYNEWOOD PLACE CIVIC CLUB,1011186,50,0,0,0,0,0,0,50,0,"5,299,600",0,0,0,0,0,0,"5,299,600",0
2018,0479700,AGUA SUD,1080022,"14,542",316,886,0,51,31,0,"15,826",7,"1,321,036,252","46,471,100","169,581,409",0,"82,474,600","17,599,400",0,"1,637,162,761","276,285,805"
2018,0010853,AIR PARK HOA,430060,30,0,0,0,0,0,0,30,0,"3,624,600",0,0,0,0,0,0,"3,624,600",0
2018,0482725,ALGONQUIN WATER SERVICES LLC-BIG EDDY (THE VILLAGES RESORT),2120037,716,0,45,0,0,0,0,761,0,"89,278,093",0,"5,698,602",0,0,0,0,"94,976,695",0
2018,0392480,ALGONQUIN WATER SERVICES LLC-HOLLY RANCH WATER COMPANY,2500012,"2,035",0,84,0,0,0,0,"2,119",0,"137,220,102",0,"5,717,505",0,0,0,0,"142,937,607",0
2018,0015450,ALTO RURAL WSC-BRADFORD MT PLANT,370056,117,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
2018,1103322,ALTO RURAL WSC-CENTRAL HIGH PLANT,370055,429,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0
2018,1103323,ALTO RURAL WSC-COLDSPRINGS PLANT,370015,698,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0
2018,0015500,ALTOGA WSC,430026,420,0,0,0,0,0,0,420,0,"38,587,800",0,0,0,0,0,0,"38,587,800",0
2018,0017600,AMARILLO MWS,1880001,"63,322","1,178","6,303",110,3,1,2,"70,919",1,"6,803,085,000","745,919,000","4,916,026,000","375,026,000","363,574,536","2,082,573,000","3,387,977,000","18,674,180,536","200,000"
2018,0133135,AMBERWOOD WATER SYSTEM,1910026,159,0,1,0,0,0,0,160,1,"10,788,155",0,"403,590",0,0,0,0,"11,191,745","7,996,255"
2018,0023500,AMES MINGLEWOOD WSC,1460005,500,3,13,1,5,5,0,527,52,"44,000,000","75,190","3,736,364","6,810","290,260","25,990",0,"48,134,614",0
2018,0315910,AMON G CARTER LAKE WSC,1690023,275,0,0,0,0,0,0,275,0,"15,644,400",0,0,0,0,0,0,"15,644,400","3,150,000"
2018,0025189,ANCAR WATER SYSTEM,1810188,8,0,0,0,0,0,0,8,2,"595,000",0,0,0,0,0,0,"595,000",10
2018,0026080,ANDERSON COUNTY CEDAR CREEK WSC,10046,437,0,0,0,0,0,0,437,0,"33,524,000",0,0,0,0,0,0,"33,524,000",0
2018,0025600,ANDERSON WATER COMPANY-ANDERSON WATER SYSTEM,930011,206,0,20,0,10,0,0,236,0,"20,000,000",0,"1,932,000",0,"1,833,000",0,0,"23,765,000",0
2018,0725200,ANDERSON WATER COMPANY-RICHARDS WATER SYSTEM,930015,118,0,2,0,1,0,0,121,0,"5,000,000",0,"178,000",0,"600,000",0,0,"5,778,000",0
2018,0731910,ANDERSON WATER COMPANY-ROANS PRAIRIE WATER SYSTEM,930016,32,0,3,0,0,0,0,35,0,"1,800,000",0,"478,000",0,0,0,0,"2,278,000",0
2018,0794600,ANDERSON WATER COMPANY-SHIRO WATER SYSTEM,930014,100,0,1,0,1,0,0,102,0,"5,546,000",0,"144,000",0,"36,000",0,0,"5,726,000",0
2018,0028410,ANGELINA & NECHES RIVER AUTHORITY-ANGELINA COUNTY FWSD 1,30102,183,0,8,0,0,0,0,191,0,"10,824,928",0,"450,443",0,0,0,0,"11,275,371",0
2018,0392570,ANGELINA & NECHES RIVER AUTHORITY-HOLMWOOD ADDITION,1210020,165,0,2,0,0,0,0,167,0,"8,923,600",0,"117,142",0,0,0,0,"9,040,742",0
2018,1102143,ANGELINA & NECHES RIVER AUTHORITY-PLEASURE POINT,30007,34,0,0,0,0,0,0,34,0,"1,491,668",0,0,0,0,0,0,"1,491,668",0
2018,0028500,ANGELINA WSC,30016,"1,254",2,2,0,0,0,0,"1,258",0,"65,443,400","237,500","763,100",0,0,0,0,"66,444,000",0
2018,0029000,ANGUS WSC,1750010,332,0,22,0,0,0,0,354,0,"19,674,400",0,"2,576,600",0,0,0,0,"22,251,000",0
2018,0031400,APPLE SPRINGS WSC,2280004,190,0,1,0,1,0,0,192,7,"10,985,480",0,"290,400",0,"651,460",0,0,"11,927,340","1,425,160"
2018,0031200,APPLEBY WSC,1740005,"1,690",0,0,0,0,0,0,"1,690",0,"227,916,800",0,0,0,0,0,0,"227,916,800","7,100,000"
2018,0232805,AQUA PURE-ALDINE VILLAGE SUBDIVISION,1010931,370,0,15,0,0,0,0,385,0,"32,617,000",0,"19,655,000",0,0,0,0,"52,272,000",0
2018,1102386,AQUA PURE-BEAU VIEW UTILITIES,1700708,30,0,0,0,0,0,0,30,0,"4,534,400",0,0,0,0,0,0,"4,534,400",0
2018,0438500,AQUA PURE-BEDIAS WATER COMPANY,930012,225,0,0,0,0,0,0,225,0,"10,800,000",0,0,0,0,0,0,"10,800,000",0
2018,1102387,AQUA PURE-BELL WATER SUBDIVISION,2280034,24,0,0,0,0,0,0,24,0,"989,900",0,0,0,0,0,0,"989,900",0
2018,0140850,AQUA PURE-CEDAR BAYOU PARK,1010112,200,0,0,0,0,0,0,200,0,"12,669,000",0,0,0,0,0,0,"12,669,000",0
2018,0164000,AQUA PURE-CEDAR BAYOUR ESTATES,1012174,60,0,0,0,0,0,0,60,0,"1,476,900",0,0,0,0,0,0,"1,476,900",0
