Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
1988,511953,A & A LONGHORN MHP,0,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"600,000","600,000"
1989,511953,A & A LONGHORN MHP,15,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0,"21,000","21,000","21,000","21,000","30,000","30,000","30,000","30,000","25,000","21,000","21,000","21,000","292,000"
1990,511953,A & A LONGHORN MHP,0,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"630,000","630,000"
1991,511953,A & A LONGHORN MHP,0,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,511,100","1,511,100"
1992,511953,A & A LONGHORN MHP,0,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,511,100","1,511,100"
1993,511953,A & A LONGHORN MHP,0,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,553,075","1,553,075"
1994,511953,A & A LONGHORN MHP,40,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,385,175","1,385,175"
1995,511953,A & A LONGHORN MHP,40,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,385,175","1,385,175"
1996,511953,A & A LONGHORN MHP,40,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,385,175","1,385,175"
1997,511953,A & A LONGHORN MHP,40,Ground Water,SS,A,POTTER,CANADIAN,POTTER,CANADIAN,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,385,175","1,385,175"
