SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
TX_1,Unknown,Digitized,,EPSG:4326,,,,,29.651976,-96.275803,,,P5156_11305156302,P5156,,On-channel Reservoir,TX,
TX_2,Unknown,Digitized,,EPSG:4326,,,,,29.660384000000004,-96.285681,,,P5156_11305156301,P5156,,On-channel Reservoir,TX,
TX_3,Unknown,Digitized,,EPSG:4326,,,,,29.520679,-96.154075,,,P3887_11303887001,P3887,,Diversion Point,TX,
TX_4,Unknown,Digitized,,EPSG:4326,,,,,29.519565000000004,-96.152952,,,P3887_11303887501,P3887,,Discharge Point,TX,
TX_5,Unknown,Digitized,,EPSG:4326,,,,,29.541696,-96.12169,,,P3847_11303847001,P3847,,Diversion Point,TX,
TX_6,Unknown,Digitized,,EPSG:4326,,,,,29.541696,-96.12169,,,P3847_11303847801,P3847,,U/S Limit - Discharge Segment,TX,
TX_7,Unknown,Digitized,,EPSG:4326,,,,,29.541106,-96.107971,,,P3847_11303847502,P3847,,D/S Limit - Discharge Segment,TX,
TX_8,Unknown,Digitized,,EPSG:4326,,,,,29.524754,-96.162939,,,P3816_11303816001,P3816,,Diversion Point,TX,
TX_9,Unknown,Digitized,,EPSG:4326,,,,,29.555346000000004,-96.130968,,,P4288_11304288001,P4288,,Diversion Point,TX,
TX_10,Unknown,Digitized,,EPSG:4326,,,,,29.54114,-96.122298,,,P4288_11304288501,P4288,,D/S Limit - Discharge Segment,TX,
TX_11,Unknown,Digitized,,EPSG:4326,,,,,29.577678,-96.06189,,,P3996_11303996001,P3996,,Diversion Point,TX,
TX_12,Unknown,Digitized,,EPSG:4326,,,,,29.57568,-96.062783,,,P3996_11303996002,P3996,,Diversion Point,TX,
TX_13,Unknown,Digitized,,EPSG:4326,,,,,29.467105,-96.13794,,,P5459_11305459005,P5459,,Diversion Point,TX,
TX_14,Unknown,Digitized,,EPSG:4326,,,,,29.482646000000006,-96.136418,,,P5459_11305459004,P5459,,Diversion Point,TX,
TX_15,Unknown,Digitized,,EPSG:4326,,,,,29.489415,-96.137956,,,P5459_11305459003,P5459,,Diversion Point,TX,
TX_16,Unknown,Digitized,,EPSG:4326,,,,,29.496519,-96.141304,,,P5459_11305459002,P5459,,Diversion Point,TX,
TX_17,Unknown,Digitized,,EPSG:4326,,,,,29.492151,-96.13945,,,P5459_11305459001,P5459,,Diversion Point,TX,
TX_18,Unknown,Digitized,,EPSG:4326,,,,,29.472841,-96.145212,,,P3814_11303814002,P3814,,Diversion Point,TX,
TX_19,Unknown,Digitized,,EPSG:4326,,,,,29.474918,-96.14399,,,P3814_11303814501,P3814,,Discharge Point,TX,
TX_20,Unknown,Digitized,,EPSG:4326,,,,,29.481070000000006,-96.140052,,,P3814_11303814502,P3814,,Discharge Point,TX,
TX_21,Unknown,Digitized,,EPSG:4326,,,,,29.487521,-96.138086,,,P3814_11303814001,P3814,,Diversion Point,TX,
TX_22,Unknown,Digitized,,EPSG:4326,,,,,29.471913,-96.144518,,,P5568_11305568001,P5568,,Diversion Point,TX,
TX_23,Unknown,Digitized,,EPSG:4326,,,,,29.456436,-96.137906,,,P5573_11305573001,P5573,,Diversion Point,TX,
TX_24,Unknown,Digitized,,EPSG:4326,,,,,29.588987,-96.069768,,,P5324_11305324001,P5324,,Diversion Point,TX,
TX_25,Unknown,Digitized,,EPSG:4326,,,,,29.587075,-96.069464,,,P5324_11305324501,P5324,,Discharge Point,TX,
TX_26,Unknown,Digitized,,EPSG:4326,,,,,29.591590000000004,-96.068902,,,P5324_11305324002,P5324,,Diversion Point,TX,
TX_27,Unknown,Digitized,,EPSG:4326,,,,,29.630477000000006,-96.266124,,,P5523_11305523001,P5523,,Diversion Point,TX,
TX_28,Unknown,Digitized,,EPSG:4326,,,,,29.377422,-96.140048,,,P4229_11304229301,P4229,,On-channel Reservoir,TX,
TX_29,Unknown,Digitized,,EPSG:4326,,,,,34.337791,-102.224268,,,P4064_11204064001,P4064,,Diversion Point,TX,
TX_30,Unknown,Digitized,,EPSG:4326,,,,,34.338212,-102.224916,,,P4064_11204064301,P4064,,On-channel Reservoir,TX,
TX_31,Unknown,Digitized,,EPSG:4326,,,,,32.830636,-98.331415,,,C3999_61203999001,C3999,,Diversion Point,TX,
TX_32,Unknown,Digitized,,EPSG:4326,,,,,32.870145,-98.28468,,,C4000_61204000001,C4000,,Diversion Point,TX,
TX_33,Unknown,Digitized,,EPSG:4326,,,,,32.533346,-98.561134,,,C4019_61204019001,C4019,,Diversion Point,TX,
TX_34,Unknown,Digitized,,EPSG:4326,,,,,32.533361,-98.562653,,,C4019_61204019301,C4019,,On-channel Reservoir,TX,
TX_35,Unknown,Digitized,,EPSG:4326,,,,,32.551953999999995,-98.532065,,,C4020_61204020003,C4020,,Diversion Point,TX,
TX_36,Unknown,Digitized,,EPSG:4326,,,,,32.553241,-98.534383,,,C4020_61204020002,C4020,,Diversion Point,TX,
TX_37,Unknown,Digitized,,EPSG:4326,,,,,30.789878,-97.123751,,,P4279_11204279501,P4279,,Discharge Point,TX,
TX_38,Unknown,Digitized,,EPSG:4326,,,,,30.788353000000004,-97.123233,,,P4279_11204279002,P4279,,Diversion Point,TX,
TX_39,Unknown,Digitized,,EPSG:4326,,,,,31.102018,-97.372297,,,P5330_11205330002,P5330,,Diversion Point,TX,
TX_40,Unknown,Digitized,,EPSG:4326,,,,,31.101211,-97.373334,,,P5330_11205330001,P5330,,Diversion Point,TX,
TX_41,Unknown,Digitized,,EPSG:4326,,,,,31.101211,-97.373334,,,P5330_11205330301,P5330,,On-channel Reservoir,TX,
TX_42,Unknown,Digitized,,EPSG:4326,,,,,31.096122,-97.377772,,,P5330_11205330003,P5330,,Diversion Point,TX,
TX_43,Unknown,Digitized,,EPSG:4326,,,,,31.096122,-97.377772,,,P5330_11205330302,P5330,,On-channel Reservoir,TX,
TX_44,Unknown,Digitized,,EPSG:4326,,,,,31.865414,-97.371994,,,C5157_61205157001,C5157,,Diversion Point,TX,
TX_45,Unknown,Digitized,,EPSG:4326,,,,,31.866464,-97.371301,,,C5157_61205157301,C5157,,On-channel Reservoir,TX,
TX_46,Unknown,Digitized,,EPSG:4326,,,,,32.389939,-97.408797,,,P4258_11204258301,P4258,,On-channel Reservoir,TX,
TX_47,Unknown,Digitized,,EPSG:4326,,,,,31.007603000000003,-97.456721,,,P4003_11204003001,P4003,,Diversion Point,TX,
TX_48,Unknown,Digitized,,EPSG:4326,,,,,30.868486,-97.247329,,,P4109_11204109201,P4109,,U/S Limit - Diversion Segment,TX,
TX_49,Unknown,Digitized,,EPSG:4326,,,,,30.858999,-97.245273,,,P4109_11204109101,P4109,,D/S Limit - Diversion Segment,TX,
TX_50,Unknown,Digitized,,EPSG:4326,,,,,30.970358,-97.430089,,,P3763_11203763002,P3763,,Diversion Point,TX,
TX_51,Unknown,Digitized,,EPSG:4326,,,,,30.97047,-97.433544,,,P3763_11203763001,P3763,,Diversion Point,TX,
TX_52,Unknown,Digitized,,EPSG:4326,,,,,30.970155,-97.433155,,,P3763_11203763301,P3763,,On-channel Reservoir,TX,
TX_53,Unknown,Digitized,,EPSG:4326,,,,,31.521685,-97.069728,,,P5085_11205085001,P5085,,Diversion Point,TX,
TX_54,Unknown,Digitized,,EPSG:4326,,,,,31.521518,-97.069199,,,P5085_11205085501,P5085,,Discharge Point,TX,
TX_55,Unknown,Digitized,,EPSG:4326,,,,,31.499728,-97.093626,,,P5085_11205085401,P5085,,Off-channel Reservoir Complex,TX,
TX_56,Unknown,Digitized,,EPSG:4326,,,,,31.003769,-97.453093,,,P4002_11204002001,P4002,,Diversion Point,TX,
TX_57,Unknown,Digitized,,EPSG:4326,,,,,31.898009,-97.207073,,,C5158_61205158001,C5158,,Diversion Point,TX,
TX_58,Unknown,Digitized,,EPSG:4326,,,,,31.898009,-97.207073,,,C5158_61205158301,C5158,,On-channel Reservoir,TX,
