SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
TXwr_S1,Unknown,Digitized,,EPSG:4326,,,,,29.651976,-96.275803,,,POD,Unspecified,11305156302,,On-channel Reservoir,TX,
TXwr_S2,Unknown,Digitized,,EPSG:4326,,,,,29.660384000000004,-96.285681,,,POD,Unspecified,11305156301,,On-channel Reservoir,TX,
TXwr_S3,Unknown,Digitized,,EPSG:4326,,,,,29.520679,-96.154075,,,POD,Unspecified,11303887001,,Diversion Point,TX,
TXwr_S4,Unknown,Digitized,,EPSG:4326,,,,,29.519565000000007,-96.152952,,,POD,Unspecified,11303887501,,Discharge Point,TX,
TXwr_S5,Unknown,Digitized,,EPSG:4326,,,,,29.541696,-96.12169,,,POD,Unspecified,11303847001,,Diversion Point,TX,
TXwr_S6,Unknown,Digitized,,EPSG:4326,,,,,29.541696,-96.12169,,,POD,Unspecified,11303847801,,U/S Limit - Discharge Segment,TX,
TXwr_S7,Unknown,Digitized,,EPSG:4326,,,,,29.541106,-96.107971,,,POD,Unspecified,11303847502,,D/S Limit - Discharge Segment,TX,
TXwr_S8,Unknown,Digitized,,EPSG:4326,,,,,29.524754,-96.162939,,,POD,Unspecified,11303816001,,Diversion Point,TX,
TXwr_S9,Unknown,Digitized,,EPSG:4326,,,,,29.555346000000007,-96.130968,,,POD,Unspecified,11304288001,,Diversion Point,TX,
TXwr_S10,Unknown,Digitized,,EPSG:4326,,,,,29.54114,-96.122298,,,POD,Unspecified,11304288501,,D/S Limit - Discharge Segment,TX,
TXwr_S11,Unknown,Digitized,,EPSG:4326,,,,,29.577677999999995,-96.06189,,,POD,Unspecified,11303996001,,Diversion Point,TX,
TXwr_S12,Unknown,Digitized,,EPSG:4326,,,,,29.57568,-96.06278300000001,,,POD,Unspecified,11303996002,,Diversion Point,TX,
