SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
TXwr_S1,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.651976,-96.275803,,,POD,Unspecified,11305156302,,On-channel Reservoir,TX,
TXwr_S2,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.660384000000004,-96.28568100000001,,,POD,Unspecified,11305156301,,On-channel Reservoir,TX,
TXwr_S3,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.520678999999998,-96.154075,,,POD,Unspecified,11303887001,,Diversion Point,TX,
TXwr_S4,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.519565000000004,-96.152952,,,POD,Unspecified,11303887501,,Discharge Point,TX,
TXwr_S5,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.541696,-96.12169,,,POD,Unspecified,11303847001,,Diversion Point,TX,
TXwr_S6,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.541696,-96.12169,,,POD,Unspecified,11303847801,,U/S Limit - Discharge Segment,TX,
TXwr_S7,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.541106,-96.10797099999999,,,POD,Unspecified,11303847502,,D/S Limit - Discharge Segment,TX,
TXwr_S8,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.524753999999998,-96.162939,,,POD,Unspecified,11303816001,,Diversion Point,TX,
TXwr_S9,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.555346000000004,-96.13096800000001,,,POD,Unspecified,11304288001,,Diversion Point,TX,
TXwr_S10,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.541140000000002,-96.122298,,,POD,Unspecified,11304288501,,D/S Limit - Discharge Segment,TX,
TXwr_S11,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.577678000000002,-96.06189,,,POD,Unspecified,11303996001,,Diversion Point,TX,
TXwr_S12,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.57568,-96.062783,,,POD,Unspecified,11303996002,,Diversion Point,TX,
TXwr_S13,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.467105,-96.13794,,,POD,Unspecified,11305459005,,Diversion Point,TX,
TXwr_S14,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.482646000000003,-96.136418,,,POD,Unspecified,11305459004,,Diversion Point,TX,
TXwr_S15,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.489415,-96.137956,,,POD,Unspecified,11305459003,,Diversion Point,TX,
TXwr_S16,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.496519,-96.141304,,,POD,Unspecified,11305459002,,Diversion Point,TX,
TXwr_S17,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.492151,-96.13945,,,POD,Unspecified,11305459001,,Diversion Point,TX,
TXwr_S18,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.472841,-96.145212,,,POD,Unspecified,11303814002,,Diversion Point,TX,
TXwr_S19,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.474918,-96.14399,,,POD,Unspecified,11303814501,,Discharge Point,TX,
TXwr_S20,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.481070000000003,-96.140052,,,POD,Unspecified,11303814502,,Discharge Point,TX,
TXwr_S21,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.487521,-96.138086,,,POD,Unspecified,11303814001,,Diversion Point,TX,
TXwr_S22,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.471913,-96.144518,,,POD,Unspecified,11305568001,,Diversion Point,TX,
TXwr_S23,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.456436,-96.137906,,,POD,Unspecified,11305573001,,Diversion Point,TX,
TXwr_S24,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.588987,-96.06976800000001,,,POD,Unspecified,11305324001,,Diversion Point,TX,
TXwr_S25,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.587075,-96.069464,,,POD,Unspecified,11305324501,,Discharge Point,TX,
TXwr_S26,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.591590000000004,-96.06890200000001,,,POD,Unspecified,11305324002,,Diversion Point,TX,
TXwr_S27,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.630477000000003,-96.266124,,,POD,Unspecified,11305523001,,Diversion Point,TX,
TXwr_S28,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,29.377421999999996,-96.140048,,,POD,Unspecified,11304229301,,On-channel Reservoir,TX,
TXwr_S29,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,34.337790999999996,-102.22426800000001,,,POD,Unspecified,11204064001,,Diversion Point,TX,
TXwr_S30,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,34.338212,-102.22491600000001,,,POD,Unspecified,11204064301,,On-channel Reservoir,TX,
TXwr_S31,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.830636,-98.331415,,,POD,Unspecified,61203999001,,Diversion Point,TX,
TXwr_S32,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.870145,-98.28468000000001,,,POD,Unspecified,61204000001,,Diversion Point,TX,
TXwr_S33,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.533346,-98.561134,,,POD,Unspecified,61204019001,,Diversion Point,TX,
TXwr_S34,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.533361,-98.562653,,,POD,Unspecified,61204019301,,On-channel Reservoir,TX,
TXwr_S35,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.551953999999995,-98.532065,,,POD,Unspecified,61204020003,,Diversion Point,TX,
TXwr_S36,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,32.553241,-98.53438299999999,,,POD,Unspecified,61204020002,,Diversion Point,TX,
TXwr_S37,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,30.789878,-97.123751,,,POD,Unspecified,11204279501,,Discharge Point,TX,
TXwr_S38,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,30.788353000000004,-97.123233,,,POD,Unspecified,11204279002,,Diversion Point,TX,
TXwr_S39,,TXwr_WS1,Unspecified,Digitized,,4326,,,,,31.102018,-97.372297,,,POD,Unspecified,11205330002,,Diversion Point,TX,
