,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,ReasonRemoved,index
0,,,,,,,,,,,C2002,"CITY OF KERRVILLE,COMANCHE TRACE RANCH AND GOLF CLUB",06/24/2020,,,,,,IRRIGATION,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S9163,TXwr_S11392,TXwr_S7747,TXwr_S11391,TXwr_S9169,TXwr_S9162,TXwr_S9170,TXwr_S10185,TXwr_S9168,TXwr_S11387,TXwr_S7746,TXwr_S10699,TXwr_S9167,TXwr_S11390,TXwr_S8676,TXwr_S11388,TXwr_S11389,TXwr_S9165,TXwr_S9164,TXwr_S10186,TXwr_S7745,TXwr_S9166,TXwr_S11393,TXwr_S9161,TXwr_S10187",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,958.0
1,,,,,,,,,,,C2276,"DOUBLE SPRINGS PARTNERSHIP, LTD.",06/24/2020,,,,,,IRRIGATION,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S2436,TXwr_S2435,TXwr_S2822,TXwr_S2820,TXwr_S2823,TXwr_S2825,TXwr_S2433,TXwr_S2731,TXwr_S2075,TXwr_S2629,TXwr_S2072,TXwr_S2434,TXwr_S2081,TXwr_S2078,TXwr_S2730,TXwr_S2073,TXwr_S2079,TXwr_S2076,TXwr_S2728,TXwr_S2064,TXwr_S2077,TXwr_S2082,TXwr_S2080,TXwr_S2630,TXwr_S2821,TXwr_S2824,TXwr_S2083,TXwr_S2819,TXwr_S2828,TXwr_S2729,TXwr_S2074,TXwr_S2826,TXwr_S2827,TXwr_S2818",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,1222.0
2,,,,,,,,,,,C2410,NORTH TEXAS MUNICIPAL WATER DISTRICT,06/24/2020,,,,,,"MUNICIPAL/DOMESTIC AND LIVESTOCK,INDUSTRIAL,OTHER,AGRICULTURE, INDUSTRIAL - POWER GENERATION,WETLANDS",,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S13832,TXwr_S12822,TXwr_S12844,TXwr_S13994,TXwr_S13991,TXwr_S13997,TXwr_S13360,TXwr_S13831,TXwr_S13992,TXwr_S13830,TXwr_S13829,TXwr_S13833,TXwr_S8338,TXwr_S13987,TXwr_S13358,TXwr_S13989,TXwr_S13995,TXwr_S13993,TXwr_S13988,TXwr_S13828,TXwr_S13996,TXwr_S8337,TXwr_S13990,TXwr_S13359",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,1350.0
3,,,,,,,,,,,C3082,ZAVALA DIMMIT COUNTIES WATER IMPROVEMENT DISTRICT 1,06/24/2020,,,,,,IRRIGATION,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S9939,TXwr_S9656,TXwr_S6945,TXwr_S6078,TXwr_S3637,TXwr_S6076,TXwr_S9935,TXwr_S9655,TXwr_S9938,TXwr_S6077,TXwr_S3636,TXwr_S6944,TXwr_S9937,TXwr_S3635,TXwr_S9653,TXwr_S11139,TXwr_S3633,TXwr_S11140,TXwr_S3638,TXwr_S3634,TXwr_S6079,TXwr_S9936,TXwr_S9654",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,1822.0
4,,,,,,,,,,,C3455,"CHARLES D. CROW,WANDA L. CROW",06/24/2020,,,,,,"INDUSTRIAL,IRRIGATION,AGRICULTURE, AQUACULTURE, IRRIGATION",,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S3334,TXwr_S3333,TXwr_S3321,TXwr_S3326,TXwr_S3330,TXwr_S3329,TXwr_S3336,TXwr_S1968,TXwr_S1966,TXwr_S3331,TXwr_S3323,TXwr_S3335,TXwr_S3332,TXwr_S3322,TXwr_S3327,TXwr_S3325,TXwr_S3328,TXwr_S1967,TXwr_S3324",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,2177.0
5,,,,,,,,,,,C3718,OCCIDENTAL PERMIAN LTD.,06/24/2020,,,,,,MINING,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S1317,TXwr_S1386,TXwr_S1467,TXwr_S1474,TXwr_S1457,TXwr_S966,TXwr_S1322,TXwr_S1396,TXwr_S1473,TXwr_S1471,TXwr_S1468,TXwr_S1388,TXwr_S1399,TXwr_S1318,TXwr_S1395,TXwr_S1462,TXwr_S1398,TXwr_S1464,TXwr_S1323,TXwr_S1465,TXwr_S1392,TXwr_S1319,TXwr_S1387,TXwr_S1390,TXwr_S967,TXwr_S1391,TXwr_S1470,TXwr_S1463,TXwr_S1389,TXwr_S1394,TXwr_S968,TXwr_S1320,TXwr_S1458,TXwr_S1393,TXwr_S1456,TXwr_S1459,TXwr_S1321,TXwr_S1472,TXwr_S1475,TXwr_S1461,TXwr_S965,TXwr_S1455,TXwr_S1460,TXwr_S1469,TXwr_S1397,TXwr_S1466",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,2399.0
6,,,,,,,,,,,C4554,BROWNSVILLE IRRIGATION AND DRAINAGE DISTRICT,06/24/2020,,,,,,Unknown,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S3721,TXwr_S3724,TXwr_S3726,TXwr_S7978,TXwr_S7984,TXwr_S4317,TXwr_S7980,TXwr_S7982,TXwr_S4319,TXwr_S3720,TXwr_S3719,TXwr_S4318,TXwr_S7979,TXwr_S7985,TXwr_S7981,TXwr_S3723,TXwr_S7983,TXwr_S3725,TXwr_S3727,TXwr_S4320,TXwr_S3722,TXwr_S3718",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,3213.0
7,,,,,,,,,,,C5082,"BEENE & EUBANKS, L.P.",06/24/2020,,,,,,IRRIGATION,,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S8124,TXwr_S13036,TXwr_S7837,TXwr_S7602,TXwr_S7831,TXwr_S8062,TXwr_S7610,TXwr_S7605,TXwr_S7607,TXwr_S8123,TXwr_S10559,TXwr_S7832,TXwr_S7603,TXwr_S7836,TXwr_S10279,TXwr_S8061,TXwr_S8121,TXwr_S7834,TXwr_S7835,TXwr_S7604,TXwr_S8128,TXwr_S7613,TXwr_S8130,TXwr_S7609,TXwr_S8127,TXwr_S8131,TXwr_S7611,TXwr_S8120,TXwr_S10560,TXwr_S7829,TXwr_S7612,TXwr_S8122,TXwr_S8132,TXwr_S7828,TXwr_S7606,TXwr_S7830,TXwr_S8129,TXwr_S8126,TXwr_S7608,TXwr_S7833,TXwr_S8125",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,3728.0
8,,,,,,,,,,,C5328,THE DOW CHEMICAL COMPANY,06/24/2020,,,,,,"MUNICIPAL/DOMESTIC AND LIVESTOCK,INDUSTRIAL,IRRIGATION,RECREATION,MULTI USE,MUNICIPAL",,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S3086,TXwr_S3103,TXwr_S3085,TXwr_S14048,TXwr_S14049,TXwr_S1937,TXwr_S1565,TXwr_S14050,TXwr_S1563,TXwr_S12749,TXwr_S1654,TXwr_S1652,TXwr_S1567,TXwr_S1938,TXwr_S1568,TXwr_S1571,TXwr_S3104,TXwr_S1653",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,3968.0
9,,,,,,,,,,,C5434,"LOWER COLORADO RIVER AUTHORITY,CITY OF CORPUS CHRISTI",06/24/2020,,,,,,"MUNICIPAL/DOMESTIC AND LIVESTOCK,INDUSTRIAL,IRRIGATION",,,,06/16/20,,1,,,,,TCEQ_Water Rights,TCEQ,,,Irrigation,"TXwr_S5742,TXwr_S5734,TXwr_S5737,TXwr_S5739,TXwr_S5733,TXwr_S5744,TXwr_S5736,TXwr_S5735,TXwr_S3906,TXwr_S5743,TXwr_S5762,TXwr_S5738,TXwr_S5731,TXwr_S5740,TXwr_S5761,TXwr_S5741,TXwr_S4182,TXwr_S4183,TXwr_S5760,TXwr_S5732",TCEQ_Allocation All,,TXwr_WS1,Bad SiteUUID,4067.0
