OBJECTID,TCEQ_ID,TYPE,VERIFIED,LAT_DD,LONG_DD,HORZ_METH,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_DATUM,WR_ID,WR_TYPE_NO,SHAPE
14068,11305156302,On-channel Reservoir,1,29.651976,-96.275803,DOQ,5,Other,1/15/2010,TCEQ,NAD83,P5156,WRPERM5156,Point
14069,11305156301,On-channel Reservoir,1,29.660384,-96.285681,DOQ,5,Other,1/15/2010,TCEQ,NAD83,P5156,WRPERM5156,Point
14070,11303887001,Diversion Point,2,29.520679,-96.154075,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3887,WRPERM3887,Point
14071,11303887501,Discharge Point,9,29.519565,-96.152952,OTHER,0,Other,1/15/2010,TCEQ,NAD83,P3887,WRPERM3887,Point
14072,11303847001,Diversion Point,2,29.541696,-96.12169,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3847,WRPERM3847,Point
14073,11303847801,U/S Limit - Discharge Segment,9,29.541696,-96.12169,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P3847,WRPERM3847,Point
14074,11303847502,D/S Limit - Discharge Segment,9,29.541106,-96.107971,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P3847,WRPERM3847,Point
14075,11303816001,Diversion Point,2,29.524754,-96.162939,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3816,WRPERM3816,Point
14076,11304288001,Diversion Point,4,29.555346,-96.130968,MAP_MAN,315,Other,1/15/2010,TCEQ,NAD83,P4288,WRPERM4288,Point
14077,11304288501,D/S Limit - Discharge Segment,9,29.54114,-96.122298,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P4288,WRPERM4288,Point
14078,11303996001,Diversion Point,2,29.577678,-96.06189,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3996,WRPERM3996,Point
14079,11303996002,Diversion Point,2,29.57568,-96.062783,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3996,WRPERM3996,Point
14080,11305459005,Diversion Point,9,29.467105,-96.13794,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P5459,WRPERM5459,Point
14081,11305459004,Diversion Point,2,29.482646,-96.136418,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5459,WRPERM5459,Point
14082,11305459003,Diversion Point,2,29.489415,-96.137956,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5459,WRPERM5459,Point
14083,11305459002,Diversion Point,2,29.496519,-96.141304,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5459,WRPERM5459,Point
14084,11305459001,Diversion Point,2,29.492151,-96.13945,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5459,WRPERM5459,Point
14085,11303814002,Diversion Point,2,29.472841,-96.145212,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3814,WRPERM3814,Point
14086,11303814501,Discharge Point,9,29.474918,-96.14399,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P3814,WRPERM3814,Point
14087,11303814502,Discharge Point,9,29.48107,-96.140052,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P3814,WRPERM3814,Point
14088,11303814001,Diversion Point,2,29.487521,-96.138086,DRG,12,Other,1/15/2010,TCEQ,NAD83,P3814,WRPERM3814,Point
14089,11305568001,Diversion Point,9,29.471913,-96.144518,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P5568,WRPERM5568,Point
14090,11305573001,Diversion Point,9,29.456436,-96.137906,OTHER,-9999,Other,1/15/2010,TCEQ,NAD83,P5573,WRPERM5573,Point
14091,11305324001,Diversion Point,2,29.588987,-96.069768,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5324,WRPERM5324,Point
14092,11305324501,Discharge Point,2,29.587075,-96.069464,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5324,WRPERM5324,Point
14093,11305324002,Diversion Point,2,29.59159,-96.068902,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5324,WRPERM5324,Point
14094,11305523001,Diversion Point,2,29.630477,-96.266124,DRG,12,Other,1/15/2010,TCEQ,NAD83,P5523,WRPERM5523,Point
14095,11304229301,On-channel Reservoir,1,29.377422,-96.140048,DOQ,5,Other,1/15/2010,TCEQ,NAD83,P4229,WRPERM4229,Point
14096,11204064001,Diversion Point,3,34.337791,-102.224268,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4064,WRPERM4064,Point
14097,11204064301,On-channel Reservoir,1,34.338212,-102.224916,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P4064,WRPERM4064,Point
14098,61203999001,Diversion Point,3,32.830636,-98.331415,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3999,ADJ3999,Point
14099,61204000001,Diversion Point,3,32.870145,-98.28468,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4000,ADJ4000,Point
14100,61204019001,Diversion Point,3,32.533346,-98.561134,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4019,ADJ4019,Point
14101,61204019301,On-channel Reservoir,1,32.533361,-98.562653,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C4019,ADJ4019,Point
14102,61204020003,Diversion Point,3,32.551954,-98.532065,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4020,ADJ4020,Point
14103,61204020002,Diversion Point,3,32.553241,-98.534383,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4020,ADJ4020,Point
14104,11204279501,Discharge Point,3,30.789878,-97.123751,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4279,WRPERM4279,Point
14105,11204279002,Diversion Point,3,30.788353,-97.123233,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4279,WRPERM4279,Point
14106,11205330002,Diversion Point,9,31.102018,-97.372297,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5330,WRPERM5330,Point
14107,11205330001,Diversion Point,9,31.101211,-97.373334,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5330,WRPERM5330,Point
14108,11205330301,On-channel Reservoir,1,31.101211,-97.373334,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5330,WRPERM5330,Point
14109,11205330003,Diversion Point,9,31.096122,-97.377772,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5330,WRPERM5330,Point
14110,11205330302,On-channel Reservoir,1,31.096122,-97.377772,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5330,WRPERM5330,Point
14111,61205157001,Diversion Point,3,31.865414,-97.371994,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C5157,ADJ5157,Point
14112,61205157301,On-channel Reservoir,1,31.866464,-97.371301,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C5157,ADJ5157,Point
14113,11204258301,On-channel Reservoir,1,32.389939,-97.408797,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P4258,WRPERM4258,Point
14114,11204003001,Diversion Point,3,31.007603,-97.456721,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4003,WRPERM4003,Point
14115,11204109201,U/S Limit - Diversion Segment,3,30.868486,-97.247329,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4109,WRPERM4109,Point
14116,11204109101,D/S Limit - Diversion Segment,3,30.858999,-97.245273,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4109,WRPERM4109,Point
14117,11203763002,Diversion Point,2,30.970358,-97.430089,DRG,12,OTHER,8/25/2009,TCEQ,NAD83,P3763,WRPERM3763,Point
14118,11203763001,Diversion Point,2,30.97047,-97.433544,DRG,12,OTHER,8/25/2009,TCEQ,NAD83,P3763,WRPERM3763,Point
14119,11203763301,On-channel Reservoir,1,30.970155,-97.433155,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P3763,WRPERM3763,Point
14120,11205085001,Diversion Point,1,31.521685,-97.069728,WM,5,OTHER,5/19/2015,TCEQ,NAD83,P5085,WRPERM5085,Point
14121,11205085501,Discharge Point,4,31.521518,-97.069199,WM,30,OTHER,5/19/2015,TCEQ,NAD83,P5085,WRPERM5085,Point
14122,11205085401,Off-channel Reservoir Complex,1,31.499728,-97.093626,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5085,WRPERM5085,Point
14123,11204002001,Diversion Point,3,31.003769,-97.453093,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4002,WRPERM4002,Point
14124,61205158001,Diversion Point,9,31.898009,-97.207073,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,C5158,ADJ5158,Point
14125,61205158301,On-channel Reservoir,1,31.898009,-97.207073,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C5158,ADJ5158,Point
14126,11205540301,On-channel Reservoir,1,30.593564,-97.028875,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5540,WRPERM5540,Point
14127,11205540302,On-channel Reservoir,1,30.585386,-97.010435,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5540,WRPERM5540,Point
14128,11204166201,U/S Limit - Diversion Segment,3,30.529221,-97.329922,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4166,WRPERM4166,Point
14129,11204166101,D/S Limit - Diversion Segment,3,30.532585,-97.322784,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P4166,WRPERM4166,Point
14130,61203767005,Diversion Point,3,30.970352,-97.256119,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14131,61203767305,On-channel Reservoir,1,30.970352,-97.256119,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14132,61203767001,Diversion Point,3,30.964196,-97.251713,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14133,61203767301,On-channel Reservoir,1,30.963626,-97.251026,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14134,61203767002,Diversion Point,3,30.960741,-97.250239,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14135,61203767302,On-channel Reservoir,1,30.960741,-97.250239,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14136,61203767004,Diversion Point,3,30.963027,-97.245386,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14137,61203767304,On-channel Reservoir,1,30.963027,-97.245386,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14138,61203767003,Diversion Point,3,30.959947,-97.24711,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14139,61203767303,On-channel Reservoir,1,30.960288,-97.247776,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14140,61203767401,Off-channel Reservoir Complex,1,30.971141,-97.254133,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C3767,ADJ3767,Point
14141,11205085502,Discharge Point,1,31.519496,-97.064584,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5085,WRPERM5085,Point
14142,11205094001,Diversion Point,9,31.580181,-97.197084,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5094,WRPERM5094,Point
14143,11205094301,On-channel Reservoir,1,31.580181,-97.197084,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,P5094,WRPERM5094,Point
14144,11205094501,Discharge Point,9,31.549787,-97.090708,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5094,WRPERM5094,Point
14145,11204000001,Diversion Point,2,31.012579,-97.459451,DRG,12,OTHER,8/25/2009,TCEQ,NAD83,P4000,WRPERM4000,Point
14146,61204041001,Diversion Point,9,32.871319,-97.946839,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,C4041,ADJ4041,Point
14147,61204041301,On-channel Reservoir,1,32.871319,-97.946839,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C4041,ADJ4041,Point
14148,61204042001,Diversion Point,9,32.857688,-97.952167,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,C4042,ADJ4042,Point
14149,61204042301,On-channel Reservoir,1,32.857688,-97.952167,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C4042,ADJ4042,Point
14150,61204043001,Diversion Point,9,32.584058,-98.056603,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,C4043,ADJ4043,Point
14151,61204043301,On-channel Reservoir,1,32.584058,-98.056603,DOQ,5,OTHER,8/25/2009,TCEQ,NAD83,C4043,ADJ4043,Point
14152,61204044002,Diversion Point,3,32.624422,-97.958813,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4044,ADJ4044,Point
14153,61204044001,Diversion Point,3,32.621091,-97.969485,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4044,ADJ4044,Point
14154,61204045001,Diversion Point,3,32.619142,-97.901947,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4045,ADJ4045,Point
14155,61204045002,Diversion Point,3,32.619503,-97.896097,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4045,ADJ4045,Point
14156,61204046001,Diversion Point,3,32.619509,-97.893339,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,C4046,ADJ4046,Point
