index,STATE,COUNTY,RESERVOIRNAME,Amount,ReportYearCV,BeneficialUseCV,TheJoin,AFFGEOID
0,AZ,Apache,Unspecified,,1971,IrrigatedAcreage,AZApache,0500000US04001
1,AZ,Apache,Unspecified,,1972,IrrigatedAcreage,AZApache,0500000US04001
2,AZ,Apache,Unspecified,,1973,IrrigatedAcreage,AZApache,0500000US04001
3,AZ,Apache,Unspecified,,1974,IrrigatedAcreage,AZApache,0500000US04001
4,AZ,Apache,Unspecified,,1975,IrrigatedAcreage,AZApache,0500000US04001
5,AZ,Apache,Unspecified,,1976,IrrigatedAcreage,AZApache,0500000US04001
6,AZ,Apache,Unspecified,,1977,IrrigatedAcreage,AZApache,0500000US04001
7,AZ,Apache,Unspecified,,1978,IrrigatedAcreage,AZApache,0500000US04001
8,AZ,Apache,Unspecified,,1979,IrrigatedAcreage,AZApache,0500000US04001
9,AZ,Apache,Unspecified,,1980,IrrigatedAcreage,AZApache,0500000US04001
10,AZ,Apache,Unspecified,,1981,IrrigatedAcreage,AZApache,0500000US04001
11,AZ,Apache,Unspecified,,1982,IrrigatedAcreage,AZApache,0500000US04001
12,AZ,Apache,Unspecified,,1983,IrrigatedAcreage,AZApache,0500000US04001
13,AZ,Apache,Unspecified,,1984,IrrigatedAcreage,AZApache,0500000US04001
14,AZ,Apache,Unspecified,,1985,IrrigatedAcreage,AZApache,0500000US04001
15,AZ,Apache,Unspecified,87.0,1986,IrrigatedAcreage,AZApache,0500000US04001
16,AZ,Apache,Unspecified,87.0,1987,IrrigatedAcreage,AZApache,0500000US04001
17,AZ,Apache,Unspecified,87.0,1988,IrrigatedAcreage,AZApache,0500000US04001
18,AZ,Apache,Unspecified,87.0,1989,IrrigatedAcreage,AZApache,0500000US04001
19,AZ,Apache,Unspecified,87.0,1990,IrrigatedAcreage,AZApache,0500000US04001
20,AZ,Apache,Unspecified,87.0,1991,IrrigatedAcreage,AZApache,0500000US04001
21,AZ,Apache,Unspecified,87.0,1992,IrrigatedAcreage,AZApache,0500000US04001
22,AZ,Apache,Unspecified,87.0,1993,IrrigatedAcreage,AZApache,0500000US04001
23,AZ,Apache,Unspecified,87.0,1994,IrrigatedAcreage,AZApache,0500000US04001
24,AZ,Apache,Unspecified,87.0,1995,IrrigatedAcreage,AZApache,0500000US04001
25,AZ,Apache,Unspecified,23.67,1996,IrrigatedAcreage,AZApache,0500000US04001
26,AZ,Apache,Unspecified,23.67,1997,IrrigatedAcreage,AZApache,0500000US04001
27,AZ,Apache,Unspecified,23.67,1998,IrrigatedAcreage,AZApache,0500000US04001
28,AZ,Apache,Unspecified,23.67,1999,IrrigatedAcreage,AZApache,0500000US04001
29,AZ,Apache,Unspecified,23.67,2000,IrrigatedAcreage,AZApache,0500000US04001
30,AZ,Apache,Unspecified,23.67,2001,IrrigatedAcreage,AZApache,0500000US04001
31,AZ,Apache,Unspecified,23.67,2002,IrrigatedAcreage,AZApache,0500000US04001
32,AZ,Apache,Unspecified,23.67,2003,IrrigatedAcreage,AZApache,0500000US04001
33,AZ,Apache,Unspecified,23.67,2004,IrrigatedAcreage,AZApache,0500000US04001
34,AZ,Apache,Unspecified,23.67,2005,IrrigatedAcreage,AZApache,0500000US04001
35,AZ,Apache,Unspecified,23.67,2006,IrrigatedAcreage,AZApache,0500000US04001
36,AZ,Apache,Unspecified,23.67,2007,IrrigatedAcreage,AZApache,0500000US04001
37,AZ,Apache,Unspecified,23.7,2008,IrrigatedAcreage,AZApache,0500000US04001
38,AZ,Apache,Unspecified,23.67,2009,IrrigatedAcreage,AZApache,0500000US04001
39,AZ,Apache,Unspecified,23.67,2010,IrrigatedAcreage,AZApache,0500000US04001
40,AZ,Apache,Unspecified,23.67,2011,IrrigatedAcreage,AZApache,0500000US04001
41,AZ,Apache,Unspecified,23.67,2012,IrrigatedAcreage,AZApache,0500000US04001
42,AZ,Apache,Unspecified,23.67,2013,IrrigatedAcreage,AZApache,0500000US04001
43,AZ,Apache,Unspecified,23.67,2014,IrrigatedAcreage,AZApache,0500000US04001
