Amount,BeneficialUseCV,ReportYearCV,STATE,COUNTY,WaterSource,in_ReportingUnitName,in_TimeframeStart,in_TimeframeEnd,in_WaterSourceNativeID,in_ReportingUnitNativeID
2500.0,Irrigated Agriculture ,1971,AZ,san juan,colorado river,AZ_colorado river,01/01/1971,12/31/1971,WaDEUSBR_WS1,WaDEUSBR_RU1
2900.0,Irrigated Agriculture ,1972,AZ,san juan,colorado river,AZ_colorado river,01/01/1972,12/31/1972,WaDEUSBR_WS1,WaDEUSBR_RU1
4000.0,Irrigated Agriculture ,1973,AZ,san juan,colorado river,AZ_colorado river,01/01/1973,12/31/1973,WaDEUSBR_WS1,WaDEUSBR_RU1
4250.0,Irrigated Agriculture ,1974,AZ,san juan,colorado river,AZ_colorado river,01/01/1974,12/31/1974,WaDEUSBR_WS1,WaDEUSBR_RU1
3540.0,Irrigated Agriculture ,1975,AZ,san juan,colorado river,AZ_colorado river,01/01/1975,12/31/1975,WaDEUSBR_WS1,WaDEUSBR_RU1
2690.0,Irrigated Agriculture ,1976,AZ,san juan,colorado river,AZ_colorado river,01/01/1976,12/31/1976,WaDEUSBR_WS1,WaDEUSBR_RU1
3810.0,Irrigated Agriculture ,1977,AZ,san juan,colorado river,AZ_colorado river,01/01/1977,12/31/1977,WaDEUSBR_WS1,WaDEUSBR_RU1
4300.0,Irrigated Agriculture ,1978,AZ,san juan,colorado river,AZ_colorado river,01/01/1978,12/31/1978,WaDEUSBR_WS1,WaDEUSBR_RU1
5320.0,Irrigated Agriculture ,1979,AZ,san juan,colorado river,AZ_colorado river,01/01/1979,12/31/1979,WaDEUSBR_WS1,WaDEUSBR_RU1
6290.0,Irrigated Agriculture ,1980,AZ,san juan,colorado river,AZ_colorado river,01/01/1980,12/31/1980,WaDEUSBR_WS1,WaDEUSBR_RU1
4575.0,Irrigated Agriculture ,1981,AZ,san juan,colorado river,AZ_colorado river,01/01/1981,12/31/1981,WaDEUSBR_WS1,WaDEUSBR_RU1
5664.0,Irrigated Agriculture ,1982,AZ,san juan,colorado river,AZ_colorado river,01/01/1982,12/31/1982,WaDEUSBR_WS1,WaDEUSBR_RU1
6523.0,Irrigated Agriculture ,1983,AZ,san juan,colorado river,AZ_colorado river,01/01/1983,12/31/1983,WaDEUSBR_WS1,WaDEUSBR_RU1
5800.0,Irrigated Agriculture ,1984,AZ,san juan,colorado river,AZ_colorado river,01/01/1984,12/31/1984,WaDEUSBR_WS1,WaDEUSBR_RU1
5800.0,Irrigated Agriculture ,1985,AZ,san juan,colorado river,AZ_colorado river,01/01/1985,12/31/1985,WaDEUSBR_WS1,WaDEUSBR_RU1
3838.9,Irrigated Agriculture ,1986,AZ,san juan,colorado river,AZ_colorado river,01/01/1986,12/31/1986,WaDEUSBR_WS1,WaDEUSBR_RU1
3377.1,Irrigated Agriculture ,1987,AZ,san juan,colorado river,AZ_colorado river,01/01/1987,12/31/1987,WaDEUSBR_WS1,WaDEUSBR_RU1
