WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
Fresh_Surface,Fresh_Surface,,Unspecified,Fresh,1442221,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_Ground,Fresh_Ground,,Unspecified,Fresh,,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_SW_GW,Fresh_SW_GW,,Unspecified,Fresh,,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_GW,Fresh_GW,,Unspecified,Fresh,,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_SW,Fresh_SW,,Unspecified,Fresh,,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_Surface water,Fresh_Surface water,,Unspecified,Fresh,1442221,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))"
Fresh_Groundwater,Fresh_Groundwater,,Unspecified,Fresh,,
BERT BUTLER DITCH-CODWR,BERT BUTLER DITCH-CODWR,,Unspecified,Fresh,,
BEULAH RANGER STA WELL-CODWR,BEULAH RANGER STA WELL-CODWR,,Unspecified,Fresh,,
BERRYHILL DITCH NO 1-CODWR,BERRYHILL DITCH NO 1-CODWR,,Unspecified,Fresh,,
BIG GULCH PUMP DIVERSION-CODWR,BIG GULCH PUMP DIVERSION-CODWR,,Unspecified,Fresh,,
BEUTEN WELL NO 60708-CODWR,BEUTEN WELL NO 60708-CODWR,,Unspecified,Fresh,,
BIG POND-CODWR,BIG POND-CODWR,,Unspecified,Fresh,,
BIG FALL DITCH-CODWR,BIG FALL DITCH-CODWR,,Unspecified,Fresh,,
BEST RESERVOIR-CODWR,BEST RESERVOIR-CODWR,,Unspecified,Fresh,,
BIRCHLER WELL NO 20013-CODWR,BIRCHLER WELL NO 20013-CODWR,,Unspecified,Fresh,,
BISON PARK RESERVOIR INTAKE-CODWR,BISON PARK RESERVOIR INTAKE-CODWR,,Unspecified,Fresh,,
BLACK SMOKE 44-29-CODWR,BLACK SMOKE 44-29-CODWR,,Unspecified,Fresh,,
BESLER SPRING-CODWR,BESLER SPRING-CODWR,,Unspecified,Fresh,,
BLACK EAGLE D NO 1-CODWR,BLACK EAGLE D NO 1-CODWR,,Unspecified,Fresh,,
BLACK FOREST PARTNERSHIP AUG PLAN-CODWR,BLACK FOREST PARTNERSHIP AUG PLAN-CODWR,,Unspecified,Fresh,,
BIG SALT DIVERSION-CODWR,BIG SALT DIVERSION-CODWR,,Unspecified,Fresh,,
BIGBEE DITCH NO 2-CODWR,BIGBEE DITCH NO 2-CODWR,,Unspecified,Fresh,,
BLACK WELL NO 16195-CODWR,BLACK WELL NO 16195-CODWR,,Unspecified,Fresh,,
BIG RUBY RES-CODWR,BIG RUBY RES-CODWR,,Unspecified,Fresh,,
BIG SPRING AND PIPELINE-CODWR,BIG SPRING AND PIPELINE-CODWR,,Unspecified,Fresh,,
BEVAN D 5-CODWR,BEVAN D 5-CODWR,,Unspecified,Fresh,,
BEUTEN P/A POD-CODWR,BEUTEN P/A POD-CODWR,,Unspecified,Fresh,,
BEVER HIDE DITCH-CODWR,BEVER HIDE DITCH-CODWR,,Unspecified,Fresh,,
BIGELOW WELL NO 11352-CODWR,BIGELOW WELL NO 11352-CODWR,,Unspecified,Fresh,,
BIEDELL D NO 10-CODWR,BIEDELL D NO 10-CODWR,,Unspecified,Fresh,,
BLU 42-2-CODWR,BLU 42-2-CODWR,,Unspecified,Fresh,,
BIRD DITCH-CODWR,BIRD DITCH-CODWR,,Unspecified,Fresh,,
BLACK CREEK DITCH-CODWR,BLACK CREEK DITCH-CODWR,,Unspecified,Fresh,,
BLACKJACK 32-11 TR-CODWR,BLACKJACK 32-11 TR-CODWR,,Unspecified,Fresh,,
BIG SANDY CATTLE CO FEEDLOT WELL NO 1-CODWR,BIG SANDY CATTLE CO FEEDLOT WELL NO 1-CODWR,,Unspecified,Fresh,,
BIGBEE DITCH-CODWR,BIGBEE DITCH-CODWR,,Unspecified,Fresh,,
BIGHORN RESERVOIR-CODWR,BIGHORN RESERVOIR-CODWR,,Unspecified,Fresh,,
BENNETT RESERVOIR-CODWR,BENNETT RESERVOIR-CODWR,,Unspecified,Fresh,,
BLUE SPRING-CODWR,BLUE SPRING-CODWR,,Unspecified,Fresh,,
