AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,Geometry,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,Unnamed: 11,MethodUUID,NAICSCodeCV,OrganizationUUID,PopulationServed,PowerGeneratedGWh,PowerType,Unnamed: 18,Unnamed: 19,ReportingUnitName,ReportingUnitNativeID,ReportingUnitTypeCV,ReportYearCV,Unnamed: 24,TimeframeEnd,TimeframeStart,USGSCategoryCV,UT_VariableCV,UT_VariableSpecificCV,WaterSourceID,tempWST,in_VariableSpecificCV,in_WaterSourceNativeID
,80061.753287,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Beaver,49001,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,238427.649653,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Box Elder,49003,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,112529.510081,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Cache,49005,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,27021.922929,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Carbon,49007,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,20364.506196,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Daggett,49009,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,39236.478065,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Davis,49011,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,151959.002612,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Utah,49049,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,28456.377748,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Wasatch,49051,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,37478.379972,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Washington,49053,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,33113.407253,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Wayne,49055,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,61156.212149,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Weber,49057,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,20480.370026,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,San Juan,49037,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,146011.036945,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,SanPete,49039,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,105557.393154,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Sevier,49041,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
,48279.445107,Agriculture,,,,,,,,,,Consumptive Use Estimate,111000,UTDWRE,,,,,,Summit,49043,County,2005,,2006-09-30,2005-10-01,Irrigation,Consumptive Use,"Consumptive Use, Irrigation",Fresh_SW_GW,Surface and Groundwater,Consumptive Use_Annual_Agriculture_Surface and Groundwater,WaDEUT_WS1
