FID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
1,Irontown,Irontown,Irontown,C,564,11358,UTAH11070,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358, , ,Utah,Iron,Cedar/Beaver,06-03-01,Escalante Desert,06-03-01a,Escalante Desert,2018,DWRe/Supplier,2019/05/21 00:00:00,ADAMCLARK,2019/10/16 00:00:00,,0.0572705907386217,6.69623172554074e-05
2,Mountain View SSD,Mountain View Special Service District,Mt. View Spec. Serv. Dist,C,533,11169,UTAH11037,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169, , ,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,06-02-02a,Cedar,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0290126392203353,4.7781314979763e-05
3,Park West Water Co.,Park West Culinary Water,Park West Water Company,NP,509,1195,UTAH11009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1195, , ,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0382063015058272,9.06187841089281e-05
4,Fifetown Water System,Central Iron County Water Conservancy District,Fifetown Water System,NP,559,11047,UTAH11065,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0296285866646161,5.42192171309028e-05
5,Eagle Valley Ranch,Eagle Valley Ranch,Eagle Valley Ranch,NP,551,11047,UTAH11056,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0648609262598211,0.000127021573832758
6,Angus Water Co.,Central Iron County Water Conservancy District,Angus Water Company.,NP,542,11047,UTAH11047,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0510160913432531,9.6946155685771e-05
7,Caineville SSD, ,Caineville Special Service District,NC,1625,0,UTAH28028,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wayne,West Colorado River,08-03-07,Torrey,08-03-07a,Torrey,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.055527882625123,0.000114606773207865
8,Sunset Park Water Co.,Sunset Park Water Company,Sunset Park Water Co.,C,88,11292,UTAH02069,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292, , ,Utah,Box Elder,Bear River,01-01-06,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,2019/10/16 00:00:00,,0.0256108537856871,3.60653807203239e-05
9,South Price Water Co.,South Price Water Company,South Price Water Company,NP,189,1346,UTAH04009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1346, , ,Utah,Carbon,West Colorado River,08-01-03,Price River,08-01-03a,Price A,1996, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0758646058722477,0.000100220448273054
10,East Carbonville Water Co.,East Carbon City,East Carbonville Water Co,NP,193,1015,UTAH04013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1015, , ,Utah,Carbon,West Colorado River,08-01-03,Price River,08-01-03a,Price A,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0330461705960974,4.40919660334113e-05
11,Carbonville Water Co.,Carbonville Water Company,Carbonville Water Co.,NP,2498,1345,UTAH04002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1345, , ,Utah,Carbon,West Colorado River,08-01-03,Price River,08-01-03a,Price A,1996, ,,ADAMCLARK,2017/05/31 00:00:00,,0.0530694835073348,0.000160929018408245
12,Scofield Town,Scofield Town,Scofield Town,NC,188,1372,UTAH04008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1372, , ,Utah,Carbon,West Colorado River,08-01-01,Scofield,08-01-01a,Scofield,1996,DWRe/DWRi/Supplier,2020/04/14 00:00:00,ADAMCLARK,2020/04/15 00:00:00,,0.0596703232853123,8.30633743568543e-05
13,Valley Park Trailer Court, , , ,2306,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Duchesne,Uintah,07-03-13,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,1995, ,,ADAMCLARK,2017/05/03 00:00:00,,0.00773123121653143,3.1764097329226e-06
14,Timberline SSD,Timberline Special Service District,Timberline SSD,NP,1099,1398,UTAH22031,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1398, , ,Utah,Summit,Weber River,02-01-06,East Canyon,02-01-06a,East Canyon,2001, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0399520748670349,8.84659463879708e-05
15,South Littleton Water Co., ,South Littleton,NP,714,0,UTAH15006,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,1992, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0174951130557318,9.91622083872133e-06
16,West Enterprise Water Association, ,West Enterprise Water Association,NP,717,0,UTAH15009,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,02-01-07,Morgan,02-01-07a,Morgan,2005, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0304112210601443,4.31254119179806e-05
17,Upton Water Works, ,Upton Waterworks,NP,1141,0,UTAH22085,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,02-01-03,Chalk Creek,02-01-03a,Chalk Creek,1992, ,,ADAMCLARK,2017/06/01 00:00:00,,0.0469313891294093,0.000135152382401818
