SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTss_S1,,UTss_WS1,,Centroid of Area,,4326,,,,,37.23719738,-113.3470612,,,POU,Leeds Domestic Water Users Assoc.,1000.0,,Unspecified,UT,
UTss_S2,,UTss_WS1,,Centroid of Area,,4326,,,,,41.17320027,-112.0021548,,,POU,Riverdale City Water System,1001.0,,Unspecified,UT,
UTss_S3,,UTss_WS1,,Centroid of Area,,4326,,,,,38.60559451,-112.12519669999999,,,POU,South Monroe Culinary Water Co.,1002.0,,Unspecified,UT,
UTss_S4,,UTss_WS1,,Centroid of Area,,4326,,,,,38.96314891,-112.33976070000001,,,POU,Fillmore Municipal Water System,1003.0,,Unspecified,UT,
UTss_S5,,UTss_WS1,,Centroid of Area,,4326,,,,,40.17292255,-110.3946228,,,POU,Duchesne Water System,1004.0,,Unspecified,UT,
UTss_S6,,UTss_WS1,,Centroid of Area,,4326,,,,,40.85535543,-111.8910453,,,POU,South Davis Water District,1005.0,,Unspecified,UT,
UTss_S7,,UTss_WS1,,Centroid of Area,,4326,,,,,40.72655952,-114.0244476,,,POU,Wendover City Water System,1006.0,,Unspecified,UT,
UTss_S8,,UTss_WS1,,Centroid of Area,,4326,,,,,37.75973148,-113.0421996,,,POU,Enoch City Water System,1007.0,,Unspecified,UT,
UTss_S9,,UTss_WS1,,Centroid of Area,,4326,,,,,41.97263699,-112.7152366,,,POU,Snowville Town,1008.0,,Unspecified,UT,
UTss_S10,,UTss_WS1,,Centroid of Area,,4326,,,,,40.65040951,-111.89566909999999,,,POU,Murray City Water System,1009.0,,Unspecified,UT,
UTss_S11,,UTss_WS1,,Centroid of Area,,4326,,,,,40.2458709,-111.64577209999999,,,POU,Provo City,1010.0,,Unspecified,UT,
UTss_S12,,UTss_WS1,,Centroid of Area,,4326,,,,,41.04807404,-111.672707,,,POU,South Robinson Spring Water Users,1011.0,,Unspecified,UT,
UTss_S13,,UTss_WS1,,Centroid of Area,,4326,,,,,37.68869528,-113.12703619999999,,,POU,Monte Vista Community Water Co.,1012.0,,Unspecified,UT,
UTss_S15,,UTss_WS1,,Centroid of Area,,4326,,,,,41.05813915,-111.9206176,,,POU,Mutton Hollow ID,1014.0,,Unspecified,UT,
UTss_S16,,UTss_WS1,,Centroid of Area,,4326,,,,,39.62002151,-110.8323806,,,POU,East Carbonville Water Co.,1015.0,,Unspecified,UT,
UTss_S17,,UTss_WS1,,Centroid of Area,,4326,,,,,39.54082178,-110.40816809999998,,,POU,East Carbon City,1015.0,,Unspecified,UT,
UTss_S18,,UTss_WS1,,Centroid of Area,,4326,,,,,38.23570507,-112.22386680000001,,,POU,Junction Town,1016.0,,Unspecified,UT,
UTss_S19,,UTss_WS1,,Centroid of Area,,4326,,,,,40.64629561,-112.027804,,,POU,Kearns Improvement District,1017.0,,Unspecified,UT,
UTss_S20,,UTss_WS1,,Centroid of Area,,4326,,,,,41.22822725,-111.9657485,,,POU,Ogden City Water System,1018.0,,Unspecified,UT,
UTss_S21,,UTss_WS1,,Centroid of Area,,4326,,,,,40.58384557,-111.23723100000001,,,POU,Woodland Mutual Water Co.,1019.0,,Unspecified,UT,
UTss_S22,,UTss_WS1,,Centroid of Area,,4326,,,,,38.35952084,-112.6398621,,,POU,Manderfield Culinary Water System,1020.0,,Unspecified,UT,
UTss_S23,,UTss_WS1,,Centroid of Area,,4326,,,,,40.15290294,-110.0725217,,,POU,Johnson Water District,1021.0,,Unspecified,UT,
UTss_S24,,UTss_WS1,,Centroid of Area,,4326,,,,,38.43450624,-111.92282009999998,,,POU,Greenwich Water Assoc.,1022.0,,Unspecified,UT,
UTss_S25,,UTss_WS1,,Centroid of Area,,4326,,,,,41.67253475,-111.8456489,,,POU,Nibley City Water,1023.0,,Unspecified,UT,
UTss_S26,,UTss_WS1,,Centroid of Area,,4326,,,,,39.53120655,-112.2855156,,,POU,Leamington Town Water System,1024.0,,Unspecified,UT,
UTss_S27,,UTss_WS1,,Centroid of Area,,4326,,,,,37.25396707,-112.6574014,,,POU,Orderville Town Water System,1025.0,,Unspecified,UT,
UTss_S28,,UTss_WS1,,Centroid of Area,,4326,,,,,39.13780055,-111.0951684,,,POU,Castle Valley SSD - Clawson Water System,1026.0,,Unspecified,UT,
UTss_S29,,UTss_WS1,,Centroid of Area,,4326,,,,,40.98460669,-111.90660520000002,,,POU,Farmington City Water System,1027.0,,Unspecified,UT,
UTss_S30,,UTss_WS1,,Centroid of Area,,4326,,,,,37.231534100000005,-113.250561,,,POU,La Verkin City Water System,1028.0,,Unspecified,UT,
UTss_S31,,UTss_WS1,,Centroid of Area,,4326,,,,,40.03027632,-111.5569994,,,POU,Covered Bridge Canyon HOA,1029.0,,Unspecified,UT,
UTss_S32,,UTss_WS1,,Centroid of Area,,4326,,,,,37.57253266,-113.74460649999999,,,POU,Enterprise Town Water System,1031.0,,Unspecified,UT,
UTss_S33,,UTss_WS1,,Centroid of Area,,4326,,,,,41.02743783,-111.90824109999998,,,POU,Fruit Heights City Water System,1032.0,,Unspecified,UT,
UTss_S34,,UTss_WS1,,Centroid of Area,,4326,,,,,41.32618179,-111.99716570000001,,,POU,Pleasant View Culinary Water,1033.0,,Unspecified,UT,
UTss_S35,,UTss_WS1,,Centroid of Area,,4326,,,,,38.44772572,-111.6125894,,,POU,Fremont Waterworks Co.,1034.0,,Unspecified,UT,
UTss_S36,,UTss_WS1,,Centroid of Area,,4326,,,,,40.05418707,-111.67088100000001,,,POU,Salem City,1035.0,,Unspecified,UT,
UTss_S37,,UTss_WS1,,Centroid of Area,,4326,,,,,39.92869089,-112.1507872,,,POU,Eureka Town,1036.0,,Unspecified,UT,
UTss_S38,,UTss_WS1,,Centroid of Area,,4326,,,,,41.72174257,-111.81550859999999,,,POU,River Heights City,1037.0,,Unspecified,UT,
UTss_S39,,UTss_WS1,,Centroid of Area,,4326,,,,,41.54989484,-112.16483819999999,,,POU,West Corinne Water Co.,1038.0,,Unspecified,UT,
UTss_S40,,UTss_WS1,,Centroid of Area,,4326,,,,,39.34771883,-110.88842890000001,,,POU,North Emery SSD,1039.0,,Unspecified,UT,
UTss_S41,,UTss_WS1,,Centroid of Area,,4326,,,,,40.45169075,-109.5380111,,,POU,Vernal City Water System,1040.0,,Unspecified,UT,
UTss_S42,,UTss_WS1,,Centroid of Area,,4326,,,,,41.13920359,-112.02846740000001,,,POU,Sunset City Water System,1041.0,,Unspecified,UT,
UTss_S43,,UTss_WS1,,Centroid of Area,,4326,,,,,41.39580683,-111.67664270000002,,,POU,Sunridge Subdivision Water,1042.0,,Unspecified,UT,
UTss_S44,,UTss_WS1,,Centroid of Area,,4326,,,,,38.53086192,-109.48736470000001,,,POU,Grand Water and Sewer Agency (Grand),1046.0,,Unspecified,UT,
UTss_S45,,UTss_WS1,,Centroid of Area,,4326,,,,,38.48573241,-109.44174140000001,,,POU,Grand Water and Sewer Agency (San Juan),1046.0,,Unspecified,UT,
UTss_S46,,UTss_WS1,,Centroid of Area,,4326,,,,,37.22507794,-112.96996029999998,,,POU,Zion Canyon Water System,1047.0,,Unspecified,UT,
UTss_S47,,UTss_WS1,,Centroid of Area,,4326,,,,,39.55620578,-111.8605699,,,POU,Levan Town Water System,1048.0,,Unspecified,UT,
UTss_S48,,UTss_WS1,,Centroid of Area,,4326,,,,,40.44525529999999,-112.36192709999999,,,POU,Stockton Town Water System,1049.0,,Unspecified,UT,
UTss_S49,,UTss_WS1,,Centroid of Area,,4326,,,,,40.49149154,-112.0282196,,,POU,Herriman Pipeline Co.,1050.0,,Unspecified,UT,
UTss_S50,,UTss_WS1,,Centroid of Area,,4326,,,,,40.48911902,-112.01560159999998,,,POU,Herriman City Municipal Water Department,1050.0,,Unspecified,UT,
UTss_S51,,UTss_WS1,,Centroid of Area,,4326,,,,,41.6319682,-111.8439683,,,POU,Hyrum City,1051.0,,Unspecified,UT,
UTss_S52,,UTss_WS1,,Centroid of Area,,4326,,,,,37.82334981,-112.4359969,,,POU,Panguitch City Water System,1052.0,,Unspecified,UT,
UTss_S53,,UTss_WS1,,Centroid of Area,,4326,,,,,40.34148381,-111.7183732,,,POU,Lindon City,1054.0,,Unspecified,UT,
UTss_S54,,UTss_WS1,,Centroid of Area,,4326,,,,,40.30768156,-110.02067609999999,,,POU,Roosevelt City Water System,1055.0,,Unspecified,UT,
UTss_S55,,UTss_WS1,,Centroid of Area,,4326,,,,,38.83557795,-111.97080090000001,,,POU,Sigurd Town Water System,1056.0,,Unspecified,UT,
UTss_S56,,UTss_WS1,,Centroid of Area,,4326,,,,,40.80947761,-111.4075138,,,POU,Wanship Mutual Water Co.,1057.0,,Unspecified,UT,
UTss_S57,,UTss_WS1,,Centroid of Area,,4326,,,,,38.56898974,-111.86566850000001,,,POU,Burrville Culinary Water,1058.0,,Unspecified,UT,
UTss_S58,,UTss_WS1,,Centroid of Area,,4326,,,,,40.89842054,-111.9074795,,,POU,West Bountiful City Water System,1059.0,,Unspecified,UT,
UTss_S59,,UTss_WS1,,Centroid of Area,,4326,,,,,40.87353329,-111.8629835,,,POU,Bountiful City Water System,1060.0,,Unspecified,UT,
UTss_S60,,UTss_WS1,,Centroid of Area,,4326,,,,,40.3874549,-111.42071999999999,,,POU,Wallsburg Town Water System,1061.0,,Unspecified,UT,
UTss_S61,,UTss_WS1,,Centroid of Area,,4326,,,,,37.56389767,-112.00188370000001,,,POU,Henrieville Town Water System,1062.0,,Unspecified,UT,
UTss_S62,,UTss_WS1,,Centroid of Area,,4326,,,,,38.70840495,-112.05927290000001,,,POU,Annabella Town Water System,1063.0,,Unspecified,UT,
UTss_S63,,UTss_WS1,,Centroid of Area,,4326,,,,,39.09914291,-112.2702723,,,POU,Holden Town Water System,1064.0,,Unspecified,UT,
UTss_S64,,UTss_WS1,,Centroid of Area,,4326,,,,,41.1713205,-112.04780020000001,,,POU,Roy City Water System,1065.0,,Unspecified,UT,
UTss_S65,,UTss_WS1,,Centroid of Area,,4326,,,,,41.95768374,-111.79041310000001,,,POU,High Creek Water Co.,1066.0,,Unspecified,UT,
UTss_S66,,UTss_WS1,,Centroid of Area,,4326,,,,,41.17467915,-112.1085347,,,POU,Hooper WID,1067.0,,Unspecified,UT,
UTss_S67,,UTss_WS1,,Centroid of Area,,4326,,,,,41.12843895,-112.1187965,,,POU,"Hooper WID (West Point, Davis Co.)",1067.0,,Unspecified,UT,
UTss_S68,,UTss_WS1,,Centroid of Area,,4326,,,,,38.40464998,-111.64562509999999,,,POU,Loa Town Water System,1068.0,,Unspecified,UT,
UTss_S69,,UTss_WS1,,Centroid of Area,,4326,,,,,41.85657119,-111.89734879999999,,,POU,Amalga Town Culinary Water System,1069.0,,Unspecified,UT,
UTss_S70,,UTss_WS1,,Centroid of Area,,4326,,,,,39.54106226,-111.4479635,,,POU,Mt. Pleasant City,1070.0,,Unspecified,UT,
UTss_S71,,UTss_WS1,,Centroid of Area,,4326,,,,,41.14176828,-111.8241288,,,POU,Monte Verde,1071.0,,Unspecified,UT,
UTss_S72,,UTss_WS1,,Centroid of Area,,4326,,,,,37.33424797,-112.60350700000001,,,POU,Glendale Town Water System,1073.0,,Unspecified,UT,
UTss_S73,,UTss_WS1,,Centroid of Area,,4326,,,,,37.147656,-113.0546793,,,POU,Rockville Pipeline Co.,1074.0,,Unspecified,UT,
UTss_S74,,UTss_WS1,,Centroid of Area,,4326,,,,,37.62282539,-109.47854369999999,,,POU,Blanding City,1075.0,,Unspecified,UT,
UTss_S75,,UTss_WS1,,Centroid of Area,,4326,,,,,40.01176554,-111.8464182,,,POU,Genola City,1076.0,,Unspecified,UT,
UTss_S76,,UTss_WS1,,Centroid of Area,,4326,,,,,40.62130494,-112.49230630000001,,,POU,Grantsville City,1077.0,,Unspecified,UT,
UTss_S77,,UTss_WS1,,Centroid of Area,,4326,,,,,41.34756749,-111.87335060000001,,,POU,Liberty Pipeline Co.,1078.0,,Unspecified,UT,
UTss_S78,,UTss_WS1,,Centroid of Area,,4326,,,,,41.1423495,-111.9336933,,,POU,Uintah Town Water System,1079.0,,Unspecified,UT,
UTss_S79,,UTss_WS1,,Centroid of Area,,4326,,,,,41.63585178,-112.08534109999998,,,POU,Honeyville Town Water System,1080.0,,Unspecified,UT,
UTss_S80,,UTss_WS1,,Centroid of Area,,4326,,,,,41.9615335,-111.8795761,,,POU,Lewiston City,1081.0,,Unspecified,UT,
UTss_S81,,UTss_WS1,,Centroid of Area,,4326,,,,,41.07800902,-112.0732968,,,POU,Syracuse City Water System,1082.0,,Unspecified,UT,
UTss_S82,,UTss_WS1,,Centroid of Area,,4326,,,,,39.11851807,-111.7078429,,,POU,Mayfield Town Water System,1083.0,,Unspecified,UT,
UTss_S83,,UTss_WS1,,Centroid of Area,,4326,,,,,40.54601219,-111.83974779999998,,,POU,Sandy City Water System,1084.0,,Unspecified,UT,
UTss_S84,,UTss_WS1,,Centroid of Area,,4326,,,,,37.48033133,-113.30970690000001,,,POU,New Harmony Water System,1085.0,,Unspecified,UT,
UTss_S85,,UTss_WS1,,Centroid of Area,,4326,,,,,38.98422467,-110.09707240000002,,,POU,Green River City,1087.0,,Unspecified,UT,
UTss_S86,,UTss_WS1,,Centroid of Area,,4326,,,,,41.14585219,-111.76848400000002,,,POU,Cottonwood Mutual,1088.0,,Unspecified,UT,
UTss_S87,,UTss_WS1,,Centroid of Area,,4326,,,,,38.68070326,-112.1482409,,,POU,Elsinore Town Water System,1089.0,,Unspecified,UT,
UTss_S88,,UTss_WS1,,Centroid of Area,,4326,,,,,40.9264937,-111.8813991,,,POU,Centerville City Water System,1090.0,,Unspecified,UT,
UTss_S89,,UTss_WS1,,Centroid of Area,,4326,,,,,38.30080498,-111.54812949999999,,,POU,Bicknell Town Water System,1091.0,,Unspecified,UT,
UTss_S90,,UTss_WS1,,Centroid of Area,,4326,,,,,41.07685516,-111.9623983,,,POU,Layton City Water System,1092.0,,Unspecified,UT,
UTss_S91,,UTss_WS1,,Centroid of Area,,4326,,,,,40.61445377,-111.89562759999998,,,POU,Midvale City Water System,1093.0,,Unspecified,UT,
UTss_S92,,UTss_WS1,,Centroid of Area,,4326,,,,,38.88767313,-112.40648229999998,,,POU,Meadow Town Water System,1094.0,,Unspecified,UT,
UTss_S93,,UTss_WS1,,Centroid of Area,,4326,,,,,41.93851988,-111.408942,,,POU,Garden City,1095.0,,Unspecified,UT,
UTss_S94,,UTss_WS1,,Centroid of Area,,4326,,,,,40.34125162,-112.1090408,,,POU,Cedar Fort Water System,1096.0,,Unspecified,UT,
