SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTss_S1,,UTss_WS1,,Representation Node,Washington,4326,,,,,37.30907717,-113.4294115,,,POD,Oak Grove Spring (WS001),10000001,,Spring,UT,
UTss_S2,,UTss_WS2,,Representation Node,Washington,4326,,,,,37.26701434,-113.36306019999999,,,POD,Leeds Well (WS002),10000002,,Well,UT,
UTss_S3,,UTss_WS2,,Representation Node,Washington,4326,,,,,37.26580872,-113.35159340000001,,,POD,"El Dorado Hills Well (8 in, 335 ft deep)",108540479,,Well,UT,
UTss_S4,,UTss_WS3,,Centroid of Area,Washington,4326,,,,,37.23719738,-113.3470612,,,POU,Leeds Domestic Water Users Assoc.,1000,,Unspecified,UT,
UTss_S5,,UTss_WS2,,Representation Node,Weber,4326,,,,,41.16995949,-112.0056344,,,POD,5190S 1050W #1 Well (WS003),10010001,,Well,UT,
UTss_S6,,UTss_WS2,,Representation Node,Weber,4326,,,,,41.16461496,-112.0052749,,,POD,Golf Well (6`),10010002,,Well,UT,
UTss_S7,,UTss_WS2,,Representation Node,Weber,4326,,,,,41.16574758,-112.0187114,,,POD,Well No. 2 (Roy Well),10010004,,Well,UT,
UTss_S8,,UTss_WS3,,Centroid of Area,Weber,4326,,,,,41.17320027,-112.0021548,,,POU,Riverdale City Water System,1001,,Unspecified,UT,
UTss_S9,,UTss_WS2,,Representation Node,Sevier,4326,,,,,38.62130748,-112.1210713,,,POD,Monroe Well,10020001,,Well,UT,
UTss_S10,,UTss_WS3,,Centroid of Area,Sevier,4326,,,,,38.60559451,-112.12519669999999,,,POU,South Monroe Culinary Water Co.,1002,,Unspecified,UT,
UTss_S11,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.96438539,-112.38104059999999,,,POD,FC Well #2 (16`)  402` (WS003),10030001,,Well,UT,
UTss_S12,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.96435631,-112.37931979999999,,,POD,"FC Well #3 (16`) 410` #2, #3 (WS004)",10030002,,Well,UT,
UTss_S13,,UTss_WS1,,Representation Node,Millard,4326,,,,,38.94520566,-112.25721180000001,,,POD,Watercress Spring (WS001),10030003,,Spring,UT,
UTss_S14,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.96427602,-112.35403000000001,,,POD,Well (16`) FC Airport #1,10030004,,Well,UT,
UTss_S15,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.98687523,-112.429023,,,POD,"Well #1 (16 inch, 385` deep)",108542788,,Well,UT,
UTss_S16,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.9804505,-112.42885509999999,,,POD,"Well #2 (6 inch, 281` deep)",108542789,,Well,UT,
UTss_S17,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.96444685,-112.4102166,,,POD,"Well #3 (16 inches, 510` deep)",108542790,,Well,UT,
UTss_S18,,UTss_WS2,,Representation Node,Millard,4326,,,,,38.95120037,-112.43875,,,POD,"Well #4 (16 inches, 357` deep)",108542791,,Well,UT,
