SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
UTss_S22,,UTss_WS2,,Representation Node,Duchesne,4326,,,,,0.0,0.0,,,POD,"Backup Wells - 2 (12"")",10040002,,Well,UT,,Bad Latitude,21.0
UTss_S23,,UTss_WS2,,Representation Node,Duchesne,4326,,,,,0.0,0.0,,,POD,"Backup Wells - 3 (12"")",10040003,,Well,UT,,Bad Latitude,22.0
UTss_S24,,UTss_WS2,,Representation Node,Duchesne,4326,,,,,0.0,0.0,,,POD,"Backup Well (12"")",10040004,,Well,UT,,Bad Latitude,23.0
UTss_S25,,UTss_WS2,,Representation Node,Duchesne,4326,,,,,0.0,0.0,,,POD,"Backup Well (6"")",10040005,,Well,UT,,Bad Latitude,24.0
UTss_S26,,UTss_WS2,,Representation Node,Duchesne,4326,,,,,0.0,0.0,,,POD,"Backup Wells - 2 (12"")",10040006,,Well,UT,,Bad Latitude,25.0
UTss_S31,,UTss_WS1,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,"Dago, Copper, Odell Spgs (Culinary)",10050001,,Spring,UT,,Bad Latitude,30.0
UTss_S32,,UTss_WS1,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,Enoch Spring (Culinary) (WS004),10050002,,Spring,UT,,Bad Latitude,31.0
UTss_S38,,UTss_WS2,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,Salisbury Well No. 1,10050009,,Well,UT,,Bad Latitude,37.0
UTss_S39,,UTss_WS1,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,Elk Springs,10050020,,Spring,UT,,Bad Latitude,38.0
UTss_S40,,UTss_WS2,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,Irfred Park Well,10050022,,Well,UT,,Bad Latitude,39.0
UTss_S42,,UTss_WS2,,Representation Node,Davis,4326,,,,,0.0,0.0,,,POD,Val Verda Tunnel,10050024,,Tunnel,UT,,Bad Latitude,41.0
UTss_S47,,UTss_WS1,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,W Wendover Nevada-Johnson Spring (WS004),10060001,,Spring,UT,,Bad Latitude,46.0
UTss_S48,,UTss_WS1,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,Cedar Spring Creek Intake (WS007),10060002,,Spring,UT,,Bad Latitude,47.0
UTss_S49,,UTss_WS1,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,Little Cedar Spring,10060003,,Spring,UT,,Bad Latitude,48.0
UTss_S52,,UTss_WS1,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,Morrison Spring Pilot,10060007,,Spring,UT,,Bad Latitude,51.0
UTss_S53,,UTss_WS2,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,Silverzone Well,10060008,,Well,UT,,Bad Latitude,52.0
UTss_S55,,UTss_WS1,,Representation Node,Tooele,4326,,,,,0.0,0.0,,,POD,Miners Canyon Springs (WS001),10060010,,Spring,UT,,Bad Latitude,54.0
UTss_S60,,UTss_WS2,,Representation Node,Iron,4326,,,,,0.0,0.0,,,POD,Well,10070004,,Well,UT,,Bad Latitude,59.0
UTss_S61,,UTss_WS2,,Representation Node,Iron,4326,,,,,0.0,0.0,,,POD,"Well (12"")",10070005,,Well,UT,,Bad Latitude,60.0
