FID_1,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,SHAPE_Leng,Shape__Are,Shape__Len,Shape_Length,Shape_Area,Longitude,Latitude
1,Irontown,Irontown,Irontown,C,564,11358,UTAH11070,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358, , ,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,06-03-01a,Escalante Desert,2019,DWRe/Supplier,5/21/2019 0:00,ADAMCLARK,10/19/2020 0:00,5567.248025,656517.818,5567.248025,5567.248025,656517.8179,-113.4460303,37.60258267
2,Mountain View SSD,Mountain View Special Service District,Mt. View Spec. Serv. Dist,C,533,11169,UTAH11037,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,2818.216577,467752.9843,2818.216577,2818.216577,467752.9844,-113.1894933,37.69888132
3,Park West Water Co.,Park West Culinary Water,Park West Water Company,NP,509,1195,UTAH11009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1195, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,3769.215614,886913.4099,3769.215614,3769.215614,886913.41,-113.1479843,37.71319738
4,Fifetown Water System,Central Iron County Water Conservancy District,Fifetown Water System,NP,559,11047,UTAH11065,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,2986.439696,530449.92,2986.439696,2986.439696,530449.92,-113.1004364,37.73981186
5,Eagle Valley Ranch,Eagle Valley Ranch,Eagle Valley Ranch,NP,551,11047,UTAH11056,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,6569.171198,1242067.9,6569.171198,6569.171198,1242067.9,-113.0853287,37.77760188
6,Angus Water Co.,Central Iron County Water Conservancy District,Angus Water Company.,NP,542,11047,UTAH11047,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,5216.610751,947940.2198,5216.610751,5216.610751,947940.22,-113.096231,37.78076349
7,Caineville SSD, ,Caineville Special Service District,NC,1625,0,UTAH28028,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,5288.678711,1111358.275,5288.678711,5288.678711,1111358.275,-111.0094877,38.33663277
8,Sunset Park Water Co.,Sunset Park Water Company,Sunset Park Water Co.,C,88,11292,UTAH02069,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292, , ,Utah,Box Elder,Bear River,1/1/2006,Tremonton,01-01-06a,Tremonton,2019, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,2449.835459,333398.8398,2449.835459,2449.835459,333398.84,-112.3021359,41.67280001
9,South Price Water Co.,South Price Water Company,South Price Water Company,NP,189,1346,UTAH04009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1346, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,7881.911022,955309.4104,7881.911022,7881.911022,955309.41,-110.8162213,39.57382508
10,East Carbonville Water Co.,East Carbon City,East Carbonville Water Co,NP,193,1015,UTAH04013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1015, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,3070.643891,420011.8752,3070.643891,3070.643891,420011.875,-110.8323806,39.62002151
11,Carbonville Water Co.,Carbonville Water Company,Carbonville Water Co.,NP,2498,1345,UTAH04002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1345, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996, ,1/1/1970 0:00,ADAMCLARK,5/31/2017 0:00,5163.699134,1532774.339,5163.699134,5163.699134,1532774.34,-110.8439956,39.62962186
12,Scofield Town,Scofield Town,Scofield Town,NC,188,1372,UTAH04008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1372, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,1996,DWRe/DWRi/Supplier,4/14/2020 0:00,ADAMCLARK,4/15/2020 0:00,5773.865308,790052.4302,5773.865308,5773.865308,790052.4302,-111.1589496,39.72642356
13,Valley Park Trailer Court, , , ,2306,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,1995, ,1/1/1970 0:00,ADAMCLARK,5/3/2017 0:00,796.3034844,29963.47534,796.3034844,796.3034844,29963.475,-110.0490796,40.31007387
14,Timberline SSD,Timberline Special Service District,Timberline SSD,NP,1099,1398,UTAH22031,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1398, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2001, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,3802.657056,829099.4135,3802.657056,3802.657056,829099.4134,-111.6015293,40.74602698
15,South Littleton Water Co., ,South Littleton,NP,714,0,UTAH15006,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,1992, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,1656.256348,92529.19006,1656.256348,1656.256348,92529.19,-111.7208112,41.04134691
16,West Enterprise Water Association, ,West Enterprise Water Association,NP,717,0,UTAH15009,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,2005, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,2822.355594,401991.4834,2822.355594,2822.355594,401991.4832,-111.750014,41.11148152
17,Upton Water Works, ,Upton Waterworks,NP,1141,0,UTAH22085,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,2/1/2003,Chalk Creek,02-01-03a,Chalk Creek,1992, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,4494.36,1262444.94,4494.36,4494.36,1262444.94,-111.2336881,40.96595499
18,Willow Creek Subdivision, ,Willow Creek Subdivision,NP,1698,0,UTAH29081,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,1992, ,1/1/1970 0:00,ADAMCLARK,6/1/2017 0:00,3328.091001,432860.2762,3328.091001,3328.091001,432860.2761,-111.8704453,41.35617397
19,Questar Pipeline Co. (Coalville),Questar Pipeline Co. - (Coalville),Questar Pipeline Company,C,1904,1904, ,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1904, , ,Utah,Summit,Weber River,2/1/2003,Chalk Creek,02-01-03a,Chalk Creek,1992, ,1/1/1970 0:00,ADAMCLARK,10/19/2020 0:00,394.1348242,9706.589111,394.1348242,394.1348242,9706.58905,-111.3320201,40.91744782
