Source ID,Source Name,Year,Source Status,System Name,System ID,Lat NAD83,Lon NAD83,Source Type,Diversion Type,Use Type,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
10000001,Oak Grove Spring (WS001),,Active,Leeds Domestic Water Users Association,1000,37.30907717,-113.4294115,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10000002,Leeds Well (WS002),,Active,Leeds Domestic Water Users Association,1000,37.26701434,-113.3630602,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
108540479,"El Dorado Hills Well (8 in, 335 ft deep)",,Inactive,Leeds Domestic Water Users Association,1000,37.26580872,-113.3515934,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10010001,5190S 1050W #1 Well (WS003),,Active,Riverdale City,1001,41.16995949,-112.0056344,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10010002,Golf Well (6`),,Inactive,Riverdale City,1001,41.16461496,-112.0052749,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10010004,Well No. 2 (Roy Well),,Inactive,Riverdale City,1001,41.16574758,-112.0187114,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10020001,Monroe Well,,Inactive,South Monroe Culinary Water,1002,38.62130748,-112.1210713,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10030001,FC Well #2 (16`)  402` (WS003),,Active,Fillmore Municipal Water System,1003,38.96438539,-112.3810406,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10030002,"FC Well #3 (16`) 410` #2, #3 (WS004)",,Active,Fillmore Municipal Water System,1003,38.96435631,-112.3793198,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10030003,Watercress Spring (WS001),,Active,Fillmore Municipal Water System,1003,38.94520566,-112.2572118,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,
10030004,Well (16`) FC Airport #1,,Inactive,Fillmore Municipal Water System,1003,38.96427602,-112.35403,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,
