System ID,System Name,System Type,System Status,History Year,Date Received,County,Use Cooling Percent,Use Process Percent,Use Domestic Percent,Use Miscellaneous Percent,Irrigation (Lawn and Garden) Percent,Acres Irrigated,Irrigation (Agriculture),Acres Irrigated,DEQ ID,Population,Domestic Use,Commercial Use,Industrial Use,Institutional Use,Total Use,Domestic Connections,Commercial Connections,Industrial Connections,Institutional Connections,Total Connections,Peak Date,Peak Demand,Peak Demand Units,Peak Use Include,Peak Measurement Type,Peak Wholesale Volume,Peak Wholesale Volume Units,Sec Domestic Percent,Sec Industrial Percent,Sec Commercial Percent,Sec Institutional Percent,Sec Agriculture Percent
1000,Leeds Domestic Water Users Association,Public,Active,1960,12/31/1960,Washington,,,,,,,,,27010,0,0,0,0,,18301270.92,0,0,0,,52,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1962,12/31/1962,Washington,,,,,,,,,27010,0,0,0,0,,16009111.74,0,0,0,,54,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1963,12/31/1963,Washington,,,,,,,,,27010,0,0,0,0,,17778234.6,0,0,0,,52,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1964,12/31/1964,Washington,,,,,,,,,27010,0,0,0,0,,18543287.73,0,0,0,,55,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1965,12/31/1965,Washington,,,,,,,,,27010,0,0,0,0,,20089395.1,0,0,0,,57,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1966,12/31/1966,Washington,,,,,,,,,27010,0,0,0,0,,18826307.38,0,0,0,,59,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1967,12/31/1967,Washington,,,,,,,,,27010,0,0,0,0,,18708299.19,0,0,0,,52,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1968,12/31/1968,Washington,,,,,,,,,27010,0,0,0,0,,18751302.17,0,0,0,,60,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1969,12/31/1969,Washington,,,,,,,,,27010,0,0,0,0,,20275408.01,0,0,0,,62,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1971,12/31/1971,Washington,,,,,,,,,27010,0,0,0,0,,21972525.87,0,0,0,,72,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1972,12/31/1972,Washington,,,,,,,,,27010,0,0,0,0,,23966664.35,0,0,0,,82,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1973,12/31/1973,Washington,,,,,,,,,27010,0,0,0,0,,40802833.53,0,0,0,,85,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1976,12/31/1976,Washington,,,,,,,,,27010,0,0,0,0,,0,0,0,0,,85,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1977,12/31/1977,Washington,,,,,,,,,27010,0,0,0,0,,23675644.14,0,0,0,,94,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1978,12/31/1978,Washington,,,,,,,,,27010,0,0,0,0,,27465907.35,0,0,0,,89,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1979,3/10/1980,Washington,,,,,,,,,27010,255,0,0,0,,29024015.56,0,0,0,,101,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1980,3/9/1981,Washington,,,,,,,,,27010,269,0,0,0,,33298312.38,95,7,0,,102,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1981,1/25/1982,Washington,,,,,,,,,27010,269,0,0,0,,28814000.97,103,6,0,,109,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1982,3/24/1983,Washington,,,,,,,,,27010,218,0,0,0,,26140815.33,0,0,0,,90,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1983,2/21/1984,Washington,,,,,,,,,27010,250,0,0,0,,22713577.33,0,0,0,,99,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1984,3/13/1985,Washington,,,,,,,,,27010,0,0,0,0,,26246822.7,0,0,0,,0,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1985,2/18/1986,Washington,,,,,,,,,27010,297,54438780.47,350024.3072,0,,54788804.78,100,1,0,,101,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1986,3/24/1987,Washington,,,,,,,,,27010,280,26698854.09,335023.2655,0,,27033877.35,106,2,0,,108,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1987,4/18/1988,Washington,,,,,,,,,27010,225,26239822.21,1178081.811,0,,27417904.02,102,6,0,,108,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1988,3/1/1989,Washington,,,,,,,,,27010,0,27413903.74,1015070.491,0,,28428974.23,109,6,0,,115,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1989,3/12/1990,Washington,,,,,,,,,27010,360,28210959.09,833057.8512,0,2258156.816,31302173.76,108,5,0,,113,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1990,4/15/1991,Washington,,,,,,,,,27010,275,0,0,0,,34364386.42,104,6,0,,110,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1991,3/2/1992,Washington,,,,,,,,,27010,290,33166303.22,3851267.449,0,,37017570.66,114,6,0,,120,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1992,1/29/1993,Washington,,,,,,,,,27010,340,0,0,0,,40924842,0,0,0,,340,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1993,2/2/1994,Washington,,,,,,,,,27010,360,0,0,0,,41447878.32,0,0,0,,146,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1994,3/16/1995,Washington,,,,,,,,,27010,400,42683964.16,4242294.604,0,,46926258.77,0,0,0,,150,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1995,2/5/1996,Washington,,,,,,,,,27010,425,43767039.38,4863337.732,0,,48630377.11,0,0,0,,155,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1996,2/24/1997,Washington,,,,,,,,,27010,425,45467157.44,6061420.932,0,,60621209.81,0,0,0,,0,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1997,3/2/1998,Washington,,,,,,,,,27010,450,46613237.03,2578179.04,0,3024210.015,54915813.6,151,13,0,1,165,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1998,3/3/1999,Washington,,,,,,,,,27010,475,55003819.71,6000416.696,0,,61004236.41,0,0,0,,172,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,1999,3/1/2000,Washington,,,,,,,,,27010,480,50439502.74,4398305.438,0,3964275.297,72359024.93,161,13,0,1,175,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2000,2/20/2001,Washington,,,,,,,,,27010,380,55893881.52,5263365.511,0,3099215.223,64635488.58,171,13,0,1,185,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2001,3/5/2002,Washington,,,,,,,,,27010,380,53413901.3,9695413.293,0,3862568.234,66971882.83,176,13,0,1,190,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2002,3/7/2003,Washington,,,,,,,,,27010,617,57601383.1,8635059.657,0,1452910.897,101045717.1,223,20,0,1,244,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2003,4/12/2004,Washington,,,,,,,,,27010,617,50151090.71,3404086.395,0,2728389.471,56283566.58,224,14,0,4,242,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2004,2/8/2005,Washington,,,,,,,,,27010,617,65189687.06,4200291.687,0,3728258.907,73118237.66,226,14,0,4,244,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2005,6/2/2006,Washington,,,,,,,,,27010,700,38885000,793000,0,6000000,48678000,290,4,0,4,320,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2006,3/9/2007,Washington,,,,,,,,,27010,860,19746596.57,720000,0,0,20966596.54,0,3,0,0,43,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2007,2/28/2008,Washington,,,,,,,,,27010,876,53031110,3356240,0,0,56887350,320,5,0,0,365,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2008,1/26/2009,Washington,,,,,,,,,27010,894,51999999.77,3799999.983,0,0,56299999.75,323,16,0,0,382,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2009,1/11/2010,Washington,,,,,,,,,27010,790,50499999.78,3199999.986,0,0,54199999.76,317,14,0,0,432,,,,,,,,,,,,
1000,Leeds Domestic Water Users Association,Public,Active,2010,3/10/2011,Washington,,,,,,,,,27010,700,78999999.65,2449999.989,0,0,81449999.64,401,23,0,0,424,,,,,,,,,,,,
