WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UTSS_WS1,,,Fresh,Oak Grove Spring (WS001),10000001,groundwater/spring
UTSS_WS2,,,Fresh,Leeds Well (WS002),10000002,groundwater/well
UTSS_WS3,,,Fresh,"El Dorado Hills Well (8 in, 335 ft deep)",108540479,groundwater/well
UTSS_WS4,,,Fresh,5190S 1050W #1 Well (WS003),10010001,groundwater/well
UTSS_WS5,,,Fresh,Golf Well (6`),10010002,groundwater/well
UTSS_WS6,,,Fresh,Well No. 2 (Roy Well),10010004,groundwater/well
UTSS_WS7,,,Fresh,Monroe Well,10020001,groundwater/well
UTSS_WS8,,,Fresh,FC Well #2 (16`)  402` (WS003),10030001,groundwater/well
UTSS_WS9,,,Fresh,"FC Well #3 (16`) 410` #2, #3 (WS004)",10030002,groundwater/well
UTSS_WS10,,,Fresh,Watercress Spring (WS001),10030003,groundwater/spring
UTSS_WS11,,,Fresh,Well (16`) FC Airport #1,10030004,groundwater/well
UTSS_WS12,,,Fresh,"Well #1 (16 inch, 385` deep)",108542788,groundwater/well
UTSS_WS13,,,Fresh,"Well #2 (6 inch, 281` deep)",108542789,groundwater/well
UTSS_WS14,,,Fresh,"Well #3 (16 inches, 510` deep)",108542790,groundwater/well
UTSS_WS15,,,Fresh,Bona Vista Well (Culinary) (WS008),10050003,groundwater/well
UTSS_WS16,,,Fresh,Val Vista Well 1 (Culinary) (WS005),10050004,groundwater/well
UTSS_WS17,,,Fresh,Val Vista Well 2 (Culinary) (WS006),10050005,groundwater/well
UTSS_WS18,,,Fresh,Val Vista Well 3 (Culinary) (WS007),10050006,groundwater/well
UTSS_WS19,,,Fresh,Val Verda Well (Culinary),10050007,groundwater/well
UTSS_WS20,,,Fresh,North Canyon Well (Culinary) (WS011),10050023,groundwater/well
UTSS_WS21,,,Fresh,North Canyon Creek,108543263,Surface Water
UTSS_WS22,,,Fresh,Cottonwood Spring Creek Intake (WS008),10060005,groundwater/spring
UTSS_WS23,,,Fresh,Munsee Spring (WS002),10060004,groundwater/spring
UTSS_WS24,,,Fresh,Neilson Spring (WS003),10060009,groundwater/spring
UTSS_WS25,,,Fresh,Homestead Well (WS001),10070001,groundwater/well
UTSS_WS26,,,Fresh,Woolsey Well (WS002),10070003,groundwater/well
UTSS_WS27,,,Fresh,Anderson Well (WS004),10070002,groundwater/well
UTSS_WS28,,,Fresh,Ravine Well (WS005),10070007,groundwater/well
UTSS_WS29,,,Fresh,Iron Works Well (WS006),108540218,groundwater/well
UTSS_WS30,,,Fresh,Tank Well (WS008),108544599,groundwater/well
UTSS_WS31,,,Fresh,Well (16`),10080003,groundwater/well
UTSS_WS32,,,Fresh,North Hill Well (WS001),108541056,groundwater/well
UTSS_WS33,,,Fresh,Snowville Well #2 (WS002),108541054,groundwater/well
UTSS_WS34,,,Fresh,Power House Well (WS003),10090003,groundwater/well
UTSS_WS35,,,Fresh,6th West #2 Well (WS004),10090004,groundwater/well
