SystemID_Year_ID,System Name,System ID,Year,Source ID,Source Name,Source Status,Lat NAD83,Lon NAD83,Source Type,Diversion Type,Total
10001979,Leeds Domestic Water Users Association,1000,1979,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,89.07225
10001980,Leeds Domestic Water Users Association,1000,1980,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,102.1872
10001981,Leeds Domestic Water Users Association,1000,1981,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,88.42681
10001982,Leeds Domestic Water Users Association,1000,1982,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,80.22187
10001983,Leeds Domestic Water Users Association,1000,1983,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,69.70533
10001984,Leeds Domestic Water Users Association,1000,1984,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,80.54844
10001985,Leeds Domestic Water Users Association,1000,1985,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,168.14045
10001986,Leeds Domestic Water Users Association,1000,1986,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,82.9649
10001987,Leeds Domestic Water Users Association,1000,1987,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,84.14253
10001988,Leeds Domestic Water Users Association,1000,1988,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,87.24428
10001989,Leeds Domestic Water Users Association,1000,1989,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,108.70127
10001990,Leeds Domestic Water Users Association,1000,1990,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,105.46018
10001991,Leeds Domestic Water Users Association,1000,1991,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,113.60647
10001992,Leeds Domestic Water Users Association,1000,1992,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,125.59359
10001993,Leeds Domestic Water Users Association,1000,1993,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,127.19563
10001994,Leeds Domestic Water Users Association,1000,1994,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,145.54775
10001995,Leeds Domestic Water Users Association,1000,1995,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,149.24097
10001996,Leeds Domestic Water Users Association,1000,1996,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,186.04742
10001997,Leeds Domestic Water Users Association,1000,1997,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,159.32261
10001997,Leeds Domestic Water Users Association,1000,1997,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,9.20729
10001998,Leeds Domestic Water Users Association,1000,1998,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,170.15482
10001999,Leeds Domestic Water Users Association,1000,1999,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,204.23518
10002000,Leeds Domestic Water Users Association,1000,2000,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,194.31875
10002001,Leeds Domestic Water Users Association,1000,2001,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,0
10002001,Leeds Domestic Water Users Association,1000,2001,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,206.8409514
10002002,Leeds Domestic Water Users Association,1000,2002,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,154.9669642
10002002,Leeds Domestic Water Users Association,1000,2002,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,155.1305471
10002003,Leeds Domestic Water Users Association,1000,2003,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,156.1203307
10002003,Leeds Domestic Water Users Association,1000,2003,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,77.31667673
10002004,Leeds Domestic Water Users Association,1000,2004,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,185.169942
10002004,Leeds Domestic Water Users Association,1000,2004,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,74.87981418
10002005,Leeds Domestic Water Users Association,1000,2005,10000001,Oak Grove Spring (WS001),Active,37.30907717,-113.4294115,Spring,Withdrawal,127.3525182
10002005,Leeds Domestic Water Users Association,1000,2005,10000002,Leeds Well (WS002),Active,37.26701434,-113.3630602,Well,Withdrawal,2.289386925
