SystemID_Year_ID,System Name,System ID,System Type,System Status,History Year,Date Received,County,Use Cooling Percent,Use Process Percent,Use Domestic Percent,Use Miscellaneous Percent,Irrigation (Lawn and Garden) Percent,Acres Irrigated,Irrigation (Agriculture),Acres Irrigated,DEQ ID,Population,Domestic Use,Commercial Use,Industrial Use,Institutional Use,Total Use,Domestic Connections,Commercial Connections,Industrial Connections,Institutional Connections,Total Connections,Peak Date,Peak Demand,Peak Demand Units,Peak Use Include,Peak Measurement Type,Peak Wholesale Volume,Peak Wholesale Volume Units
10001960,Leeds Domestic Water Users Association,1000,Public,Active,1960,12/31/1960,Washington,,,,,,,,,27010,0,0,0,0,,56.16446428,0,0,0,,52,,,,,,,
10001962,Leeds Domestic Water Users Association,1000,Public,Active,1962,12/31/1962,Washington,,,,,,,,,27010,0,0,0,0,,49.13009531,0,0,0,,54,,,,,,,
10001963,Leeds Domestic Water Users Association,1000,Public,Active,1963,12/31/1963,Washington,,,,,,,,,27010,0,0,0,0,,54.55932686,0,0,0,,52,,,,,,,
10001964,Leeds Domestic Water Users Association,1000,Public,Active,1964,12/31/1964,Washington,,,,,,,,,27010,0,0,0,0,,56.90718561,0,0,0,,55,,,,,,,
10001965,Leeds Domestic Water Users Association,1000,Public,Active,1965,12/31/1965,Washington,,,,,,,,,27010,0,0,0,0,,61.65200866,0,0,0,,57,,,,,,,
10001966,Leeds Domestic Water Users Association,1000,Public,Active,1966,12/31/1966,Washington,,,,,,,,,27010,0,0,0,0,,57.7757399,0,0,0,,59,,,,,,,
10001967,Leeds Domestic Water Users Association,1000,Public,Active,1967,12/31/1967,Washington,,,,,,,,,27010,0,0,0,0,,57.41358652,0,0,0,,52,,,,,,,
10001968,Leeds Domestic Water Users Association,1000,Public,Active,1968,12/31/1968,Washington,,,,,,,,,27010,0,0,0,0,,57.54555767,0,0,0,,60,,,,,,,
10001969,Leeds Domestic Water Users Association,1000,Public,Active,1969,12/31/1969,Washington,,,,,,,,,27010,0,0,0,0,,62.22286059,0,0,0,,62,,,,,,,
10001971,Leeds Domestic Water Users Association,1000,Public,Active,1971,12/31/1971,Washington,,,,,,,,,27010,0,0,0,0,,67.4311172,0,0,0,,72,,,,,,,
10001972,Leeds Domestic Water Users Association,1000,Public,Active,1972,12/31/1972,Washington,,,,,,,,,27010,0,0,0,0,,73.55089544,0,0,0,,82,,,,,,,
10001973,Leeds Domestic Water Users Association,1000,Public,Active,1973,12/31/1973,Washington,,,,,,,,,27010,0,0,0,0,,125.2191335,0,0,0,,85,,,,,,,
10001976,Leeds Domestic Water Users Association,1000,Public,Active,1976,12/31/1976,Washington,,,,,,,,,27010,0,0,0,0,,0,0,0,0,,85,,,,,,,
10001977,Leeds Domestic Water Users Association,1000,Public,Active,1977,12/31/1977,Washington,,,,,,,,,27010,0,0,0,0,,72.65778838,0,0,0,,94,,,,,,,
10001978,Leeds Domestic Water Users Association,1000,Public,Active,1978,12/31/1978,Washington,,,,,,,,,27010,0,0,0,0,,84.28966377,0,0,0,,89,,,,,,,
