,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
7,Caineville SSD, ,Caineville Special Service District,NC,1625,0,UTAH28028,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.055527883,0.000114607
13,Valley Park Trailer Court, , , ,2306,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,1995, ,,ADAMCLARK,5/3/2017 0:00,,0.007731231,3.18E-06
15,South Littleton Water Co., ,South Littleton,NP,714,0,UTAH15006,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,1992, ,,ADAMCLARK,6/1/2017 0:00,,0.017495113,9.92E-06
16,West Enterprise Water Association, ,West Enterprise Water Association,NP,717,0,UTAH15009,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.030411221,4.31E-05
17,Upton Water Works, ,Upton Waterworks,NP,1141,0,UTAH22085,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,2/1/2003,Chalk Creek,02-01-03a,Chalk Creek,1992, ,,ADAMCLARK,6/1/2017 0:00,,0.046931389,0.000135152
18,Willow Creek Subdivision, ,Willow Creek Subdivision,NP,1698,0,UTAH29081,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,1992, ,,ADAMCLARK,6/1/2017 0:00,,0.035611595,4.66E-05
23,Spring Creek Water Co., ,Spring Creek Service Area,NP,1172,0,UTAH22123,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,1992, ,,ADAMCLARK,6/1/2017 0:00,,0.004352766,1.18E-06
25,McDonald Condominiums, ,McDonald Condominiums,NP,863,0,UTAH18099,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,1999, ,,ADAMCLARK,6/1/2017 0:00,,0.009145579,2.21E-06
28,Abbey of the Holy Trinity, ,Abbey Of The Holy Trinity,NP,1672,0,UTAH29039,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2005, ,,ADAMCLARK,5/31/2017 0:00,,0.015581479,1.26E-05
30,Durfee Creek Subdivision, ,Durfee Creek Subdivision,NP,1716,0,UTAH29100,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.046362013,8.74E-05
31,Eldorado Hills Mutual Co.,Eldorado Hills Mutual Company,Eldorado Hills Mutual Co,NTNC,1581,0,UTAH27076,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.052827745,0.000167844
