System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Year_Sour,Source ID_Sour,Source Name_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,ReasonRemoved,index,TimeframeEnd,TimeframeStart
Riverdale City,1001,Public,Active,1979,3/6/1980,Weber,,,,,,,,,29015,0.0,0.0,0.0,0.0,,1260.407306,0.0,0.0,0.0,,0.0,,,,,,,,10011979,Riverdale City,1001,1979,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,17.49999,12.23986,17.80014,35.30996,61.28004,62.2999,70.61009,53.95993000000001,48.55004,26.47986,17.949920000000002,17.34991,441.32964000000004,441.32964000000004,Null Lat NAD83,66.0,1979-12-31,1979-01-01
Riverdale City,1001,Public,Active,1980,6/3/1981,Weber,,,,,,,,,29015,6000.0,0.0,0.0,0.0,,1377.1833550000001,1270.0,63.0,0.0,,1333.0,,,,,,,,10011980,Riverdale City,1001,1980,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,69.99995,69.99995,75.00012,84.99986,34.99998,65.00009,80.0,34.99998,34.99998,110.00011,72.00008000000001,75.00012,807.00022,807.00022,Null Lat NAD83,68.0,1980-12-31,1980-01-01
Riverdale City,1001,Public,Active,1981,12/31/1981,Weber,,,,,,,,,29015,6000.0,0.0,0.0,0.0,,1453.999769,1270.0,63.0,0.0,,1333.0,,,,,,,,10011981,Riverdale City,1001,1981,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,0.0,0.0,0.0,0.0,0.0,0.0,36.30005,160.0,161.99921,104.00001999999999,65.00009,59.999919999999996,587.29929,587.29929,Null Lat NAD83,71.0,1981-12-31,1981-01-01
Riverdale City,1001,Public,Active,1982,3/8/1983,Weber,,,,,,,,,29015,6200.0,0.0,0.0,0.0,,1556.851328,0.0,0.0,0.0,,1350.0,,,,,,,,10011982,Riverdale City,1001,1982,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,49.74001,74.04001,76.8,62.86,59.87,37.86,23.03,53.06001,30.85,65.65001,72.62001,77.97,684.35005,684.35005,Null Lat NAD83,74.0,1982-12-31,1982-01-01
Riverdale City,1001,Public,Active,1983,1/27/1984,Weber,,,,,,,,,29015,6200.0,0.0,0.0,0.0,,1451.931198,0.0,0.0,0.0,,1371.0,,,,,,,,10011983,Riverdale City,1001,1983,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,78.26001,70.98001,72.54001,76.41,80.43001,28.37,53.41,29.18,28.45,83.76001,70.83,70.67,743.29005,743.29005,Null Lat NAD83,76.0,1983-12-31,1983-01-01
Riverdale City,1001,Public,Active,1984,1/25/1985,Weber,,,,,,,,,29015,6500.0,0.0,0.0,0.0,,1515.731574,0.0,0.0,0.0,,1389.0,,,,,,,,10011984,Riverdale City,1001,1984,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,34.84,72.18001,79.7,80.49001,80.68001,65.64,133.21002,55.55,13.83,40.24001,77.26001,80.74001,814.3600799999999,814.3600799999999,Null Lat NAD83,78.0,1984-12-31,1984-01-01
Riverdale City,1001,Public,Active,1985,1/24/1986,Weber,,,,,,,,,29015,7000.0,0.0,0.0,0.0,,1841.2644920000002,0.0,0.0,0.0,,1408.0,,,,,,,,10011985,Riverdale City,1001,1985,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,89.37001,83.78,88.29001,126.01001000000001,142.69,82.66,67.36,60.5,13.48,11.86,10.6,40.46,817.06003,817.06003,Null Lat NAD83,81.0,1985-12-31,1985-01-01
Riverdale City,1001,Public,Active,1986,2/13/1987,Weber,,,,,,,,,29015,7400.0,0.0,0.0,0.0,,1810.502939,1277.0,73.0,0.0,,1350.0,,,,,,,,10011986,Riverdale City,1001,1986,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,87.53,85.43001,94.76001,94.08,63.45,112.77,85.38,34.98,19.18,13.87,24.17,93.98001,809.58003,809.58003,Null Lat NAD83,84.0,1986-12-31,1986-01-01
Riverdale City,1001,Public,Active,1987,4/13/1988,Weber,,,,,,,,,29015,7400.0,0.0,0.0,0.0,,1900.1205539999999,1326.0,68.0,0.0,,1394.0,,,,,,,,10011987,Riverdale City,1001,1987,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,92.98001,87.40001,102.95,162.28,48.15,52.37,75.29001,61.09,17.43,13.31,11.18,96.76001,821.1900400000001,821.1900400000001,Null Lat NAD83,86.0,1987-12-31,1987-01-01
Riverdale City,1001,Public,Active,1988,3/1/1989,Weber,,,,,,,,,29015,7200.0,1995.9991260000002,83.00064328,0.0,,2078.999769,1386.0,68.0,0.0,,1454.0,,,,,,,,10011988,Riverdale City,1001,1988,10010003,Purchased from Weber Basin WCD (WS002),Active,,,,Transfer In,Water Supplier,acre feet,102.58,104.91,100.92,126.17,53.35,99.7,169.04001,102.92,52.49001,27.87,17.27,14.11,971.3300199999999,971.3300199999999,Null Lat NAD83,88.0,1988-12-31,1988-01-01
