SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTSS_S1,,Unspecified,Utah,EPSG:4326,,,,,40.26548076,-111.623018,,,Rock Canyon Springs (WS024),10100017,,Spring,UT,
UTSS_S2,,Unspecified,Utah,EPSG:4326,,,,,40.33265227,-111.6176668,,,"Parkside,Nunn Springs (WS015), (WS016)",10100018,,Spring,UT,
UTSS_S3,,Unspecified,Utah,EPSG:4326,,,,,40.33973634,-111.6048562,,,South Fork Springs (Group 6),10100019,,Spring,UT,
UTSS_S4,,Unspecified,Utah,EPSG:4326,,,,,40.33644018,-111.6118517,,,"Thayer Flat/Rotary Park Springs WS017,18",108545265,,Spring,UT,
UTSS_S5,,Unspecified,Utah,EPSG:4326,,,,,40.23276874,-111.6642168,,,City Center Well,10100010,,Well,UT,
UTSS_S6,,Unspecified,Morgan,EPSG:4326,,,,,41.05113675,-111.6711419,,,So. Robinson Spring (WS001),10110001,,Spring,UT,
UTSS_S7,,Unspecified,Iron,EPSG:4326,,,,,37.69076997,-113.124964,,,MONTE VISTA Well #1& 2 (WS001)(WS002),108541924,,Well,UT,
UTSS_S8,,Unspecified,Weber,EPSG:4326,,,,,41.25286713,-111.8422382,,,Ogden Bench Canal,10180009,,Reservoir,UT,
UTSS_S9,,Unspecified,Weber,EPSG:4326,,,,,41.25432213,-111.8422569,,,Pine View Reservoir (WS001),10180002,,Reservoir,UT,
UTSS_S10,,Unspecified,Weber,EPSG:4326,,,,,41.24113871,-111.8917923,,,Cold Water Creek,10180006,,Stream,UT,
UTSS_S11,,Unspecified,Summit,EPSG:4326,,,,,40.56936575,-111.2123078,,,Woodland Spring (WS001),10190001,,Spring,UT,
