SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTss_S1,,Representation Node,Washington,EPSG:4326,,,,,37.23719738,-113.3470612,,,PoU,Leeds Domestic Water Users Association,1000,,Public,UT,
UTss_S2,,Representation Node,Weber,EPSG:4326,,,,,41.17320027,-112.0021548,,,PoU,Riverdale City,1001,,Public,UT,
UTss_S3,,Representation Node,Sevier,EPSG:4326,,,,,38.60559451,-112.1251967,,,PoU,South Monroe Culinary Water,1002,,Public,UT,
UTss_S4,,Representation Node,Millard,EPSG:4326,,,,,38.96314891,-112.3397607,,,PoU,Fillmore Municipal Water System,1003,,Public,UT,
UTss_S5,,Representation Node,Duchesne,EPSG:4326,,,,,40.17292255,-110.3946228,,,PoU,Duchesne City Water Service District,1004,,Public,UT,
UTss_S6,,Representation Node,Davis,EPSG:4326,,,,,40.85535543,-111.8910453,,,PoU,South Davis Water District (Culinary),1005,,Public,UT,
UTss_S7,,Representation Node,Tooele,EPSG:4326,,,,,40.72655952,-114.0244476,,,PoU,Wendover Municipal Water System,1006,,Public,UT,
UTss_S8,,Representation Node,Iron,EPSG:4326,,,,,37.75973148,-113.0421996,,,PoU,Enoch City Water System (Culinary),1007,,Public,UT,
UTss_S9,,Representation Node,Box Elder,EPSG:4326,,,,,41.97263699,-112.7152366,,,PoU,Snowville Town,1008,,Public,UT,
UTss_S10,,Representation Node,Salt Lake,EPSG:4326,,,,,40.65040951,-111.8956691,,,PoU,Murray City Corporation (Culinary),1009,,Public,UT,
UTss_S11,,Representation Node,Utah,EPSG:4326,,,,,40.2458709,-111.6457721,,,PoU,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTss_S12,,Representation Node,Morgan,EPSG:4326,,,,,41.04807404,-111.672707,,,PoU,South Robinson Spring Water Users,1011,,Public,UT,
UTss_S13,,Representation Node,Iron,EPSG:4326,,,,,37.68869528,-113.1270362,,,PoU,Monte Vista Comm. & Water Company,1012,,Public,UT,
UTss_S14,,Representation Node,Carbon,EPSG:4326,,,,,39.62002151,-110.8323806,,,PoU,East Carbon City and Sunnyside City,1015,,Public,UT,
UTss_S15,,Representation Node,Carbon,EPSG:4326,,,,,39.54082178,-110.40816809999998,,,PoU,East Carbon City and Sunnyside City,1015,,Public,UT,
UTss_S16,,Representation Node,Piute,EPSG:4326,,,,,38.23570507,-112.2238668,,,PoU,Junction Town,1016,,Public,UT,
UTss_S17,,Representation Node,Salt Lake,EPSG:4326,,,,,40.64629561,-112.027804,,,PoU,Kearns Improvement District,1017,,Public,UT,
UTss_S18,,Representation Node,Weber,EPSG:4326,,,,,41.22822725,-111.9657485,,,PoU,Ogden City Division of Water Utilities,1018,,Public,UT,
UTss_S19,,Representation Node,Summit,EPSG:4326,,,,,40.58384557,-111.237231,,,PoU,Woodland Mutual Water Company,1019,,Public,UT,
UTss_S20,,Representation Node,Beaver,EPSG:4326,,,,,38.35952084,-112.6398621,,,PoU,Manderfield Municipal Water System,1020,,Public,UT,
UTss_S21,,Representation Node,Duchesne,EPSG:4326,,,,,40.15290294,-110.0725217,,,PoU,Johnson Water District,1021,,Public,UT,
UTss_S22,,Representation Node,Piute,EPSG:4326,,,,,38.43450624,-111.92282009999998,,,PoU,Greenwich Water Company,1022,,Public,UT,
UTss_S23,,Representation Node,Cache,EPSG:4326,,,,,41.67253475,-111.8456489,,,PoU,Nibley City,1023,,Public,UT,
UTss_S24,,Representation Node,Millard,EPSG:4326,,,,,39.53120655,-112.2855156,,,PoU,Leamington Town Water,1024,,Public,UT,
UTss_S25,,Representation Node,Kane,EPSG:4326,,,,,37.25396707,-112.6574014,,,PoU,Orderville Town Water System,1025,,Public,UT,
UTss_S26,,Representation Node,Emery,EPSG:4326,,,,,39.13780055,-111.0951684,,,PoU,Clawson Water System - Castle Valley S.S.D. (Culinary),1026,,Public,UT,
