WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UTSS_WS1,,,Fresh,Rock Canyon Springs (WS024),10100017,groundwater/spring
UTSS_WS2,,,Fresh,"Parkside,Nunn Springs (WS015), (WS016)",10100018,groundwater/spring
UTSS_WS3,,,Fresh,South Fork Springs (Group 6),10100019,groundwater/spring
UTSS_WS4,,,Fresh,"Thayer Flat/Rotary Park Springs WS017,18",108545265,groundwater/spring
UTSS_WS5,,,Fresh,City Center Well,10100010,groundwater/well
UTSS_WS6,,,Fresh,So. Robinson Spring (WS001),10110001,groundwater/spring
UTSS_WS7,,,Fresh,MONTE VISTA Well #1& 2 (WS001)(WS002),108541924,groundwater/well
UTSS_WS8,,,Fresh,Ogden Bench Canal,10180009,Surface Water
UTSS_WS9,,,Fresh,Pine View Reservoir (WS001),10180002,Surface Water
UTSS_WS10,,,Fresh,Cold Water Creek,10180006,Surface Water
UTSS_WS11,,,Fresh,Woodland Spring (WS001),10190001,groundwater/spring
UTSS_WS12,,,Fresh,Woodland Well 1 (WS002),10190002,groundwater/well
UTSS_WS13,,,Fresh,Manderfield Well (WS001),10200001,groundwater/well
UTSS_WS14,,,Fresh,Town Well (WS001),10240001,groundwater/well
UTSS_WS15,,,Fresh,Fool Creek Canyon Springs Group (SS026),10240002,groundwater/spring
UTSS_WS16,,,Fresh,Well No. 1 (WS002),10290002,groundwater/well
UTSS_WS17,,,Fresh,Little Missouri Spring (WS001),10330006,groundwater/spring
UTSS_WS18,,,Fresh,Alder Creek Spring (WS002),10330003,groundwater/spring
UTSS_WS19,,,Fresh,Lower  Springs (WS001),10340001,groundwater/spring
UTSS_WS20,,,Fresh,Upper Spring (WS002),108544949,groundwater/spring
UTSS_WS21,,,Fresh,TinTic Junction  Well 2 (WS008),108543334,groundwater/well
UTSS_WS22,,,Fresh,Homansville Group  (SS161),10360004,groundwater/well
UTSS_WS23,,,Fresh,Rilda Upper Spring (WS001),10390002,groundwater/spring
UTSS_WS24,,,Fresh,Elk Springs Group (WS010) (WS011),108542330,groundwater/spring
UTSS_WS25,,,Fresh,Main Canyon Springs (Group),10390004,groundwater/spring
UTSS_WS26,,,Fresh,Birch Spring (WS007),10390007,groundwater/spring
UTSS_WS27,,,Fresh,Sunridge System 4 Spring (WS004),10420004,groundwater/spring
