System Name,System ID,Source Name,Source ID,Source Status,Lat NAD83,Lon NAD83,Source Type,Diversion Type,Use Type,Year,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,,
Leeds Domestic Water Users Association,1000,Oak Grove Spring (WS001),10000001,Active,37.30907717,-113.4294115,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Leeds Domestic Water Users Association,1000,Leeds Well (WS002),10000002,Active,37.26701434,-113.3630602,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Leeds Domestic Water Users Association,1000,"El Dorado Hills Well (8 in, 335 ft deep)",108540479,Inactive,37.26580872,-113.3515934,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Riverdale City,1001,5190S 1050W #1 Well (WS003),10010001,Active,41.16995949,-112.0056344,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Riverdale City,1001,Golf Well (6`),10010002,Inactive,41.16461496,-112.0052749,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Riverdale City,1001,Well No. 2 (Roy Well),10010004,Inactive,41.16574758,-112.0187114,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Monroe Culinary Water,1002,Monroe Well,10020001,Inactive,38.62130748,-112.1210713,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,FC Well #2 (16`)  402` (WS003),10030001,Active,38.96438539,-112.3810406,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"FC Well #3 (16`) 410` #2, #3 (WS004)",10030002,Active,38.96435631,-112.3793198,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,Watercress Spring (WS001),10030003,Active,38.94520566,-112.2572118,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,Well (16`) FC Airport #1,10030004,Inactive,38.96427602,-112.35403,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #1 (16 inch, 385` deep)",108542788,Inactive,38.98687523,-112.429023,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #2 (6 inch, 281` deep)",108542789,Inactive,38.9804505,-112.4288551,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #3 (16 inches, 510` deep)",108542790,Inactive,38.96444685,-112.4102166,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #4 (16 inches, 357` deep)",108542791,Inactive,38.95120037,-112.43875,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #5 (12 inches, 600` deep)",108542792,Inactive,38.94874373,-112.4433008,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Fillmore Municipal Water System,1003,"Well #6 (12 inches, 400` deep)",108542793,Inactive,38.95356824,-112.4151508,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,"Backup Wells - 2 (12"")",10040002,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,"Backup Wells - 3 (12"")",10040003,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,"Backup Well (12"")",10040004,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,"Backup Well (6"")",10040005,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,"Backup Wells - 2 (12"")",10040006,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,Knight Diversion Dam,108543615,Inactive,40.24059732,-110.4120857,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,Rocky Point Diversion Dam,108543616,Inactive,40.22779978,-110.3982656,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Duchesne City Water Service District,1004,Pump from Starvation Reservoir to TP,108543617,Inactive,40.19066067,-110.4444227,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,"Dago, Copper, Odell Spgs (Culinary)",10050001,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Enoch Spring (Culinary) (WS004),10050002,Active,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Bona Vista Well (Culinary) (WS008),10050003,Active,40.86164353,-111.879759,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Val Vista Well 1 (Culinary) (WS005),10050004,Active,40.85658822,-111.8819704,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Val Vista Well 2 (Culinary) (WS006),10050005,Active,40.85663393,-111.8820975,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Val Vista Well 3 (Culinary) (WS007),10050006,Active,40.85687511,-111.882155,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Val Verda Well (Culinary),10050007,Inactive,40.85942095,-111.8795668,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Salisbury Well No. 1,10050009,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Elk Springs,10050020,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Irfred Park Well,10050022,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,North Canyon Well (Culinary) (WS011),10050023,Active,40.85839193,-111.8767227,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Val Verda Tunnel,10050024,Inactive,,,Tunnel,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,North Canyon Creek,108543146,Inactive,40.8418605,-111.8369767,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,North Canyon Creek,108543263,Inactive,40.85824678,-111.8755888,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
South Davis Water District (Culinary),1005,Conc Diversion Structure N Canyon Creek,108543737,Inactive,40.84581729,-111.852048,Stream,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,W Wendover Nevada-Johnson Spring (WS004),10060001,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Cedar Spring Creek Intake (WS007),10060002,Active,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Little Cedar Spring,10060003,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Munsee Spring (WS002),10060004,Active,41.01415179,-114.0245061,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Cottonwood Spring Creek Intake (WS008),10060005,Active,41.02898634,-114.0295003,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Morrison Spring Pilot,10060007,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Silverzone Well,10060008,Active,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Neilson Spring (WS003),10060009,Active,41.01688605,-114.0249213,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Wendover Municipal Water System,1006,Miners Canyon Springs (WS001),10060010,Active,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Homestead Well (WS001),10070001,Active,37.76192288,-113.0222303,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Anderson Well (WS004),10070002,Active,37.76715522,-113.0225701,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Woolsey Well (WS002),10070003,Active,37.76689606,-113.0298702,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Well,10070004,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,"Well (12"")",10070005,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Well,10070006,Inactive,,,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Ravine Well (WS005),10070007,Active,37.77425463,-113.0187417,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Iron Works Well (WS006),108540218,Active,37.77679614,-113.0203024,Well,Withdrawal,Domestic,,,,,,,,,,,,,,,,,,
Enoch City Water System (Culinary),1007,Tank Well (WS008),108544599,Active,37.75996883,-113.0024387,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,Well (8`),10080001,Inactive,41.97511747,-112.6550756,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,Well (16`),10080003,Inactive,41.96732182,-112.7091129,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,Spring,10080004,Inactive,,,Spring,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,Snowville Well #2 (WS002),108541054,Active,41.99487727,-112.6620451,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,Well (20 in. 400 ft deep),108541055,Inactive,41.98420022,-112.6543726,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Snowville Town,1008,North Hill Well (WS001),108541056,Active,41.96741615,-112.7088616,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Power House Well (WS003),10090003,Active,40.66657862,-111.8948282,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,6th West #2 Well (WS004),10090004,Active,40.6535113,-111.9073811,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,5th East #3 Well (WS005),10090005,Active,40.65552224,-111.875802,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,New Howe Well (WS024),10090006,Active,40.64881093,-111.8638829,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,3rd West #5 Well (WS007),10090007,Active,40.64453263,-111.8986822,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,Vine Street #6 Well (WS008),10090008,Active,40.64127839,-111.8634898,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,7th West #7 Well (WS009),10090009,Active,40.62830155,-111.9120017,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
Murray City Corporation (Culinary),1009,9th East #8 Well (WS010),10090010,Active,40.63138251,-111.8660401,Well,Withdrawal,Water Supplier,,,,,,,,,,,,,,,,,,
