System Name,System ID,System Type,System Status,History Year,Date Received,County,Use Cooling Percent,Use Process Percent,Use Domestic Percent,Use Miscellaneous Percent,Irrigation (Lawn and Garden) Percent,Acres Irrigated,Irrigation (Agriculture),Acres Irrigated,DEQ ID,Population,Domestic Use,Commercial Use,Industrial Use,Institutional Use,Total Use,Domestic Connections,Commercial Connections,Industrial Connections,Institutional Connections,Total Connections,Peak Date,Peak Demand,Peak Demand Units,Peak Use Include,Peak Measurement Type,Peak Wholesale Volume,Peak Wholesale Volume Units
Leeds Domestic Water Users Association,1000,Public,Active,2019,1/22/2020,Washington,,,,,,,,,27010,800,62166.25,14418.28,110.34,2749.36,79444.23,349,16,1,5,371,7/30/2019,309.3,kgallons,Indoor and Outdoor,,,
Leeds Domestic Water Users Association,1000,Public,Active,2018,4/30/2019,Washington,,,,,,,,,27010,800,61670.86,7050.8,350.1,1750,70821.76,335,22,1,5,363,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2017,4/5/2018,Washington,,,,,,,,,27010,800,58510,5021.73,301.084,1640.86,65473.674,333,22,1,5,361,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2016,3/16/2017,Washington,,,,,,,,,27010,780,53356.07,4952.37,284.86,1455.46,60048.76,330,22,1,5,358,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2015,2/22/2016,Washington,,,,,,,,,27010,760,51798.12,7794.75,0,0,59592.87,370,34,0,0,404,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2014,1/20/2015,Washington,,,,,,,,,27010,780,61146,0,0,0,93146,324,0,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2013,5/29/2014,Washington,,,,,,,,,27010,780,62146,0,0,0,94146,324,0,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2012,6/12/2013,Washington,,,,,,,,,27010,780,62625.41,0,0,0,94625.41,338,0,0,0,438,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2011,6/12/2013,Washington,,,,,,,,,27010,780,64334.616,10837.73,0,0,75172.346,317,25,0,0,442,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2010,3/10/2011,Washington,,,,,,,,,27010,700,78999.99965,2449.999989,0,0,81449.99964,401,23,0,0,424,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2009,1/11/2010,Washington,,,,,,,,,27010,790,50499.99978,3199.999986,0,0,54199.99976,317,14,0,0,432,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2008,1/26/2009,Washington,,,,,,,,,27010,894,51999.99977,3799.999983,0,0,56299.99975,323,16,0,0,382,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2007,2/28/2008,Washington,,,,,,,,,27010,876,53031.11,3356.24,0,0,56887.35,320,5,0,0,365,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2006,3/9/2007,Washington,,,,,,,,,27010,860,19746.59657,720,0,0,20966.59654,0,3,0,0,43,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2005,6/2/2006,Washington,,,,,,,,,27010,700,38885,793,0,6000,48678,290,4,0,4,320,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2004,2/8/2005,Washington,,,,,,,,,27010,617,65189.68706,4200.291687,0,3728.258907,73118.23766,226,14,0,4,244,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2003,4/12/2004,Washington,,,,,,,,,27010,617,50151.09071,3404.086395,0,2728.389471,56283.56658,224,14,0,4,242,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2002,3/7/2003,Washington,,,,,,,,,27010,617,57601.3831,8635.059657,0,1452.910897,101045.7171,223,20,0,1,244,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2001,3/5/2002,Washington,,,,,,,,,27010,380,53413.9013,9695.413293,0,3862.568234,66971.88283,176,13,0,1,190,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,2000,2/20/2001,Washington,,,,,,,,,27010,380,55893.88152,5263.365511,0,3099.215223,64635.48858,171,13,0,1,185,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1999,3/1/2000,Washington,,,,,,,,,27010,480,50439.50274,4398.305438,0,3964.275297,72359.02493,161,13,0,1,175,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1998,3/3/1999,Washington,,,,,,,,,27010,475,55003.81971,6000.416696,0,,61004.23641,0,0,0,,172,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1997,3/2/1998,Washington,,,,,,,,,27010,450,46613.23703,2578.17904,0,3024.210015,54915.8136,151,13,0,1,165,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1996,2/24/1997,Washington,,,,,,,,,27010,425,45467.15744,6061.420932,0,,60621.20981,0,0,0,,0,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1995,2/5/1996,Washington,,,,,,,,,27010,425,43767.03938,4863.337732,0,,48630.37711,0,0,0,,155,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1994,3/16/1995,Washington,,,,,,,,,27010,400,42683.96416,4242.294604,0,,46926.25877,0,0,0,,150,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1993,2/2/1994,Washington,,,,,,,,,27010,360,0,0,0,,41447.87832,0,0,0,,146,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1992,1/29/1993,Washington,,,,,,,,,27010,340,0,0,0,,40924.842,0,0,0,,340,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1991,3/2/1992,Washington,,,,,,,,,27010,290,33166.30322,3851.267449,0,,37017.57066,114,6,0,,120,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1990,4/15/1991,Washington,,,,,,,,,27010,275,0,0,0,,34364.38642,104,6,0,,110,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1989,3/12/1990,Washington,,,,,,,,,27010,360,28210.95909,833.0578512,0,2258.156816,31302.17376,108,5,0,,113,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1988,3/1/1989,Washington,,,,,,,,,27010,0,27413.90374,1015.070491,0,,28428.97423,109,6,0,,115,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1987,4/18/1988,Washington,,,,,,,,,27010,225,26239.82221,1178.081811,0,,27417.90402,102,6,0,,108,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1986,3/24/1987,Washington,,,,,,,,,27010,280,26698.85409,335.0232655,0,,27033.87735,106,2,0,,108,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1985,2/18/1986,Washington,,,,,,,,,27010,297,54438.78047,350.0243072,0,,54788.80478,100,1,0,,101,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1984,3/13/1985,Washington,,,,,,,,,27010,0,0,0,0,,26246.8227,0,0,0,,0,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1983,2/21/1984,Washington,,,,,,,,,27010,250,0,0,0,,22713.57733,0,0,0,,99,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1982,3/24/1983,Washington,,,,,,,,,27010,218,0,0,0,,26140.81533,0,0,0,,90,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1981,1/25/1982,Washington,,,,,,,,,27010,269,0,0,0,,28814.00097,103,6,0,,109,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1980,3/9/1981,Washington,,,,,,,,,27010,269,0,0,0,,33298.31238,95,7,0,,102,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1979,3/10/1980,Washington,,,,,,,,,27010,255,0,0,0,,29024.01556,0,0,0,,101,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1978,12/31/1978,Washington,,,,,,,,,27010,0,0,0,0,,27465.90735,0,0,0,,89,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1977,12/31/1977,Washington,,,,,,,,,27010,0,0,0,0,,23675.64414,0,0,0,,94,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1976,12/31/1976,Washington,,,,,,,,,27010,0,0,0,0,,0,0,0,0,,85,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1973,12/31/1973,Washington,,,,,,,,,27010,0,0,0,0,,40802.83353,0,0,0,,85,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1972,12/31/1972,Washington,,,,,,,,,27010,0,0,0,0,,23966.66435,0,0,0,,82,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1971,12/31/1971,Washington,,,,,,,,,27010,0,0,0,0,,21972.52587,0,0,0,,72,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1969,12/31/1969,Washington,,,,,,,,,27010,0,0,0,0,,20275.40801,0,0,0,,62,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1968,12/31/1968,Washington,,,,,,,,,27010,0,0,0,0,,18751.30217,0,0,0,,60,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1967,12/31/1967,Washington,,,,,,,,,27010,0,0,0,0,,18708.29919,0,0,0,,52,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1966,12/31/1966,Washington,,,,,,,,,27010,0,0,0,0,,18826.30738,0,0,0,,59,,,,,,,
Leeds Domestic Water Users Association,1000,Public,Active,1965,12/31/1965,Washington,,,,,,,,,27010,0,0,0,0,,20089.3951,0,0,0,,57,,,,,,,
