System Name_Sys,System ID_Sys,System Type_Sys,System Status_Sys,History Year_Sys,Date Received_Sys,County_Sys,Use Cooling Percent_Sys,Use Process Percent_Sys,Use Domestic Percent_Sys,Use Miscellaneous Percent_Sys,Irrigation (Lawn and Garden) Percent_Sys,Acres Irrigated_Sys,Irrigation (Agriculture)_Sys,Acres Irrigated.1_Sys,DEQ ID_Sys,Population_Sys,Domestic Use_Sys,Commercial Use_Sys,Industrial Use_Sys,Institutional Use_Sys,Total Use_Sys,Domestic Connections_Sys,Commercial Connections_Sys,Industrial Connections_Sys,Institutional Connections_Sys,Total Connections_Sys,Peak Date_Sys,Peak Demand_Sys,Peak Demand Units_Sys,Peak Use Include_Sys,Peak Measurement Type_Sys,Peak Wholesale Volume_Sys,Peak Wholesale Volume Units_Sys,SystemID_Year_ID,System Name_Sour,System ID_Sour,Source Name_Sour,Source ID_Sour,Source Status_Sour,Lat NAD83_Sour,Lon NAD83_Sour,Source Type_Sour,Diversion Type_Sour,Use Type_Sour,Year_Sour,Units_Sour,Jan_Sour,Feb_Sour,Mar_Sour,Apr_Sour,May_Sour,Jun_Sour,Jul_Sour,Aug_Sour,Sep_Sour,Oct_Sour,Nov_Sour,Dec_Sour,Total_Sour,Unnamed: 25,Unnamed: 26,Unnamed: 27,ReasonRemoved,index,TimeframeEnd,TimeframeStart
Provo City Water Resources Division (Culinary),1010,Public,Active,2002,2/27/2003,Utah,,,,,,,,,25006,109645.0,4551166.903,2437368.6859999998,65072.530289999995,987981.5314,8110279.131,15330.0,1540.0,8.0,68.0,16952.0,,,,,,,,10102002,Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100034,Inactive,,,Reservoir,Transfer Out,Water Supplier,2002,kgallons,,,,,,,,,,,,,,,,,Null Lat NAD83,8.0,2002-12-31,2002-01-01
Provo City Water Resources Division (Culinary),1010,Public,Active,2001,3/25/2002,Utah,,,,,,,,,25006,108025.0,5079697.92,2545877.211,123171.84,374729.1429,8188646.4,15084.0,1644.0,12.0,65.0,16805.0,,,,,,,,10102001,Provo City Water Resources Division (Culinary),1010,Lost Lake Reservoir,10100034,Inactive,,,Reservoir,Transfer Out,Water Supplier,2001,kgallons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Null Lat NAD83,9.0,2001-12-31,2001-01-01
Orderville Town Water System,1025,Public,Active,2019,4/28/2020,Kane,,,,,,,,,13008,620.0,26597.0,13423.0,454.0,9995.0,50469.0,271.0,39.0,18.0,24.0,352.0,,,,,,,,10252019,Orderville Town Water System,1025,North  Spring (WS001),10250004,Active,,,Spring,Withdrawal,Water Supplier,2019,kgallons,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3060.0,36786.0,,,,Null Lat NAD83,39.0,2019-12-31,2019-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1999,6/30/2000,Juab,,,,,,,,,12004,750.0,21313.4801,586.0406972999999,0.0,3034.210709,24938.73186,325.0,15.0,0.0,4.0,349.0,,,,,,,,10361999,Eureka City Corporation (Culinary),1036,Dolinar Well,10360002,Inactive,,,Well,Withdrawal,Water Supplier,1999,kgallons,498.9762926,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.914496,,,,Null Lat NAD83,70.0,1999-12-31,1999-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1999,6/30/2000,Juab,,,,,,,,,12004,750.0,21313.4801,586.0406972999999,0.0,3034.210709,24938.73186,325.0,15.0,0.0,4.0,349.0,,,,,,,,10361999,Eureka City Corporation (Culinary),1036,Eureka Hill Well (WS002),10360003,Inactive,,,Well,Withdrawal,Water Supplier,1999,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.03383770000005,498.87527860000006,5907.213915,,,,Null Lat NAD83,71.0,1999-12-31,1999-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1999,6/30/2000,Juab,,,,,,,,,12004,750.0,21313.4801,586.0406972999999,0.0,3034.210709,24938.73186,325.0,15.0,0.0,4.0,349.0,,,,,,,,10361999,Eureka City Corporation (Culinary),1036,Eagle Well (WS005),10360005,Inactive,,,Well,Withdrawal,Water Supplier,1999,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.8134820000005,,,,Null Lat NAD83,73.0,1999-12-31,1999-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1998,5/3/1999,Juab,,,,,,,,,12004,750.0,21913.52177,585.0406278,0.0,3034.210709,25537.77346,321.0,17.0,0.0,4.0,347.0,,,,,,,,10361998,Eureka City Corporation (Culinary),1036,Blue Rock Well (WS001),10360001,Inactive,,,Well,Withdrawal,Water Supplier,1998,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.8134820000005,,,,Null Lat NAD83,74.0,1998-12-31,1998-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1998,5/3/1999,Juab,,,,,,,,,12004,750.0,21913.52177,585.0406278,0.0,3034.210709,25537.77346,321.0,17.0,0.0,4.0,347.0,,,,,,,,10361998,Eureka City Corporation (Culinary),1036,Dolinar Well,10360002,Inactive,,,Well,Withdrawal,Water Supplier,1998,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.8134820000005,,,,Null Lat NAD83,75.0,1998-12-31,1998-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1998,5/3/1999,Juab,,,,,,,,,12004,750.0,21913.52177,585.0406278,0.0,3034.210709,25537.77346,321.0,17.0,0.0,4.0,347.0,,,,,,,,10361998,Eureka City Corporation (Culinary),1036,Eureka Hill Well (WS002),10360003,Inactive,,,Well,Withdrawal,Water Supplier,1998,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.8134820000005,,,,Null Lat NAD83,76.0,1998-12-31,1998-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1998,5/3/1999,Juab,,,,,,,,,12004,750.0,21913.52177,585.0406278,0.0,3034.210709,25537.77346,321.0,17.0,0.0,4.0,347.0,,,,,,,,10361998,Eureka City Corporation (Culinary),1036,Eagle Well (WS005),10360005,Inactive,,,Well,Withdrawal,Water Supplier,1998,kgallons,498.87527860000006,465.1529143,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,498.87527860000006,487.63340430000005,498.87527860000006,487.63340430000005,498.87527860000006,5907.8134820000005,,,,Null Lat NAD83,78.0,1998-12-31,1998-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1997,4/27/1998,Juab,,,,,,,,,12004,700.0,24558.705469999997,645.0447948,0.0,3034.210709,28242.96132,320.0,12.0,0.0,4.0,341.0,,,,,,,,10361997,Eureka City Corporation (Culinary),1036,Blue Rock Well (WS001),10360001,Inactive,,,Well,Withdrawal,Water Supplier,1997,kgallons,477.2745874,443.55222310000005,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,5648.605188,,,,Null Lat NAD83,79.0,1997-12-31,1997-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1997,4/27/1998,Juab,,,,,,,,,12004,700.0,24558.705469999997,645.0447948,0.0,3034.210709,28242.96132,320.0,12.0,0.0,4.0,341.0,,,,,,,,10361997,Eureka City Corporation (Culinary),1036,Dolinar Well,10360002,Inactive,,,Well,Withdrawal,Water Supplier,1997,kgallons,477.2745874,443.55222310000005,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,5648.605188,,,,Null Lat NAD83,80.0,1997-12-31,1997-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1997,4/27/1998,Juab,,,,,,,,,12004,700.0,24558.705469999997,645.0447948,0.0,3034.210709,28242.96132,320.0,12.0,0.0,4.0,341.0,,,,,,,,10361997,Eureka City Corporation (Culinary),1036,Eureka Hill Well (WS002),10360003,Inactive,,,Well,Withdrawal,Water Supplier,1997,kgallons,477.2745874,443.55222310000005,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,5648.605188,,,,Null Lat NAD83,81.0,1997-12-31,1997-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1997,4/27/1998,Juab,,,,,,,,,12004,700.0,24558.705469999997,645.0447948,0.0,3034.210709,28242.96132,320.0,12.0,0.0,4.0,341.0,,,,,,,,10361997,Eureka City Corporation (Culinary),1036,Eagle Well (WS005),10360005,Inactive,,,Well,Withdrawal,Water Supplier,1997,kgallons,477.2745874,443.55222310000005,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,477.2745874,466.0327131,477.2745874,466.0327131,477.2745874,5648.605188,,,,Null Lat NAD83,83.0,1997-12-31,1997-01-01
Eureka City Corporation (Culinary),1036,Public,Active,1996,3/31/1997,Juab,,,,,,,,,12004,640.0,17745.23231,2188.1519550000003,0.0,2188.1519550000003,22121.536219999998,300.0,11.0,0.0,4.0,315.0,,,,,,,,10361996,Eureka City Corporation (Culinary),1036,Blue Rock Well (WS001),10360001,Inactive,,,Well,Withdrawal,Water Supplier,1996,kgallons,375.2667977,341.5444334,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,375.2667977,364.0249234,375.2667977,364.0249234,375.2667977,4424.511711,,,,Null Lat NAD83,84.0,1996-12-31,1996-01-01
