WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100500,100500,HOOVER DITCH,,,-104.530183,40.402588,"POLYGON ((35 10, 10 20, 15 40, 45 45, 35 10),(20 30, 35 35, 30 20, 20 30))",5107,Digitized,0.01,0.01,
100501,100501,EMPIRE DITCH,,,-104.483983,40.378525,,5107,Digitized,0.01,0.01,
100503,100503,RIVERSIDE CANAL,,,-104.468875,40.379142,,5107,Digitized,0.01,0.01,
100507,100507,BIJOU CANAL,,,-104.376699,40.317167,,5107,Digitized,0.01,0.01,
100509,100509,CORONA RANCH DITCH,,,-104.376757,40.317275,,5107,GPS,0.01,0.01,
100511,100511,WELDON VALLEY DITCH,,,-104.159623,40.309334,,5107,Digitized,0.01,0.01,
100513,100513,JACKSON LAKE INLET DITCH,,,-104.250028,40.307046,,5107,Digitized,0.01,0.01,
100514,100514,FT MORGAN CANAL,,,-104.016705,40.353523,,5107,Digitized,0.01,0.01,
100515,100515,UPPER PLATTE BEAVER CNL,,,-103.833983,40.274699,,5107,GPS,0.01,0.01,
100517,100517,DEUEL SNYDER CANAL,,,-103.836038,40.277648,,5107,Digitized,0.01,0.01,
100518,100518,LOWER PLATTE BEAVER D,,,-103.701223,40.280411,,5107,Digitized,0.01,0.01,
100519,100519,TREMONT DITCH,,,-103.701688,40.280687,,5107,Digitized,0.01,0.01,
100520,100520,GILL STEVENS DITCH,,,-103.629965,40.300112,,5107,GPS,0.01,0.01,
100525,100525,TETSEL DITCH,,,-103.479279,40.379145,,5107,Digitized,0.01,0.01,
100526,100526,JOHNSON EDWARDS DITCH,,,-103.478322,40.379763,,5107,Digitized,0.01,0.01,
100527,100527,MIDDLEMIST DITCH 1,,,-103.726708,39.482238,,5107,Digitized,0.01,0.01,
100530,100530,BEAVER FARMERS CANAL D,,,-103.575993,40.014674,,5107,Digitized,0.01,0.01,
100531,100531,WYLIE LIGHT FOLLMANN D,,,-103.595753,40.189567,,5107,Digitized,0.01,0.01,
100532,100532,BEAVER DITCH,,,-103.596022,40.189606,,5107,Digitized,0.01,0.01,
100534,100534,BEAVER CREEK DITCH,,,-103.572407,40.278794,,5107,Digitized,0.01,0.01,
100539,100539,MIDDLEMIST DITCH 2,,,-103.731676,39.491681,,5107,Digitized,0.01,0.01,
100540,100540,HASH KNIFE DITCH,,,-103.667751,39.657759,,5107,Digitized,0.01,0.01,
100547,100547,SAN ARROYO DITCH,,,-103.862374,40.216762,,5107,Spotted from quarters,0.01,0.01,
100549,100549,NORTHSIDE EXT DITCH,,,-104.518743,40.498081,,5107,GPS,0.01,0.01,
100552,100552,WILLIAM BUZICK SEEP D,,,-103.865261,40.277729,,5107,Spotted from quarters,0.01,0.01,
100555,100555,BRAMKAMP DITCH,,,-104.027564,39.839997,,5107,Digitized,0.01,0.01,
100556,100556,MOORE DITCH,,,-104.021109,39.93722,,5107,Digitized,0.01,0.01,
100558,100558,M H DITCH 2,,,-103.97006,39.429799,,5107,GPS,0.01,0.01,
100562,100562,SUBLETTE PIPELINE HEADGATE,,,-104.185718,40.303187,,5107,Spotted from quarters,0.01,0.01,
100563,100563,AGATE DITCH,,,-103.938578,39.456668,,5107,Spotted from quarters,0.01,0.01,
100565,100565,MAGUIRE DITCH,,,-104.332941,39.271077,,5107,Digitized,0.01,0.01,
100566,100566,FT MORGAN FARMS RECHARGE PROJECT PUMP STATION,,,-103.914078,40.313431,,5107,Spotted from section lines,0.01,0.01,
100568,100568,BIJOU DITCH,,,-104.246374,39.630518,,5107,Digitized,0.01,0.01,
100569,100569,GROVES FARMS RECHARGE PUMP & PIPELINE,,,-104.016125,40.352933,,5107,Digitized,0.01,0.01,
100570,100570,EAST GULCH DITCH,,,-104.268102,39.505645,,5107,GPS,0.01,0.01,
100571,100571,ELBERT DITCH,,,-104.537013,39.211604,,5107,Digitized,0.01,0.01,
100572,100572,OAKS DITCH 1,,,-104.566166,39.231153,,5107,Digitized,0.01,0.01,
100573,100573,OAKS DITCH 2,,,-104.526479,39.253964,,5107,Digitized,0.01,0.01,
100574,100574,AUX DITCH 1,,,-104.518876,39.262421,,5107,GPS,0.01,0.01,
100575,100575,DEITRICH DITCH 2,,,-104.504679,39.287802,,5107,Spotted from quarters,0.01,0.01,
100576,100576,DEITRICH DITCH 1,,,-104.500782,39.288732,,5107,Digitized,0.01,0.01,
100577,100577,D C BAILEY DITCH,,,-104.494501,39.296328,,5107,Digitized,0.01,0.01,
100578,100578,GEORGE WOOD DITCH,,,-104.494434,39.300274,,5107,Digitized,0.01,0.01,
100579,100579,GLEASON DITCH,,,-104.483134,39.313738,,5107,GPS,0.01,0.01,
100580,100580,WENDLING DITCH HGT 1,,,-104.468784,39.343276,,5107,Digitized,0.01,0.01,
100581,100581,FAHRION DITCH,,,-104.473443,39.357958,,5107,Digitized,0.01,0.01,
100582,100582,MARKI DITCH,,,-104.475871,39.376042,,5107,Digitized,0.01,0.01,
100584,100584,FRED BACHMAN DITCH 2,,,-104.478535,39.398971,,5107,Digitized,0.01,0.01,
100585,100585,FRED BACHMAN DITCH 3,,,-104.472901,39.409701,,5107,Digitized,0.01,0.01,
100586,100586,GIBSON DITCH 2,,,-104.441809,39.595617,,5107,Digitized,0.01,0.01,
100587,100587,UNITED DIVERSION FACILITY 1,,,-104.465167,40.381368,,5107,Spotted from quarters,0.01,0.01,
100591,100591,WAHL EPPLE DITCH,,,-104.257549,40.028846,,5107,Spotted from quarters,0.01,0.01,
100593,100593,CAROLINE EPPLE DITCH 1,,,-104.233973,40.030656,,5107,Spotted from quarters,0.01,0.01,
100594,100594,CAROLINE EPPLE DITCH 2,,,-104.238635,40.039638,,5107,Spotted from quarters,0.01,0.01,
100596,100596,CARNAHAN UNDER FLOW D PP,,,-104.523288,39.291376,,5107,Spotted from quarters,0.01,0.01,
100597,100597,AUX DITCH 2,,,-104.520098,39.261714,,5107,GPS,0.01,0.01,
100599,100599,ALEX BRAZELTON DITCH,,,-104.548616,39.202593,,5107,Spotted from quarters,0.01,0.01,
100601,100601,WIGGINS FARMS WEST PUMP STATION,,,-104.04953,40.347912,,5107,Spotted from section lines,0.01,0.01,
100602,100602,JACKPOT DITCHES,,,-103.871497,40.426764,,5107,Spotted from quarters,0.01,0.01,
100603,100603,NILE DITCH (LOWER),,,-103.994804,40.120508,,5107,Spotted from quarters,0.01,0.01,
100606,100606,BOLINGER DITCH,,,-103.709899,40.305587,,5107,Spotted from quarters,0.01,0.01,
100607,100607,HIGHLINE DITCH 3,,,-104.304103,40.245985,,5107,Spotted from quarters,0.01,0.01,
100608,100608,LOST CREEK SEEP DITCH,,,-104.278715,40.276948,,5107,Spotted from quarters,0.01,0.01,
100610,100610,KRUSE MAULDIN DITCH,,,-104.586983,39.326332,,5107,Spotted from section lines,0.01,0.01,
100612,100612,IRELAND DITCH,,,-104.596877,40.064716,,5107,Digitized,0.01,0.01,
100613,100613,IRELAND DITCH 5,,,-104.596918,40.086655,,5107,Spotted from quarters,0.01,0.01,
