WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UT_1,,,Fresh,Unknown,,Unknown
UT_2,,,Fresh,Underground Water Well,,Groundwater/all
UT_3,,,Fresh,Underground Water Well,,Point of Rediversion
UT_4,,,Fresh,Utah Lake and Jordan River,,Unknown
UT_5,,,Fresh,Underground Water Wells (11),,Groundwater/all
UT_6,,,Fresh,Utah Lake and Jordan River,,Surface Water
UT_7,,,Fresh,Underground Water Wells (3),,Groundwater/all
UT_8,,,Fresh,Unnamed Springs (4),,groundwater/spring
UT_9,,,Fresh,Underground Water Well,,Unknown
UT_10,,,Fresh,Springs (12),,groundwater/spring
UT_11,,,Fresh,Ontario Drain Tunnel,,Groundwater/all
UT_12,,,Fresh,Undesignated spring area,,Surface Water
UT_13,,,Fresh,Water Hollow,,Unknown
UT_14,,,Fresh,Dry Fork Ashley Creek,,Surface Water
UT_15,,,Fresh,unnamed spring,,groundwater/spring
UT_16,,,Fresh,Diamond Canyon Creek,,Unknown
UT_17,,,Fresh,Cottonwood Creek,,Unknown
UT_18,,,Fresh,Cottonwood Wash,,Unknown
UT_19,,,Fresh,Cottonwood wash,,Unknown
UT_20,,,Fresh,Westwater Creek,,Unknown
UT_21,,,Fresh,Nash Wash,,Unknown
UT_22,,,Fresh,Colorado River,,Unknown
UT_23,,,Fresh,Colorado River,,Surface Water
UT_24,,,Fresh,Unnamed Spring,,Unknown
UT_25,,,Fresh,Colorado River & Courthouse Wash Sump,,Surface Water
UT_26,,,Fresh,Seven Mile Creek,,Surface Water
UT_27,,,Fresh,Middle Canyon Reservoir,,Surface Water
UT_28,,,Fresh,Unnamed Drainage,,Surface Water
UT_29,,,Fresh,Corral Canyon,,Surface Water
UT_30,,,Fresh,Dewey Spring,,Surface Water
UT_31,,,Fresh,Cisco Wash,,Surface Water
UT_32,,,Fresh,Unnamed Wash,,Surface Water
UT_33,,,Fresh,Unnamed Stream,,Surface Water
UT_34,,,Fresh,(2) Underground Water Wells,,Groundwater/all
UT_35,,,Fresh,Colorado River & Sump,,Surface Water
UT_36,,,Fresh,Underground Water Well (Crips Hole),,Groundwater/all
UT_37,,,Fresh,Westwater Creek,,Surface Water
UT_38,,,Fresh,Colorado River,,Point of Return
UT_39,,,Fresh,Unnamed Spring,,Surface Water
UT_40,,,Fresh,Unnamed Spring,,Point of Return
UT_41,,,Fresh,Underground Well,,Groundwater/all
UT_42,,,Fresh,Underground Water Well - Existing,,Groundwater/all
UT_43,,,Fresh,Underground Water Wells (4),,Groundwater/all
UT_44,,,Fresh,"Green, Colorado and White Rivers",,Surface Water
UT_45,,,Fresh,Surface Runoff,,Surface Water
UT_46,,,Fresh,Underground Water Well (Existing),,Groundwater/all
UT_47,,,Fresh,Underground Water Well (Existing),,Point of Rediversion
UT_48,,,Fresh,Precipitation,,Surface Water
UT_49,,,Fresh,Colorado River & Underground Water Wells (2),,Groundwater/all
UT_50,,,Fresh,Colorado River & Underground Water Wells (2),,Surface Water
UT_51,,,Fresh,Underground Water Well (existing),,Groundwater/all
UT_52,,,Fresh,Existing Underground Water Well,,Groundwater/all
UT_53,,,Fresh,Produced Water,,Groundwater/all
UT_54,,,Fresh,700 Gallon Guzzler,,Surface Water
UT_55,,,Fresh,Agate Wash,,Surface Water
UT_56,,,Fresh,Underground Well,,Abandoned
UT_57,,,Fresh,Undergrorund Water Well,,Groundwater/all
UT_58,,,Fresh,3 Underground Wells,,Groundwater/all
UT_59,,,Fresh,West Water Creek,,Surface Water
UT_60,,,Fresh,Underground Water Well,,groundwater/spring
UT_61,,,Fresh,Arths Pasture Well #1,,Groundwater/all
UT_62,,,Fresh,Bitter Creek Well,,Groundwater/all
UT_63,,,Fresh,Mill Valley Spring,,Surface Water
UT_64,,,Fresh,Middle Canyon Spring,,Unknown
UT_65,,,Fresh,Upper Courthouse Spring,,Unknown
UT_66,,,Fresh,Lost Spring,,Unknown
UT_67,,,Fresh,Dry Oak Spring,,Unknown
UT_68,,,Fresh,Brink Spring,,Surface Water
UT_69,,,Fresh,Colorado River and Well,,Surface Water
UT_70,,,Fresh,Colorado River and Well,,Groundwater/all
UT_71,,,Fresh,San Arroyo Well #1,,Groundwater/all
UT_72,,,Fresh,San Arroyo Well #2,,Groundwater/all
UT_73,,,Fresh,San Arroyo Well #4,,Groundwater/all
UT_74,,,Fresh,Owl Draw Artesian Well,,Groundwater/all
UT_75,,,Fresh,Buck Spring,,Unknown
UT_76,,,Fresh,Caves Spring,,Unknown
UT_77,,,Fresh,Lower Buck Spring,,Unknown
UT_78,,,Fresh,Cottonwood Wash,,Surface Water
UT_79,,,Fresh,Cottonwood Wash,,Point of Return
UT_80,,,Fresh,Underground water - Well,,Groundwater/all
UT_81,,,Fresh,Salt Wash,,Surface Water
UT_82,,,Fresh,Sagers Wash,,Surface Water
UT_83,,,Fresh,Tributary to San Arroyo Wash,,Surface Water
UT_84,,,Fresh,Tributary to Fish Seep Draw,,Surface Water
