PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S61877,UTwr_S460272,01/01/2021,12/31/2021
UTwr_S61878,UTwr_S460272,01/01/2021,12/31/2021
UTwr_S18279,UTwr_S461611,01/01/2021,12/31/2021
UTwr_S62554,UTwr_S460255,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461610,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461602,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461609,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461601,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461608,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461605,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461604,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461607,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461606,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461603,01/01/2021,12/31/2021
UTwr_S18297,UTwr_S461600,01/01/2021,12/31/2021
UTwr_S18299,UTwr_S383802,01/01/2021,12/31/2021
UTwr_S18301,UTwr_S383705,01/01/2021,12/31/2021
UTwr_S18301,UTwr_S383704,01/01/2021,12/31/2021
UTwr_S61713,UTwr_S463202,01/01/2021,12/31/2021
UTwr_S61715,UTwr_S463202,01/01/2021,12/31/2021
UTwr_S61714,UTwr_S463202,01/01/2021,12/31/2021
UTwr_S62094,UTwr_S463204,01/01/2021,12/31/2021
UTwr_S62095,UTwr_S463203,01/01/2021,12/31/2021
UTwr_S18304,UTwr_S463695,01/01/2021,12/31/2021
UTwr_S18304,UTwr_S464721,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383950,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383951,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383939,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383936,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383938,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383947,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383934,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383955,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383949,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383937,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383953,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383941,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383948,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383946,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383944,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383943,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383942,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383935,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383952,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383954,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383945,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383940,01/01/2021,12/31/2021
UTwr_S18308,UTwr_S383933,01/01/2021,12/31/2021
UTwr_S18329,UTwr_S460273,01/01/2021,12/31/2021
UTwr_S18328,UTwr_S460273,01/01/2021,12/31/2021
UTwr_S62128,UTwr_S460308,01/01/2021,12/31/2021
UTwr_S62128,UTwr_S460304,01/01/2021,12/31/2021
UTwr_S62128,UTwr_S460306,01/01/2021,12/31/2021
UTwr_S62130,UTwr_S460315,01/01/2021,12/31/2021
UTwr_S62129,UTwr_S460315,01/01/2021,12/31/2021
UTwr_S61415,UTwr_S457405,01/01/2021,12/31/2021
UTwr_S61690,UTwr_S462814,01/01/2021,12/31/2021
UTwr_S61750,UTwr_S463096,01/01/2021,12/31/2021
UTwr_S61756,UTwr_S463040,01/01/2021,12/31/2021
UTwr_S61759,UTwr_S463067,01/01/2021,12/31/2021
UTwr_S62197,UTwr_S463046,01/01/2021,12/31/2021
UTwr_S62198,UTwr_S463176,01/01/2021,12/31/2021
UTwr_S62498,UTwr_S462961,01/01/2021,12/31/2021
UTwr_S62502,UTwr_S463074,01/01/2021,12/31/2021
UTwr_S62505,UTwr_S463078,01/01/2021,12/31/2021
UTwr_S61424,UTwr_S463088,01/01/2021,12/31/2021
UTwr_S61428,UTwr_S463124,01/01/2021,12/31/2021
UTwr_S61608,UTwr_S457438,01/01/2021,12/31/2021
UTwr_S61767,UTwr_S457416,01/01/2021,12/31/2021
UTwr_S61777,UTwr_S467868,01/01/2021,12/31/2021
UTwr_S62445,UTwr_S462736,01/01/2021,12/31/2021
UTwr_S61620,UTwr_S457336,01/01/2021,12/31/2021
UTwr_S61657,UTwr_S462815,01/01/2021,12/31/2021
UTwr_S61661,UTwr_S463039,01/01/2021,12/31/2021
UTwr_S61661,UTwr_S463152,01/01/2021,12/31/2021
UTwr_S61660,UTwr_S463039,01/01/2021,12/31/2021
UTwr_S61660,UTwr_S463152,01/01/2021,12/31/2021
UTwr_S61662,UTwr_S463164,01/01/2021,12/31/2021
UTwr_S61665,UTwr_S463061,01/01/2021,12/31/2021
UTwr_S61666,UTwr_S463121,01/01/2021,12/31/2021
UTwr_S61668,UTwr_S463167,01/01/2021,12/31/2021
UTwr_S61692,UTwr_S463122,01/01/2021,12/31/2021
UTwr_S61889,UTwr_S463123,01/01/2021,12/31/2021
UTwr_S61890,UTwr_S463126,01/01/2021,12/31/2021
UTwr_S61892,UTwr_S463060,01/01/2021,12/31/2021
UTwr_S62451,UTwr_S462744,01/01/2021,12/31/2021
UTwr_S62452,UTwr_S462744,01/01/2021,12/31/2021
UTwr_S62453,UTwr_S463149,01/01/2021,12/31/2021
UTwr_S62467,UTwr_S463151,01/01/2021,12/31/2021
UTwr_S62640,UTwr_S457424,01/01/2021,12/31/2021
UTwr_S61464,UTwr_S462913,01/01/2021,12/31/2021
UTwr_S61464,UTwr_S462912,01/01/2021,12/31/2021
UTwr_S61464,UTwr_S462915,01/01/2021,12/31/2021
UTwr_S61464,UTwr_S462910,01/01/2021,12/31/2021
