WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UTwr_WS1,,,Fresh,Unknown,,Unknown
UTwr_WS2,,,Fresh,Underground Water Well,,Groundwater/all
UTwr_WS3,,,Fresh,Underground Water Well,,Point of Rediversion
UTwr_WS4,,,Fresh,Utah Lake and Jordan River,,Unknown
UTwr_WS5,,,Fresh,Underground Water Wells (11),,Groundwater/all
UTwr_WS6,,,Fresh,Utah Lake and Jordan River,,Surface Water
UTwr_WS7,,,Fresh,Underground Water Wells (3),,Groundwater/all
UTwr_WS8,,,Fresh,Unnamed Springs (4),,groundwater/spring
UTwr_WS9,,,Fresh,Underground Water Well,,Unknown
UTwr_WS10,,,Fresh,Springs (12),,groundwater/spring
UTwr_WS11,,,Fresh,Ontario Drain Tunnel,,Groundwater/all
UTwr_WS12,,,Fresh,Undesignated spring area,,Surface Water
UTwr_WS13,,,Fresh,Water Hollow,,Unknown
UTwr_WS14,,,Fresh,Dry Fork Ashley Creek,,Surface Water
UTwr_WS15,,,Fresh,unnamed spring,,groundwater/spring
UTwr_WS16,,,Fresh,Diamond Canyon Creek,,Unknown
UTwr_WS17,,,Fresh,Cottonwood Creek,,Unknown
UTwr_WS18,,,Fresh,Cottonwood Wash,,Unknown
UTwr_WS19,,,Fresh,Cottonwood wash,,Unknown
UTwr_WS20,,,Fresh,Westwater Creek,,Unknown
UTwr_WS21,,,Fresh,Nash Wash,,Unknown
UTwr_WS22,,,Fresh,Colorado River,,Unknown
UTwr_WS23,,,Fresh,Colorado River,,Surface Water
UTwr_WS24,,,Fresh,Unnamed Spring,,Unknown
UTwr_WS25,,,Fresh,Colorado River & Courthouse Wash Sump,,Surface Water
UTwr_WS26,,,Fresh,Seven Mile Creek,,Surface Water
UTwr_WS27,,,Fresh,Middle Canyon Reservoir,,Surface Water
UTwr_WS28,,,Fresh,Unnamed Drainage,,Surface Water
UTwr_WS29,,,Fresh,Corral Canyon,,Surface Water
UTwr_WS30,,,Fresh,Dewey Spring,,Surface Water
UTwr_WS31,,,Fresh,Cisco Wash,,Surface Water
UTwr_WS32,,,Fresh,Unnamed Wash,,Surface Water
UTwr_WS33,,,Fresh,Unnamed Stream,,Surface Water
UTwr_WS34,,,Fresh,(2) Underground Water Wells,,Groundwater/all
UTwr_WS35,,,Fresh,Colorado River & Sump,,Surface Water
UTwr_WS36,,,Fresh,Underground Water Well (Crips Hole),,Groundwater/all
UTwr_WS37,,,Fresh,Westwater Creek,,Surface Water
UTwr_WS38,,,Fresh,Colorado River,,Point of Return
UTwr_WS39,,,Fresh,Unnamed Spring,,Surface Water
UTwr_WS40,,,Fresh,Unnamed Spring,,Point of Return
UTwr_WS41,,,Fresh,Underground Well,,Groundwater/all
UTwr_WS42,,,Fresh,Underground Water Well - Existing,,Groundwater/all
UTwr_WS43,,,Fresh,Underground Water Wells (4),,Groundwater/all
UTwr_WS44,,,Fresh,"Green, Colorado and White Rivers",,Surface Water
UTwr_WS45,,,Fresh,Surface Runoff,,Surface Water
UTwr_WS46,,,Fresh,Underground Water Well (Existing),,Groundwater/all
UTwr_WS47,,,Fresh,Underground Water Well (Existing),,Point of Rediversion
UTwr_WS48,,,Fresh,Precipitation,,Surface Water
UTwr_WS49,,,Fresh,Colorado River & Underground Water Wells (2),,Groundwater/all
UTwr_WS50,,,Fresh,Colorado River & Underground Water Wells (2),,Surface Water
UTwr_WS51,,,Fresh,Underground Water Well (existing),,Groundwater/all
UTwr_WS52,,,Fresh,Existing Underground Water Well,,Groundwater/all
UTwr_WS53,,,Fresh,Produced Water,,Groundwater/all
UTwr_WS54,,,Fresh,700 Gallon Guzzler,,Surface Water
UTwr_WS55,,,Fresh,Agate Wash,,Surface Water
UTwr_WS56,,,Fresh,Underground Well,,Abandoned
UTwr_WS57,,,Fresh,Undergrorund Water Well,,Groundwater/all
