WRNUM,GROUP_IDNUM,USE_IDNUM,MUNICIPALITY,USE_BEG_DATE,USE_END_DATE,MUNICIPAL_COMMENTS
35-2307,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-1061,2,3,Grantsville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-376,4,5,"Bountiful, West Bountiful & Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1005,1,2,South Davis County,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1976,10,11,City of North Salt Lake,101,1231,Within the service area of North Salt Lake.
15-4344,2,3,Town of Vernon,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2303,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-1054,1,2,City of Centerville,401,1031,Limited to 480.92 acre-feet.
31-2597,1,2,Farmington City,101,1231,Municipal use limited to 605.0 acre-feet per year.
35-2282,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-353,5,6,"Bountiful, West Bountiful, Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
15-567,4,5,Stansbury Park Improvement District,101,1231,"Used in the Stansbury Park Improvement District and the following industrial, commercial and residential connections outside the District Boundaries(2) NE1/4 SW1/4 Sec.9, (1) SW1/4 NW1/4, (1) SE1/4 NW1/4 Sec.17, (1) SW1/4 NE1/4, (2) SE1/4 SW1/4, (3) NW1/4 SE1/4 Sec.35, T1S, R4W, SLBM; (2) NE1/4 NW1/4 Sec.2, (6) SW1/4 SE1/4 Sec.3, (1) NE1/4 NW1/4, (1) SW1/4 SW1/4 Sec.22, T2S, R4W, SLBM or a total o"
31-2529,1,2,"Sunset, Clinton, Clearfield, Layton,",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2529,1,3,"Kaysville, Farmington, Centerville,",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-2529,1,4,Bountiful and West Bountiful.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-389,4,5,"Bountiful, West Bountiful & Woods Cross",1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2313,1,2,Within Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-2306,1,2,Within the Service Area of Ogden City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-361,4,5,"Bountiful, West Bountiful, Woods Cross",716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-307,6,11,"Bountiful, West Bountiful & Woods Cross",401,715,                                                                                                                                                                                                                                                                                                                                                                                                                
31-343,17,20,Woods Cross City,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-343,17,19,West Bountiful,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-343,17,18,Bountiful City,716,1031,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4253,3,4,Centerville City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-2416,1,0,TOOELE CITY CORPORATION,101,1231,Water to be used within the incorporated City limits.
31-201,1,2,Bountiful City,101,1231,
31-383,1,2,Bountiful City,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
