WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
35-5332,1,2,,HY,3,KW,301,1101,                                                                                                                                                                                                                                                                                                                                                                                                                
35-829,1,2,Unnamed,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8668,1,2,Unnamed,HY,,,101,1231,"Power returned Sec. 30 T1S, R6E, SLB&M. Diverted from Weber Riverand 0.04 cfs  for domestic and stockwater. Period of use l/l to 12/31"
17-187,1,4,Pelton Wheel,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5283,2,3,Unnamed,HY,10,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-837,1,2,Weber Basin Projects,HY,4275,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5243,1,2,Unknown,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5397,1,2,Unnamed,HY,,,101,1231,"10.0 cfs of water will be returned to the natural stream or source at a point  described as follows:  South 500 ft. from the N1/4 Corner of Section 25 T3N R4E, SLB&M.  110.0 k.w. Pelton Wheel used for power purposes."
15-3018,1,2,Unnamed,HY,491,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-40,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-486,1,7,,HY,5,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-7037,1,2,U.P. & Light Co.,HY,,,101,1231,"Diverted from Ogden River; returned to natural channel in Sec. 22 T6N, R1W and garden."
35-5250,1,5,Unnamed Power Plant,HY,12,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
16-628,1,6,,HY,2,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8497,1,2,Unnamed,HY,,,101,1231,"Diverted from Headwaters of E. Canyon Creek.  Returned to Parleys Canyon Creek on Sec. 9 T1S, R2E, SLB&M."
15-2999,1,2,,HY,3000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8496,1,3,Unnamed,HY,,,101,1231,"Diverted from Headwaters of E. Canyon Creek.  Returned to Parleys Canyon Creek on Sec. 9 T1S, R2E, SLB&M."
35-1412,2,4,Unnamed,HY,600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5240,1,2,Pineview Hydro,HY,1800,KW,101,1231,
35-5334,1,2,,HY,130,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
18-329,1,3,Unnamed,HY,10,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5262,1,2,Unnamed,HY,3000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8493,1,2,Unnamed,HY,,KW,101,1231,"Diverted from Headwaters of E. Canyon Creek.  Returned to Parleys Canyon Creek on Sec. 9 T1S, R2E, SLB&M."
35-8717,1,2,Unnamed,HY,,,101,1231,Used for developing power for propelling machinery.
35-4970,1,2,R. J. Wright Power,HY,8,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8755,1,2,Unnamed,HY,,,101,1231,"Diverted from Weber River.  Returned to Provo River on SEc. 7 T6S R3E,SLB&M."
35-8492,1,2,Unnamed,HY,,KW,101,1231,"Diverted from Headwaters of E. Canyon Creek.  Returned to Parleys Canyon Creek on Sec. 9 T1S, R2E, SLB&M."
18-464,1,2,Unnamed,HY,391,KW,101,1231,
35-5258,1,2,Unnamed Power Plant,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
17-183,1,4,Unnamed,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5263,1,2,Unnamed,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8905,1,2,Unnamed,HY,,,101,1231,"Diverted from Beaver Creek. Returned to Provo River on Sec. 7 T6S R3E, SLB&M."
35-5260,1,2,Unknown,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5261,1,2,Unnamed Power Plant,HY,5000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5293,1,2,Unnamed,HY,1250,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8443,1,5,Saw Mill Power,HY,,,101,1231,"Used for Saw Mill power purposes after which it is returned to the natural SW Cor. Sec. 8 T2S, R4E, SLB&M."
35-8703,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5333,1,2,,HY,130,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-3506,1,2,Utah Power & Light,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8885,1,2,Unnamed,HY,,,101,1231,"Diverted from Beaver Creek & returned Sec. 21 T2S R6E, SLB&M."
15-2937,1,0,Upper Powerplant,HY,250,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
15-2937,1,2,Lower Powerplant,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
31-4849,5,6,Riverdale,HY,3750,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5257,1,2,Unnamed Power Plant,HY,2500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8062,1,2,Unnamed,HY,1,KW,101,1231,"Sto. Power for Electric Lighting.  Supplemental to Right No. 61. E., stored Secs. 27, 28, T5N, RlE, SLB&M.  Stored in a reservoir located in the S2SW4, S2SE4 of Sec. 28 and S2SW4 Sec. 27  T5N R1E, SLB&M. and used as supplementary supply to  other water in foresaid explanation.  Supplemental to Right No. 61."
15-3017,1,2,Unnamed Power Plant,HY,433,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5244,1,2,Unnamed Power Plant,HY,5000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
16-726,1,5,Impulse turbine,HY,15,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-5204,1,2,Unnamed Plant,HY,,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
35-8741,1,2,Echo Reservoir Dam,HY,,,401,1001,"Returned to natural channel on Sec. 30 T5N R1E. 64,314 ac.ft. diverted from Released and rediverted on Sec. 28,"
