WRNUM,RESERVOIR_IDNUM,RESERVOIR_NAME,RESERVOIR_CAPACITY,DAM_HEIGHT,ACRES_INUNDATED,RES_BEG_DATE,RES_END_DATE,DAM_NUMBER,recordId
57-8904,1,Little Dell Reservoir,20500,238,249,101,1231,        ,1
91-5216,3,Unnamed Pond,7.56,13,0.7,101,1231,        ,2
81-5045,1,Trossoch Loch Mountain Lake,7.2,22,2.4,101,1231,        ,3
43-2657,2,Upper Mosby Canyon Pond,0.1,6,0.035,101,1231,        ,4
94-14,9,Johnson Lower Oak Reservoir,37,22,3.3,101,1231,        ,5
21-1840,2,Unnamed Pond,8,10,4.01,1031,430,        ,6
91-205,3,Back Nine Pond,5.8,0,1.51,101,1231,        ,7
91-205,2,Spring Pond,0.22,0,0.11,101,1231,        ,8
31-4791,4,Fish Pond,0.7,0,0.1,101,1231,        ,10
23-907,5,Saleratus #2 (#14),0,0,18,101,1231,        ,11
23-907,7,Unnamed #1,0,0,4,101,1231,        ,12
23-907,9,Unnamed #2,0,0,1.4,101,1231,        ,13
23-907,10,Unnamed #3,0,0,7.5,101,1231,        ,14
23-907,2,Unnamed #4,0,0,45,101,1231,        ,15
23-907,11,Unnamed #6,0,0,9,101,1231,        ,16
23-907,16,Unnamed (#10),0,0,0.7,101,1231,        ,17
23-907,17,Unnamed (#11),0,0,0.6,101,1231,        ,18
23-907,18,Unnamed (#12),0,0,1.1,101,1231,        ,19
23-907,19,Unnamed (#17),0,0,5.8,101,1231,        ,20
23-907,3,Unnamed (#18),0,0,12.3,101,1231,        ,21
23-907,21,Unnamed (#19),0,0,1.8,101,1231,        ,22
23-907,20,Unnamed (#20),0,0,3.2,101,1231,        ,23
23-907,22,Unnamed (#21),0,0,3.3,101,1231,        ,24
23-907,23,Unnamed (#22),0,0,1.7,101,1231,        ,25
23-907,12,Unnamed (#7a),0,0,1.9,101,1231,        ,26
23-907,13,Unnamed (#7b),0,0,2.7,101,1231,        ,27
23-907,14,Unnamed (#8),0,0,1.3,101,1231,        ,28
23-907,15,Unnamed (#9),0,0,1.7,101,1231,        ,29
55-12067,1,Unnamed pond,0.1,0,0.05,101,1231,        ,30
81-5058,1,Baker,1145.8,66,50,101,1231,        ,31
09-453,5,Unnamed Reservoir,3.72,3,0.62,101,1231,        ,32
57-10463,2,Hill`s Ponds,11,0,2.2,101,1231,        ,33
29-2716,2,Reservoir #1,17,10,2.05,101,1231,        ,34
29-2716,3,Reservoir #2,31,10,5.11,101,1231,        ,35
Sep-17,2,Unnamed Pond #2,0.1,10,0.01,101,1231,        ,36
81-3651,7,Clark Pond #1,0.25,5,0.15,101,1231,        ,37
81-3651,8,Clark Pond #2,0.75,8,0.28,101,1231,        ,38
81-3651,9,Clark Pond #3,0.33,5,0.2,101,1231,        ,39
81-3651,6,Pace Pond (81-3651 portion),1.4,10,0.2073,101,1231,        ,40
81-3651,10,Trough Pond,0.053,5,0.0318,101,1231,        ,41
43-12025,2,unnamed,1.48,8,0.5,101,1231,        ,42
81-5071,1,Kolob Reservoir,5586,67,249.13,101,1231,        ,43
71-3461,12,percolation pond,2.755,6,0.459,101,1231,        ,44
71-5314,1,Percolation Pond,0,0,0.4591,101,1231,        ,45
61-1695,6,Sheep Hollow Lower Reservoir,2.57,11,1.1,101,1231,        ,46
61-1695,5,Sheep Hollow Upper Reservoir,0.25,5,0.1,101,1231,        ,47
71-5398,1,Temporary Pond,5.1,0,1.05,101,1231,        ,48
35-12321,4,Abes Lake,150,10,21.2,101,1231,        ,49
35-12321,3,Anchor Lake,150,12,16,101,1231,        ,50
16-854,4,Construction Water Pond,2,6,1,101,1231,        ,51
35-11000,1,unnamed,0.4,0,0.17,101,1231,        ,52
00-3707,2,Unnamed Pond,0.8,0,0.2,101,1231,        ,53
15-139,8,Rec Pond,0.4,3,0.13,101,1231,        ,54
15-219,7,Rec Pond,0.4,3,0.13,101,1231,        ,55
15-230,8,Rec Pond,0.4,3,0.13,101,1231,        ,56
15-166,4,Rec Pond,0.4,3,0.13,101,1231,        ,57
63-4742,1,Redmond Lake,1080,8,270,101,1231,        ,58
55-12721,1,Unnamed Reservoir,0.378,0,0,101,1231,        ,59
81-4832,1,Sawyer Pond Reservoir,2.56,14,0.401,101,1231,        ,60
45-6559,2,unnamed,1,10,0.35,101,1231,        ,61
43-212,10,Pit Pond,0.848,10,0.46,415,1015,        ,62
25-10006,4,Porcupine Reservoir,13196,167,188,101,1231,        ,63
25-11003,1,Porcupine Reservoir,13196,167,188,101,1231,        ,64
91-139,6,Dragerton,52,20,4.1,101,1231,        ,65
91-139,5,Sunnyside Cogeneration Associates,125,35,7.6,101,1231,        ,66
91-364,4,Cedar Reservoir,8.73,10,2.9,101,1231,        ,67
91-364,3,Dragerton Reservoir,52,20,4.1,101,1231,        ,68
91-364,2,Sunnyside Cogeneration Associates,125,35,7.6,101,1231,        ,69
May-13,65,Lake Oowah,27,27,4,101,1231,        ,70
57-10404,3,Unnamed,0.44,2,0.31,101,1231,        ,71
81-125,4,Cattail Pond,0,0,0.082,101,1231,        ,72
