,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,GNISCodeCV,Geometry,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,ReasonRemoved,SiteName,SiteNativeID,SitePoint,SiteTypeCV,SiteUUID,StateCV,USGSSiteID,index
0,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,636114.0,,unknown,WA_1332,WA,,1331.0
1,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,703787.0,,unknown,WA_6638,WA,,6637.0
2,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,703788.0,,unknown,WA_6639,WA,,6638.0
3,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,400771.0,,unknown,WA_12962,WA,,12961.0
4,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398355.0,,unknown,WA_12986,WA,,12985.0
5,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398356.0,,unknown,WA_12987,WA,,12986.0
6,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398357.0,,unknown,WA_12988,WA,,12987.0
7,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398358.0,,unknown,WA_12989,WA,,12988.0
8,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,305176.0,,unknown,WA_13015,WA,,13014.0
9,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,390008.0,,unknown,WA_14138,WA,,14137.0
10,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,644828.0,,unknown,WA_14804,WA,,14803.0
11,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,305029.0,,unknown,WA_14917,WA,,14916.0
12,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,644780.0,,unknown,WA_14944,WA,,14943.0
13,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,644762.0,,unknown,WA_14994,WA,,14993.0
14,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,331351.0,,unknown,WA_15016,WA,,15015.0
15,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,331353.0,,unknown,WA_15017,WA,,15016.0
16,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,331354.0,,unknown,WA_15018,WA,,15017.0
17,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,331356.0,,unknown,WA_15019,WA,,15018.0
18,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,331374.0,,unknown,WA_15029,WA,,15028.0
19,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620997.0,,unknown,WA_15096,WA,,15095.0
20,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620811.0,,unknown,WA_15114,WA,,15113.0
