OrganizationUUID,VariableSpecificUUID,ReportingUnitUUID,PrimaryUseCategory,BeneficialUseCategory,WaterSourceUUID,MethodUUID,TimeframeStart,TimeframeEnd,DataPublicationDate,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,PowerType,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID,CustomerTypeCV,AllocationCropDutyAmount,IrrigationMethodCV,CropTypeCV,CommunityWaterSupplySystem,SDWISIdentifierCV
WWDO,WY_Consumptive Use,WY_1,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,64817.54713,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,1334.272368,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,1000,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,40,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Domestic Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Domestic Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,483.9021516,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,284204.3247,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,2146.650264,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,CrossBasin_Diversion,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,14400,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,6539,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,811,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Domestic Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Domestic Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,2904.421039,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Industrial Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,66475,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Industrial Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,1575,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,32984.116,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,7741.7264,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,2213.1,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Domestic Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2000,0,,,,,,,,,,,,
