Amount,ReportYear,Water Use by Basin,UseType,Source,in_ReportingUnitNativeID,in_WaterSourceNativeID
1334.272368,2000,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1498.365835,2001,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1226.612777,2002,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1617.425105,2003,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1846.693415,2004,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2059.991249,2005,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1826.625609,2006,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1417.511879,2007,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1863.082731,2008,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2106.901111,2009,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1934.922563,2010,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2258.502278,2011,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1526.792191,2012,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1546.331897,2013,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2196.058986,2014,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
1746.463647,2015,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2270.430057,2016,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2287.420314,2017,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
2110.106133,2018,Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
64817.54713,2000,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
72789.03502,2001,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
59587.55752,2002,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
78572.80905,2003,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
89710.42223,2004,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
100072.2065,2005,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
88735.54934,2006,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
68861.23497,2007,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
90506.59792,2008,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
102351.0382,2009,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
93996.50134,2010,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
109715.6633,2011,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
74169.95751,2012,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
75119.17585,2013,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
106682.2339,2014,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
84841.3656,2015,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
110295.1022,2016,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
111120.471,2017,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
102506.7348,2018,Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
483.9021516,2000,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
477.8084793,2001,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
481.8440239,2002,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
479.4226971,2003,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
479.503408,2004,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
480.3508724,2005,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
485.839213,2006,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
497.1790933,2007,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
508.1557746,2008,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
532.6956185,2009,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
534.169354,2010,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
527.5972905,2011,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
529.1506873,2012,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
528.0354281,2013,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
525.4066027,2014,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
523.2159149,2015,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
520.7464122,2016,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
515.2099466,2017,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
508.4387297,2018,Bear River Planning Basin,Domestic Use,Ground Water,WaDEWY_RU1,WaDEWY_WS1
0.0,2000,Bear River Planning Basin,Domestic Use,Surface Water,WaDEWY_RU1,WaDEWY_WS2
