Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,1334.272368,1498.365835,1226.612777,1617.425105,1846.693415,2059.991249,1826.625609,1417.511879,1863.082731,2106.901111,1934.922563,2258.502278,1526.792191,1546.331897,2196.058986,1746.463647,2270.430057,2287.420314,2110.106133
Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,64817.54713,72789.03502,59587.55752,78572.80905,89710.42223,100072.2065,88735.54934,68861.23497,90506.59792,102351.0382,93996.50134,109715.6633,74169.95751,75119.17585,106682.2339,84841.3656,110295.1022,111120.471,102506.7348
Bear River Planning Basin,Domestic Use,Ground Water,483.9021516,477.8084793,481.8440239,479.4226971,479.503408,480.3508724,485.839213,497.1790933,508.1557746,532.6956185,534.169354,527.5972905,529.1506873,528.0354281,525.4066027,523.2159149,520.7464122,515.2099466,508.4387297
Bear River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Industrial Use,Ground Water,,90,90.28497984,87.65735426,88.06528266,82.53799035,81.34072668,77.53562496,78.69654225,73.73143902,78.85439113,29.5,32.347221,29.8193709,30.99535652,26.22854153,25.75506842,25.3083773,24.77664735
Bear River Planning Basin,Industrial Use,Surface Water,,310,307.9138655,247.1451478,199.9903232,156.5661833,125.1476676,76.60420958,0,0,0,5,5.48257983,5.05413066,5.253450257,4.445515514,4.365265833,4.289555474,4.199431754
Bear River Planning Basin,Municipal  Use,Ground Water,40,39.45841393,39.07156673,38.99419729,39.30367505,39.53578337,40.07736944,40.77369439,41.47001934,692,688.7234848,687.4128788,690.0340909,693.9659091,703.7954545,703.7954545,707.7272727,700.5189394,695.2765152
Bear River Planning Basin,Municipal  Use,Surface Water,1000,987.4498867,996.601011,991.4589507,991.2846435,992.8534077,1004.096218,1027.801987,1050.723375,2408,2416.210424,2384.34616,2391.18818,2384.541646,2368.707258,2357.955512,2344.662445,2319.640201,2287.971424
Green River Planning  Basin,Agricultural Consumptive Use,Ground Water,2146.650264,2409.417943,1865.810695,2829.314349,3065.076946,3260.851711,2745.512765,2173.316877,2936.011022,3407.016422,3058.851513,3507.922837,2151.805889,2465.718828,3650.255582,3051.02439,3602.561511,4003.0805,3679.037634
Green River Planning  Basin,Agricultural Consumptive Use,Surface Water,284204.3247,318993.2758,247022.7581,374585.1794,405798.8106,431718.2795,363490.3247,287734.8331,388711.214,451069.6586,404974.5985,464429.0959,284886.9004,326447.1937,483273.1444,403938.3319,476958.7197,529985.1632,487083.7249
