Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bear River Planning Basin,Agricultural Consumptive Use,Total,66151.8195,74287.40085,60814.1703,80190.23415,91557.11565,102132.1977,90562.17495,70278.74685,92369.68065,104457.9393,95931.4239,111974.1656,75696.7497,76665.50775,108878.2929,86587.82925,112565.5323,113407.8914,104616.8409,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Bear River Planning Basin,Agricultural Consumptive Use,Surface Water,64817.54713,72789.03502,59587.55752,78572.80905,89710.42223,100072.2065,88735.54934,68861.23497,90506.59792,102351.0382,93996.50134,109715.6633,74169.95751,75119.17585,106682.2339,84841.3656,110295.1022,111120.471,102506.7348,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Bear River Planning Basin,Agricultural Consumptive Use,Ground Water,1334.272368,1498.365835,1226.612777,1617.425105,1846.693415,2059.991249,1826.625609,1417.511879,1863.082731,2106.901111,1934.922563,2258.502278,1526.792191,1546.331897,2196.058986,1746.463647,2270.430057,2287.420314,2110.106133,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Bear River Planning Basin,Municipal  Use,Total,1040,1026.908301,1035.672578,1030.453148,1030.588319,1032.389191,1044.173587,1068.575681,1092.193394,3100,3104.933909,3071.759039,3081.222271,3078.507555,3072.502712,3061.750967,3052.389718,3020.159141,2983.247939,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Municipal  Use,Surface Water,1000,987.4498867,996.601011,991.4589507,991.2846435,992.8534077,1004.096218,1027.801987,1050.723375,2408,2416.210424,2384.34616,2391.18818,2384.541646,2368.707258,2357.955512,2344.662445,2319.640201,2287.971424,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Municipal  Use,Ground Water,40,39.45841393,39.07156673,38.99419729,39.30367505,39.53578337,40.07736944,40.77369439,41.47001934,692,688.7234848,687.4128788,690.0340909,693.9659091,703.7954545,703.7954545,707.7272727,700.5189394,695.2765152,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Domestic Use,Total,483.9021516,477.8084793,481.8440239,479.4226971,479.503408,480.3508724,485.839213,497.1790933,508.1557746,532.6956185,534.169354,527.5972905,529.1506873,528.0354281,525.4066027,523.2159149,520.7464122,515.2099466,508.4387297,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Domestic Use,Ground Water,483.9021516,477.8084793,481.8440239,479.4226971,479.503408,480.3508724,485.839213,497.1790933,508.1557746,532.6956185,534.169354,527.5972905,529.1506873,528.0354281,525.4066027,523.2159149,520.7464122,515.2099466,508.4387297,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Industrial Use,Total,0,400,398.1988454,334.8025021,288.0556059,239.1041736,206.4883943,154.1398345,78.69654225,73.73143902,78.85439113,34.5,37.82980083,34.87350156,36.24880678,30.67405704,30.12033425,29.59793277,28.9760791,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Industrial Use,Surface Water,,310,307.9138655,247.1451478,199.9903232,156.5661833,125.1476676,76.60420958,0,0,0,5,5.48257983,5.05413066,5.253450257,4.445515514,4.365265833,4.289555474,4.199431754,0,0,0,0,0,0,0,0,0,0,0,0
Bear River Planning Basin,Industrial Use,Ground Water,,90,90.28497984,87.65735426,88.06528266,82.53799035,81.34072668,77.53562496,78.69654225,73.73143902,78.85439113,29.5,32.347221,29.8193709,30.99535652,26.22854153,25.75506842,25.3083773,24.77664735,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Agricultural Consumptive Use,Total,286350.975,321402.6938,248888.5688,377414.4938,408863.8875,434979.1313,366235.8375,289908.15,391647.225,454476.675,408033.45,467937.0188,287038.7063,328912.9125,486923.4,406989.3563,480561.2813,533988.2438,490762.7625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Green River Planning  Basin,Agricultural Consumptive Use,Surface Water,284204.3247,318993.2758,247022.7581,374585.1794,405798.8106,431718.2795,363490.3247,287734.8331,388711.214,451069.6586,404974.5985,464429.0959,284886.9004,326447.1937,483273.1444,403938.3319,476958.7197,529985.1632,487083.7249,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
