WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
WYwr_WS1,,,Fresh,Unspecified,WaDEWY_WS1,Groundwater
WYwr_WS2,,,Fresh,Buffalo Creek,WaDEWY_WS2,Surface Water
WYwr_WS3,,,Fresh,Spring Creek,WaDEWY_WS3,Surface Water
WYwr_WS4,,,Fresh,Middle Fork Powder River,WaDEWY_WS4,Surface Water
WYwr_WS5,,,Fresh,Deep Creek,WaDEWY_WS5,Surface Water
WYwr_WS6,,,Fresh,Lone Tree Creek,WaDEWY_WS6,Surface Water
WYwr_WS7,,,Fresh,Kitchings Draw,WaDEWY_WS7,Surface Water
WYwr_WS8,,,Fresh,Antelope Creek,WaDEWY_WS8,Surface Water
WYwr_WS9,,,Fresh,Horse Creek,WaDEWY_WS9,Surface Water
WYwr_WS10,,,Fresh,Torrey Creek,WaDEWY_WS10,Surface Water
WYwr_WS11,,,Fresh,Nowood River,WaDEWY_WS11,Surface Water
WYwr_WS12,,,Fresh,West Kirby Creek,WaDEWY_WS12,Surface Water
WYwr_WS13,,,Fresh,Bear Creek,WaDEWY_WS13,Surface Water
WYwr_WS14,,,Fresh,Cottonwood Creek,WaDEWY_WS14,Surface Water
WYwr_WS15,,,Fresh,Four Mile Creek (5-43-78),WaDEWY_WS15,Surface Water
WYwr_WS16,,,Fresh,Powder River,WaDEWY_WS16,Surface Water
WYwr_WS17,,,Fresh,Red Fork Powder River,WaDEWY_WS17,Surface Water
WYwr_WS18,,,Fresh,Beaver Creek,WaDEWY_WS18,Surface Water
WYwr_WS19,,,Fresh,Kirby Creek,WaDEWY_WS19,Surface Water
WYwr_WS20,,,Fresh,Big Horn River,WaDEWY_WS20,Surface Water
WYwr_WS21,,,Fresh,Unspecified,WaDEWY_WS21,Surface Water
WYwr_WS22,,,Fresh,Burroughs Creek,WaDEWY_WS22,Surface Water
WYwr_WS23,,,Fresh,East Fork Du Noir River,WaDEWY_WS23,Surface Water
WYwr_WS24,,,Fresh,Willow Branch,WaDEWY_WS24,Surface Water
WYwr_WS25,,,Fresh,Six Mile Creek,WaDEWY_WS25,Surface Water
WYwr_WS26,,,Fresh,Du Noir River,WaDEWY_WS26,Surface Water
WYwr_WS27,,,Fresh,Soldier Creek,WaDEWY_WS27,Surface Water
WYwr_WS28,,,Fresh,Crooked Creek,WaDEWY_WS28,Surface Water
WYwr_WS29,,,Fresh,Horn Creek,WaDEWY_WS29,Surface Water
WYwr_WS30,,,Fresh,Otter Creek,WaDEWY_WS30,Surface Water
WYwr_WS31,,,Fresh,Coal Creek,WaDEWY_WS31,Surface Water
WYwr_WS32,,,Fresh,Pole Creek,WaDEWY_WS32,Surface Water
WYwr_WS33,,,Fresh,Gooseberry Creek,WaDEWY_WS33,Surface Water
WYwr_WS34,,,Fresh,Wellman Draw,WaDEWY_WS34,Surface Water
WYwr_WS35,,,Fresh,Crazy Woman Creek,WaDEWY_WS35,Surface Water
WYwr_WS36,,,Fresh,Middle Fork Crazy Woman Creek,WaDEWY_WS36,Surface Water
WYwr_WS37,,,Fresh,Poison Creek,WaDEWY_WS37,Surface Water
WYwr_WS38,,,Fresh,Big Canyon Creek,WaDEWY_WS38,Surface Water
WYwr_WS39,,,Fresh,Ten Sleep Creek,WaDEWY_WS39,Surface Water
WYwr_WS40,,,Fresh,Belle Fourche River,WaDEWY_WS40,Surface Water
WYwr_WS41,,,Fresh,Dry Creek,WaDEWY_WS41,Surface Water
WYwr_WS42,,,Fresh,Bonepile Creek,WaDEWY_WS42,Surface Water
