SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
WYwr_S1,Unspecified,Unspecified,,EPSG:4326,,,,,42.9129,-104.46127,,,POD,O W WELL #1,WaDEWY_S1,,Well,WY,
WYwr_S2,Unspecified,Unspecified,,EPSG:4326,,,,,42.89665,-105.1149,,,POD,LINCOLN WATER WELL #1,WaDEWY_S2,,Well,WY,
WYwr_S3,Unspecified,Unspecified,,EPSG:4326,,,,,42.8762,-105.15106000000002,,,POD,REESE 33-34-69 WSW,WaDEWY_S3,,Well,WY,
WYwr_S4,Unspecified,Unspecified,,EPSG:4326,,,,,43.0178,-107.18099,,,POD,TIFFANY,WaDEWY_S4,,Well,WY,
WYwr_S5,Unspecified,Unspecified,,EPSG:4326,,,,,43.01056,-107.181,,,POD,GRAND PA #7,WaDEWY_S5,,Well,WY,
WYwr_S6,Unspecified,Unspecified,,EPSG:4326,,,,,43.03232,-107.21035,,,POD,KENNETH,WaDEWY_S6,,Well,WY,
WYwr_S7,Unspecified,Unspecified,,EPSG:4326,,,,,43.01778,-107.2103,,,POD,CORY,WaDEWY_S7,,Well,WY,
WYwr_S8,Unspecified,Unspecified,,EPSG:4326,,,,,43.063111,-105.50125,,,POD,HIGHLAND OPEN PIT #1,WaDEWY_S8,,Well,WY,
WYwr_S9,Unspecified,Unspecified,,EPSG:4326,,,,,43.09799,-105.55802,,,POD,NE/NE 13-36-73 (81 wells),WaDEWY_S9,,Well,WY,
WYwr_S10,Unspecified,Unspecified,,EPSG:4326,,,,,43.097970000000004,-105.56291999999999,,,POD,NW/NE 13-36-73; (74 WELLS),WaDEWY_S10,,Well,WY,
WYwr_S11,Unspecified,Unspecified,,EPSG:4326,,,,,43.09796,-105.56776,,,POD,NE/NW 13-36-73; (59 WELLS),WaDEWY_S11,,Well,WY,
WYwr_S12,Unspecified,Unspecified,,EPSG:4326,,,,,43.098003000000006,-105.57736399999999,,,POD,NE1/4NE1/4 SEC 14-36-73 250 WELLS (C-WELLFIELD),WaDEWY_S12,,Well,WY,
WYwr_S13,Unspecified,Unspecified,,EPSG:4326,,,,,43.09875,-105.58259699999999,,,POD,NW1/4NE1/4 SEC 14-36-73 45 WELLS (C-WELLFIELD),WaDEWY_S13,,Well,WY,
WYwr_S14,Unspecified,Unspecified,,EPSG:4326,,,,,43.094375,-105.57767199999999,,,POD,SE1/4NE1/4 SEC 14-36-73 125 WELLS (C-WELLFIELD),WaDEWY_S14,,Well,WY,
WYwr_S15,Unspecified,Unspecified,,EPSG:4326,,,,,43.094147,-105.58238100000001,,,POD,SW1/4NE1/4 SEC 14-36-73 225 WELLS (C-WELLFIELD),WaDEWY_S15,,Well,WY,
WYwr_S16,Unspecified,Unspecified,,EPSG:4326,,,,,43.090596999999995,-105.58788600000001,,,POD,NE1/4SW1/4 SEC 14-36-73 130 WELLS (C-WELLFIELD),WaDEWY_S16,,Well,WY,
WYwr_S17,Unspecified,Unspecified,,EPSG:4326,,,,,43.090546999999994,-105.58261100000001,,,POD,NW1/4SE1/4 SEC 14-36-73 130 WELLS (C-WELLFIELD),WaDEWY_S17,,Well,WY,
WYwr_S18,Unspecified,Unspecified,,EPSG:4326,,,,,43.086914,-105.587639,,,POD,SE1/4SW1/4 SEC 14-36-73 85 WELLS (C-WELLFIELD),WaDEWY_S18,,Well,WY,
WYwr_S19,Unspecified,Unspecified,,EPSG:4326,,,,,43.0877,-105.59749,,,POD,SE/SE 15-36-73 (65 WELLS),WaDEWY_S19,,Well,WY,
WYwr_S20,Unspecified,Unspecified,,EPSG:4326,,,,,43.083767,-105.601258,,,POD,NW/NE 22-36-73 (120 WELLS),WaDEWY_S20,,Well,WY,
WYwr_S21,Unspecified,Unspecified,,EPSG:4326,,,,,43.080853000000005,-105.591408,,,POD,SW/NW 23-36-73 (55 WELLS),WaDEWY_S21,,Well,WY,
WYwr_S22,Unspecified,Unspecified,,EPSG:4326,,,,,43.07953,-105.59261000000001,,,POD,SW/NW 23-36-73; 125 WELLS,WaDEWY_S22,,Well,WY,
WYwr_S23,Unspecified,Unspecified,,EPSG:4326,,,,,43.07951,-105.59756999999999,,,POD,SE/NE 22-36-73 (76 WELLS),WaDEWY_S23,,Well,WY,
WYwr_S24,Unspecified,Unspecified,,EPSG:4326,,,,,43.07613,-105.56296999999999,,,POD,SOLUTION MINE WELLS #451 1025,WaDEWY_S24,,Well,WY,
WYwr_S25,Unspecified,Unspecified,,EPSG:4326,,,,,43.07588,-105.59761,,,POD,NE/SE 22-36-73 (52 WELLS),WaDEWY_S25,,Well,WY,
