SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
WYwr_S2314,,WYwr_WS8,Unspecified,Unspecified,,4326,,,,,,,,,POD,J E C DITCH,,,Stream,WY,,Bad Latitude,2313.0
WYwr_S2328,,WYwr_WS16,Unspecified,Unspecified,,4326,,,,,,,,,POD,KOCH SPRINKLER IRRIGATION SYSTEM,,,Stream,WY,,Bad Latitude,2327.0
WYwr_S2419,,WYwr_WS21,Unspecified,Unspecified,,4326,,,,,,,,,POD,ENL. WINSOR DITCH,,,Stream,WY,,Bad Latitude,2418.0
WYwr_S2423,,WYwr_WS33,Unspecified,Unspecified,,4326,,,,,,,,,POD,SOFT SNAP DITCH,,,Stream,WY,,Bad Latitude,2422.0
WYwr_S2424,,WYwr_WS33,Unspecified,Unspecified,,4326,,,,,,,,,POD,HOLDER DITCH,,,Stream,WY,,Bad Latitude,2423.0
WYwr_S2614,,WYwr_WS89,Unspecified,Unspecified,,4326,,,,,,,,,POD,LYNN DITCH,,,Stream,WY,,Bad Latitude,2613.0
WYwr_S2618,,WYwr_WS94,Unspecified,Unspecified,,4326,,,,,,,,,POD,DAVIDSON DITCH,,,Stream,WY,,Bad Latitude,2617.0
WYwr_S2621,,WYwr_WS96,Unspecified,Unspecified,,4326,,,,,,,,,POD,SPIRIT MOUNTAIN POWERPLANT ENLARGEMENT OF Buffalo Bill Power Plant (served via Shoshone Canyon Conduit),,,Stream,WY,,Bad Latitude,2620.0
WYwr_S2754,,WYwr_WS63,Unspecified,Unspecified,,4326,,,,,,,,,POD,CADIZ DITCH AS PCT THE PRATT AND FERRIS NO. 3 DITCH AS PCT THE CADIZ PUMP SITE,,,Stream,WY,,Bad Latitude,2753.0
WYwr_S2855,,WYwr_WS154,Unspecified,Unspecified,,4326,,,,,,,,,POD,MASONS WILLOW CREEK NO. 1 DITCH,,,Stream,WY,,Bad Latitude,2854.0
WYwr_S3088,,WYwr_WS209,Unspecified,Unspecified,,4326,,,,,,,,,POD,ENL. BREWER DITCH ACIPT BREWER LOWLINE DITCH,,,Stream,WY,,Bad Latitude,3087.0
WYwr_S3497,,WYwr_WS18,Unspecified,Unspecified,,4326,,,,,,,,,POD,DESERT DITCH,,,Stream,WY,,Bad Latitude,3496.0
WYwr_S3876,,WYwr_WS376,Unspecified,Unspecified,,4326,,,,,,,,,POD,SAGE DITCH,,,Stream,WY,,Bad Latitude,3875.0
WYwr_S3934,,WYwr_WS388,Unspecified,Unspecified,,4326,,,,,,,,,POD,STONER & NICHOLLS,,,Stream,WY,,Bad Latitude,3933.0
WYwr_S4016,,WYwr_WS401,Unspecified,Unspecified,,4326,,,,,,,,,POD,SMITH DITCH,,,Stream,WY,,Bad Latitude,4015.0
WYwr_S4071,,WYwr_WS419,Unspecified,Unspecified,,4326,,,,,,,,,POD,LON POSTON DITCH,,,Stream,WY,,Bad Latitude,4070.0
WYwr_S4346,,WYwr_WS450,Unspecified,Unspecified,,4326,,,,,,,,,POD,CHADWICK ENLARGEMENT OF TEMPLE BENCH DITCH,,,Stream,WY,,Bad Latitude,4345.0
WYwr_S4867,,WYwr_WS523,Unspecified,Unspecified,,4326,,,,,,,,,POD,"JUDSON SUTPHIN DAM & WATER DITCHES NOS. 4, 5, 6, 7 & 8",,,Stream,WY,,Bad Latitude,4866.0
WYwr_S5087,,WYwr_WS9,Unspecified,Unspecified,,4326,,,,,,,,,POD,LOWE CATTLE COMPANY NO. 1 DITCH,,,Stream,WY,,Bad Latitude,5086.0
WYwr_S5416,,WYwr_WS125,Unspecified,Unspecified,,4326,,,,,,,,,POD,PARKHURST DITCH NO. 2,,,Stream,WY,,Bad Latitude,5415.0
WYwr_S5527,,WYwr_WS58,Unspecified,Unspecified,,4326,,,,,,,,,POD,ENL. SHOSHONE RIVER CANAL (ACT HAMMIT (LAKEVIEW) CANAL),,,Stream,WY,,Bad Latitude,5526.0
WYwr_S5633,,WYwr_WS67,Unspecified,Unspecified,,4326,,,,,,,,,POD,DESERT DITCH (ACT MEYERS DITCH),,,Stream,WY,,Bad Latitude,5632.0
WYwr_S5642,,WYwr_WS67,Unspecified,Unspecified,,4326,,,,,,,,,POD,PREIS NO.2 ENL. OF THE BENCH CANAL ENLARGEMENT OF Bench Canal {Enl. of),,,Stream,WY,,Bad Latitude,5641.0
WYwr_S5714,,WYwr_WS629,Unspecified,Unspecified,,4326,,,,,,,,,POD,L. X. DITCH,,,Stream,WY,,Bad Latitude,5713.0
WYwr_S5771,,WYwr_WS20,Unspecified,Unspecified,,4326,,,,,,,,,POD,TAYLOR-HALSTEAD CANAL {ENL. OF} ENLARGEMENT OF Taylor-Halstead Canal,,,Stream,WY,,Bad Latitude,5770.0
WYwr_S5773,,WYwr_WS21,Unspecified,Unspecified,,4326,,,,,,,,,POD,FISCUS ENLARGEMENT OF WYMAN DITCH,,,Stream,WY,,Bad Latitude,5772.0
WYwr_S5781,,WYwr_WS139,Unspecified,Unspecified,,4326,,,,,,,,,POD,MARCUM DITCH,,,Stream,WY,,Bad Latitude,5780.0
WYwr_S5818,,WYwr_WS20,Unspecified,Unspecified,,4326,,,,,,,,,POD,HOLLY PIPELINE,,,Stream,WY,,Bad Latitude,5817.0
WYwr_S5824,,WYwr_WS342,Unspecified,Unspecified,,4326,,,,,,,,,POD,ANTHONY DITCH,,,Stream,WY,,Bad Latitude,5823.0
WYwr_S5829,,WYwr_WS342,Unspecified,Unspecified,,4326,,,,,,,,,POD,GEORGE & BAYNE DITCH,,,Stream,WY,,Bad Latitude,5828.0
WYwr_S5928,,WYwr_WS197,Unspecified,Unspecified,,4326,,,,,,,,,POD,SIXTH ENLARGEMENT OF SHATTO FISH CREEK DITCH NO. 1,,,Stream,WY,,Bad Latitude,5927.0
WYwr_S6046,,WYwr_WS20,Unspecified,Unspecified,,4326,,,,,,,,,POD,UPPER HANOVER CANAL,,,Stream,WY,,Bad Latitude,6045.0
